"Korporat Code","Material Type"
"HJ-P-BULK","Semi Finished Goods"
"MC-P-BULK","Semi Finished Goods"
"PUS-1P-BULK","Semi Finished Goods"
"PUS-2P-BULK","Semi Finished Goods"
"PUS-PL-BULK","Semi Finished Goods"
"S-LB-BULK","Semi Finished Goods"
"SUNS-GS-30NP-BULK","Semi Finished Goods"
"SOLV-BGKHN-X","Raw Material"
"BUTY--DAI1,3","Raw Material"
"HUM-13BG-X","Raw Material"
"OIL-O-POAS-CAN","Raw Material"
"PEN-PRSVPE-X","Raw Material"
"SOLV-2PEEPH-MO","Raw Material"
"P-RPNB23-W","Finished Goods"
"PARF-256BU-X","Raw Material"
"FM-2IN1S-BULK","Semi Finished Goods"
"WARN-BB--K","Raw Material"
"PARF-819EC-X","Raw Material"
"SAMP-8HTS-X","Raw Material"
"POWD-HTTS-X","Raw Material"
"WARN-COGR--K","Raw Material"
"WARN-COGO--K","Raw Material"
"WARN-COGJ--K","Raw Material"
"WARN-CLRG-X","Raw Material"
"KB-FMIBR-L","Finished Goods"
"SCRU-HAL617-X","Raw Material"
"WARN-TP-","Raw Material"
"SERI-A790TS-X","Raw Material"
"SAMP-AA2G-X","Raw Material"
"HYA-AC511H-X","Raw Material"
"ACTI-AGTV-X","Raw Material"
"PARF-AGLD3-X","Raw Material"
"AMP-95--K","Raw Material"
"SURF-ASCO35-X","Raw Material"
"ASO--KB-K","Raw Material"
"LAR-ATGPUS-BULK","Intermediate"
"VITC-ASYA-X","Raw Material"
"ABIL-EM90-X","Raw Material"
"ABIL-WE09-X","Raw Material"
"ABIL-W9801-X","Raw Material"
"WAX-ABWAX-X","Raw Material"
"ACTI-ACNET-X","Raw Material"
"A-W1MG-W40 ML","Finished Goods"
"REM-AMC-BULK","Semi Finished Goods"
"A-DM-BULK","Semi Finished Goods"
"A-FPW3-BULK","Semi Finished Goods"
"A-NTM-BULK","Semi Finished Goods"
"THIC-ACP9L-X","Raw Material"
"EMU-ACT-X","Raw Material"
"EKS-ACFPH-X","Raw Material"
"EXTR-CRBAC-X","Raw Material"
