Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Quantity,Product Korporat Kode
L-CUMKORD-BULK/16,VITA-DL E-MS,0.001000,L-CUMKORD-BULK
L-CUMKORD-BULK/16,PARF-VMR-X,0.000500,L-CUMKORD-BULK
L-CUMKORD-BULK/16,POWD-H53-X,0.020000,L-CUMKORD-BULK
L-CUMKORD-BULK/16,CERE-810-,0.035000,L-CUMKORD-BULK
L-CUMKORD-BULK/16,WAX-WOW2P-X,0.110000,L-CUMKORD-BULK
L-CUMKORD-BULK/16,MC3-30-SF,0.040000,L-CUMKORD-BULK
L-CUMKORD-BULK/16,SILI-SF15-X,0.035000,L-CUMKORD-BULK
L-CUMKORD-BULK/16,EMU-LPNT-X,0.020000,L-CUMKORD-BULK
L-CUMKORD-BULK/16,ARMO-HD--K,0.020000,L-CUMKORD-BULK
L-CUMKORD-BULK/16,SFT-S649-X,0.030000,L-CUMKORD-BULK
L-CUMKORD-BULK/16,WARN-TOA403-KF,0.039213,L-CUMKORD-BULK
L-CUMKORD-BULK/16,WARN-C338--K,0.062462,L-CUMKORD-BULK
L-CUMKORD-BULK/16,WARN-C335138--K,0.018635,L-CUMKORD-BULK
L-CUMKORD-BULK/16,WARN-C19012-DCR6-K,0.043689,L-CUMKORD-BULK
L-CUMKORD-BULK/16,EMU-ISST-X,0.005000,L-CUMKORD-BULK
L-CUMKORD-BULK/16,PEN-PRSVPE-X,0.008000,L-CUMKORD-BULK
L-CUMKORD-BULK/16,PEN-SENSC50-X,0.004000,L-CUMKORD-BULK
L-CUMKORD-BULK/16,BHT-CRTL-X,0.001000,L-CUMKORD-BULK
L-CUMKORD-BULK/16,SILI-KSP1-X,0.020000,L-CUMKORD-BULK
L-CUMKORD-BULK/16,SILI-D9SEB-X,0.300000,L-CUMKORD-BULK
L-CUMKORD-BULK/16,SALA-99--K,0.186500,L-CUMKORD-BULK
L-NLCB-BULK/FS.RND.T0098-VER.01,SUCR-AC01-X,0.073000,L-NLCB-BULK
L-NLCB-BULK/FS.RND.T0098-VER.01,SILI-BEL803-X,0.070000,L-NLCB-BULK
L-NLCB-BULK/FS.RND.T0098-VER.01,SILI-BDP-X,0.090000,L-NLCB-BULK
L-NLCB-BULK/FS.RND.T0098-VER.01,BENT-BGVS5PC-X,0.240000,L-NLCB-BULK
L-NLCB-BULK/FS.RND.T0098-VER.01,PURO-IDD-X,0.211699,L-NLCB-BULK
L-NLCB-BULK/FS.RND.T0098-VER.01,HAIM-DIS-X,0.042500,L-NLCB-BULK
L-NLCB-BULK/FS.RND.T0098-VER.01,BENT-BGISDV-X,0.040000,L-NLCB-BULK
L-NLCB-BULK/FS.RND.T0098-VER.01,SILI-MCMA-X,0.040000,L-NLCB-BULK
L-NLCB-BULK/FS.RND.T0098-VER.01,PARF-VMR-X,0.001000,L-NLCB-BULK
L-NLCB-BULK/FS.RND.T0098-VER.01,VIT-ATCAT-X,0.001000,L-NLCB-BULK
L-NLCB-BULK/FS.RND.T0098-VER.01,PEN-SENSC50-X,0.004000,L-NLCB-BULK
L-NLCB-BULK/FS.RND.T0098-VER.01,PENG-NPGEHP-X,0.008000,L-NLCB-BULK
L-NLCB-BULK/FS.RND.T0098-VER.01,WARN-TOA403-KF,0.022258,L-NLCB-BULK
L-NLCB-BULK/FS.RND.T0098-VER.01,TITA-OTS2CR50-,0.030917,L-NLCB-BULK
L-NLCB-BULK/FS.RND.T0098-VER.01,WARN-C19011-R7CL-K,0.004559,L-NLCB-BULK
L-NLCB-BULK/FS.RND.T0098-VER.01,WARN-C19012-DCR6-K,0.019981,L-NLCB-BULK
L-NLCB-BULK/FS.RND.T0098-VER.01,SILC-SP500LS-X,0.037500,L-NLCB-BULK
L-NLCB-BULK/FS.RND.T0098-VER.01,COVA--,0.022500,L-NLCB-BULK
L-NLCB-BULK/FS.RND.T0098-VER.01,POL-U151-X,0.020000,L-NLCB-BULK
L-NLCB-BULK/FS.RND.T0098-VER.01,WARN-COGO--K,0.021086,L-NLCB-BULK
B-CLCLPA-BULK/FS.RND.W0293.00,TALC-OSBRTPD-X,0.702606,B-CLCLPA-BULK
B-CLCLPA-BULK/FS.RND.W0293.00,CORN---K,0.200000,B-CLCLPA-BULK
B-CLCLPA-BULK/FS.RND.W0293.00,TITA-C-STCR5-K,0.040000,B-CLCLPA-BULK
B-CLCLPA-BULK/FS.RND.W0293.00,SERI-GH202-X,0.020000,B-CLCLPA-BULK
B-CLCLPA-BULK/FS.RND.W0293.00,ZINC-STW-X,0.010000,B-CLCLPA-BULK
B-CLCLPA-BULK/FS.RND.W0293.00,PEN-PRSVPE-X,0.008000,B-CLCLPA-BULK
B-CLCLPA-BULK/FS.RND.W0293.00,SILI-2005-DC-K,0.005000,B-CLCLPA-BULK
B-CLCLPA-BULK/FS.RND.W0293.00,PEN-SENSC50-X,0.004000,B-CLCLPA-BULK
B-CLCLPA-BULK/FS.RND.W0293.00,ACTM-CTLA-X,0.000100,B-CLCLPA-BULK
B-CLCLPA-BULK/FS.RND.W0293.00,PARF-AMSKLG-X,0.000100,B-CLCLPA-BULK
B-CLCLPA-BULK/FS.RND.W0293.00,WARN-COGO--K,0.009448,B-CLCLPA-BULK
B-CLCLPA-BULK/FS.RND.W0293.00,WARN-CLRG-X,0.000406,B-CLCLPA-BULK
B-CLCLPA-BULK/FS.RND.W0293.00,WARN-ABIO-X,0.000340,B-CLCLPA-BULK
B-CLCLPB-BULK/FS.RND.W0294.00,TALC-OSBRTPD-X,0.697785,B-CLCLPB-BULK
B-CLCLPB-BULK/FS.RND.W0294.00,CORN---K,0.200000,B-CLCLPB-BULK
B-CLCLPB-BULK/FS.RND.W0294.00,TITA-C-STCR5-K,0.040000,B-CLCLPB-BULK
B-CLCLPB-BULK/FS.RND.W0294.00,SERI-GH202-X,0.020000,B-CLCLPB-BULK
B-CLCLPB-BULK/FS.RND.W0294.00,ZINC-STW-X,0.010000,B-CLCLPB-BULK
B-CLCLPB-BULK/FS.RND.W0294.00,PEN-PRSVPE-X,0.008000,B-CLCLPB-BULK
B-CLCLPB-BULK/FS.RND.W0294.00,SILI-2005-DC-K,0.005000,B-CLCLPB-BULK
B-CLCLPB-BULK/FS.RND.W0294.00,PEN-SENSC50-X,0.004000,B-CLCLPB-BULK
B-CLCLPB-BULK/FS.RND.W0294.00,ACTM-CTLA-X,0.000100,B-CLCLPB-BULK
B-CLCLPB-BULK/FS.RND.W0294.00,PARF-AMSKLG-X,0.000100,B-CLCLPB-BULK
B-CLCLPB-BULK/FS.RND.W0294.00,WARN-COGO--K,0.011053,B-CLCLPB-BULK
B-CLCLPB-BULK/FS.RND.W0294.00,WARN-CLRG-X,0.002576,B-CLCLPB-BULK
B-CLCLPB-BULK/FS.RND.W0294.00,WARN-ABIO-X,0.001386,B-CLCLPB-BULK
BO-CLBSNT-BULK/FS.RND.T0099-VER.01,EMU-PS-,0.235000,BO-CLBSNT-BULK
BO-CLBSNT-BULK/FS.RND.T0099-VER.01,SILI-BLSDE-X,0.220000,BO-CLBSNT-BULK
BO-CLBSNT-BULK/FS.RND.T0099-VER.01,MC3-300-SF,0.075000,BO-CLBSNT-BULK
BO-CLBSNT-BULK/FS.RND.T0099-VER.01,WAX-PFRMSW-X,0.050000,BO-CLBSNT-BULK
BO-CLBSNT-BULK/FS.RND.T0099-VER.01,WAX-CDL204--X,0.050000,BO-CLBSNT-BULK
BO-CLBSNT-BULK/FS.RND.T0099-VER.01,COSM-43V--K,0.030000,BO-CLBSNT-BULK
BO-CLBSNT-BULK/FS.RND.T0099-VER.01,EMG-S65PSG-X,0.025000,BO-CLBSNT-BULK
BO-CLBSNT-BULK/FS.RND.T0099-VER.01,POWD-9701-,0.010000,BO-CLBSNT-BULK
BO-CLBSNT-BULK/FS.RND.T0099-VER.01,ORGA-EXD-ARK,0.010000,BO-CLBSNT-BULK
BO-CLBSNT-BULK/FS.RND.T0099-VER.01,POWD-MDMS-,0.010000,BO-CLBSNT-BULK
BO-CLBSNT-BULK/FS.RND.T0099-VER.01,PEN-PRSVPE-X,0.008000,BO-CLBSNT-BULK
BO-CLBSNT-BULK/FS.RND.T0099-VER.01,BHT-CRTL-X,0.001000,BO-CLBSNT-BULK
BO-CLBSNT-BULK/FS.RND.T0099-VER.01,VITA-DL E-MS,0.001000,BO-CLBSNT-BULK
BO-CLBSNT-BULK/FS.RND.T0099-VER.01,WARN-CLOG222--K,0.127788,BO-CLBSNT-BULK
BO-CLBSNT-BULK/FS.RND.T0099-VER.01,WARN-FW108S-X,0.092007,BO-CLBSNT-BULK
BO-CLBSNT-BULK/FS.RND.T0099-VER.01,WARN-GT0600--K,0.055205,BO-CLBSNT-BULK
S-G-BULK/FS.DND.P003-VER.01,TEGO-L7-1--K,0.080000,S-G-BULK
S-G-BULK/FS.DND.P003-VER.01,TEXA---K,0.090000,S-G-BULK
S-G-BULK/FS.DND.P003-VER.01,AIR-RO--L,0.777464,S-G-BULK
S-G-BULK/FS.DND.P003-VER.01,PARF-LSR71-,0.003150,S-G-BULK
S-G-BULK/FS.DND.P003-VER.01,PEN-PRSVPE-X,0.000018,S-G-BULK
S-G-BULK/FS.DND.P003-VER.01,EMUL-DERMSOLP-,0.000018,S-G-BULK
S-G-BULK/FS.DND.P003-VER.01,KATH---K,0.000500,S-G-BULK
S-G-BULK/FS.DND.P003-VER.01,WARN-LT--BULK,0.000100,S-G-BULK
S-G-BULK/FS.DND.P003-VER.01,WARN-K-BULK,0.000200,S-G-BULK
S-G-BULK/FS.DND.P003-VER.01,MERQ-MQ550PP-X,0.021450,S-G-BULK
S-G-BULK/FS.DND.P003-VER.01,GARA-VCNI-X,0.025000,S-G-BULK
S-G-BULK/FS.DND.P003-VER.01,EXTR-G-MM,0.002100,S-G-BULK
M-RHDG-BULK/10,HYA-AC511H-X,0.000500,M-RHDG-BULK
M-RHDG-BULK/10,AIR-RO--L,0.663620,M-RHDG-BULK
M-RHDG-BULK/10,EMU-DTC7-X,0.030000,M-RHDG-BULK
M-RHDG-BULK/10,BIO-HYAL-BIL,0.000500,M-RHDG-BULK
M-RHDG-BULK/10,SILI-CES1104-X,0.040000,M-RHDG-BULK
M-RHDG-BULK/10,GLYC--ECOS-K,0.100000,M-RHDG-BULK
M-RHDG-BULK/10,WARN-K-BULK,0.000190,M-RHDG-BULK
M-RHDG-BULK/10,LAR-WMHTG-BULK,0.000250,M-RHDG-BULK
M-RHDG-BULK/10,FUCO-15PSLB-X,0.020000,M-RHDG-BULK
M-RHDG-BULK/10,"BUTY--DAI1,3",0.020000,M-RHDG-BULK
M-RHDG-BULK/10,SILI-MCMA-X,0.040000,M-RHDG-BULK
M-RHDG-BULK/10,MOIS-TR100-X,0.020000,M-RHDG-BULK
M-RHDG-BULK/10,MOIS-PTVT-X,0.010000,M-RHDG-BULK
M-RHDG-BULK/10,MOIS-HYDGLC-X,0.015000,M-RHDG-BULK
M-RHDG-BULK/10,THIC-ARAVC-,0.009500,M-RHDG-BULK
M-RHDG-BULK/10,VITA-DL E-MS,0.001000,M-RHDG-BULK
M-RHDG-BULK/10,"CARB--94022,68-K",0.001500,M-RHDG-BULK
M-RHDG-BULK/10,CRIL-C1-CRO,0.002000,M-RHDG-BULK
M-RHDG-BULK/10,EMG-450-X,0.003000,M-RHDG-BULK
M-RHDG-BULK/10,PENG-PHC-X,0.005000,M-RHDG-BULK
M-RHDG-BULK/10,SILI-2005-DC-K,0.005000,M-RHDG-BULK
M-RHDG-BULK/10,EMU-SROL-X,0.005000,M-RHDG-BULK
M-RHDG-BULK/10,ACTI-RBN-X,0.005000,M-RHDG-BULK
M-RHDG-BULK/10,KOH--PH-K,0.000540,M-RHDG-BULK
M-RHDG-BULK/10,PARF-JRS-X,0.000400,M-RHDG-BULK
M-RHDG-BULK/10,POWD-H53-X,0.001000,M-RHDG-BULK
M-RHDG-BULK/10,EDT-B--K,0.001000,M-RHDG-BULK
L-EMCE-BULK/FF.RND.W1072.02,BENT-BGVS5PC-X,0.380000,L-EMCE-BULK
L-EMCE-BULK/FF.RND.W1072.02,PURO-IDD-X,0.185400,L-EMCE-BULK
L-EMCE-BULK/FF.RND.W1072.02,WAX-SBWX--X,0.060000,L-EMCE-BULK
L-EMCE-BULK/FF.RND.W1072.02,COSM-222--K,0.055000,L-EMCE-BULK
L-EMCE-BULK/FF.RND.W1072.02,SILI-DCMQ1600-X,0.050000,L-EMCE-BULK
L-EMCE-BULK/FF.RND.W1072.02,BRB-CPLM-X,0.050000,L-EMCE-BULK
L-EMCE-BULK/FF.RND.W1072.02,BENT-BGISDV-X,0.040000,L-EMCE-BULK
L-EMCE-BULK/FF.RND.W1072.02,DRYF-PC-X,0.040000,L-EMCE-BULK
L-EMCE-BULK/FF.RND.W1072.02,COVA--,0.010000,L-EMCE-BULK
L-EMCE-BULK/FF.RND.W1072.02,EMO-BRB2835-X,0.010000,L-EMCE-BULK
L-EMCE-BULK/FF.RND.W1072.02,VIT-ATCAT-X,0.005000,L-EMCE-BULK
L-EMCE-BULK/FF.RND.W1072.02,PEN-PRSVPE-X,0.005000,L-EMCE-BULK
L-EMCE-BULK/FF.RND.W1072.02,PARF-VMR-X,0.000100,L-EMCE-BULK
L-EMCE-BULK/FF.RND.W1072.02,WARN-C338--K,0.049000,L-EMCE-BULK
L-EMCE-BULK/FF.RND.W1072.02,WARN-C19012-DCR6-K,0.025500,L-EMCE-BULK
L-EMCE-BULK/FF.RND.W1072.02,WARN-C335138--K,0.025000,L-EMCE-BULK
L-EMCE-BULK/FF.RND.W1072.02,WARN-ABIO-X,0.006000,L-EMCE-BULK
L-EMCE-BULK/FF.RND.W1072.02,WARN-C19011-R7CL-K,0.004000,L-EMCE-BULK
L-EMCF-BULK/FF.RND.W1073.02,BENT-BGVS5PC-X,0.380000,L-EMCF-BULK
L-EMCF-BULK/FF.RND.W1073.02,PURO-IDD-X,0.202900,L-EMCF-BULK
L-EMCF-BULK/FF.RND.W1073.02,WAX-SBWX--X,0.060000,L-EMCF-BULK
