Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Quantity,Product Korporat Kode
A-PFC-BULK/11,EMUL-PLUP-X,0.030000,A-PFC-BULK
A-PFC-BULK/11,PROP-PGESK-X,0.050000,A-PFC-BULK
A-PFC-BULK/11,TEGO-L7-1--K,0.150000,A-PFC-BULK
A-PFC-BULK/11,THIC-GLD120T-X,0.015000,A-PFC-BULK
A-PFC-BULK/11,MEDI-MDL-MGS,0.050000,A-PFC-BULK
A-PFC-BULK/11,TEXA---K,0.100000,A-PFC-BULK
A-PFC-BULK/11,AIR-RO--L,0.550400,A-PFC-BULK
A-PFC-BULK/11,ALAN-SL--X,0.001000,A-PFC-BULK
A-PFC-BULK/11,PWD-MNLGZN-X,0.010000,A-PFC-BULK
A-PFC-BULK/11,CUTI---K,0.010000,A-PFC-BULK
A-PFC-BULK/11,AQUA---K,0.010000,A-PFC-BULK
A-PFC-BULK/11,EDT-B--K,0.001000,A-PFC-BULK
A-PFC-BULK/11,TRI--DOW-K,0.002600,A-PFC-BULK
A-PFC-BULK/11,PARF-SILK-,0.003000,A-PFC-BULK
A-PFC-BULK/11,PENG-GL-LON,0.004000,A-PFC-BULK
A-PFC-BULK/11,ASAM-SCAD-X,0.005000,A-PFC-BULK
A-PFC-BULK/11,GARA-VCNI-X,0.008000,A-PFC-BULK
SS-UVSDS-BULK/FS.DND.W0271-VER.02,SILI-BELEG5-X,0.010000,SS-UVSDS-BULK
SS-UVSDS-BULK/FS.DND.W0271-VER.02,PARS-1789-,0.010000,SS-UVSDS-BULK
SS-UVSDS-BULK/FS.DND.W0271-VER.02,PROP-PGESK-X,0.020000,SS-UVSDS-BULK
SS-UVSDS-BULK/FS.DND.W0271-VER.02,AQUA---K,0.020000,SS-UVSDS-BULK
SS-UVSDS-BULK/FS.DND.W0271-VER.02,SEPI-305-SF-K,0.028000,SS-UVSDS-BULK
SS-UVSDS-BULK/FS.DND.W0271-VER.02,SILI-DC21-,0.010000,SS-UVSDS-BULK
SS-UVSDS-BULK/FS.DND.W0271-VER.02,ACTI-VEAC-X,0.005000,SS-UVSDS-BULK
SS-UVSDS-BULK/FS.DND.W0271-VER.02,CARB-C980P-X,0.001000,SS-UVSDS-BULK
SS-UVSDS-BULK/FS.DND.W0271-VER.02,PANT--DL-K,0.005000,SS-UVSDS-BULK
SS-UVSDS-BULK/FS.DND.W0271-VER.02,EXTR-ALVGE-X,0.005000,SS-UVSDS-BULK
SS-UVSDS-BULK/FS.DND.W0271-VER.02,TRI--DOW-K,0.005380,SS-UVSDS-BULK
SS-UVSDS-BULK/FS.DND.W0271-VER.02,PENG-IPEG-X,0.008000,SS-UVSDS-BULK
SS-UVSDS-BULK/FS.DND.W0271-VER.02,PARF-C072-GIV,0.001000,SS-UVSDS-BULK
SS-UVSDS-BULK/FS.DND.W0271-VER.02,EDT-B--K,0.001000,SS-UVSDS-BULK
