"Product Korporat Code","Reference","Quantity","BoM Lines/Product Template/Korporat Code","BoM Lines/Product Template/Material Type","BoM Lines/Quantity"
"F-PTCMCN10-BULK","FS.RND.M0106-VER.01","1.0","SILI-556-DC-K","Raw Material","0.174558"
"","","","EMU-CPLS-X","Raw Material","0.159302"
"","","","EMU-ACT-X","Raw Material","0.092"
"","","","COVB-LH8-","Raw Material","0.08"
"","","","EMU-FLRM-X","Raw Material","0.05"
"","","","COSM-222--K","Raw Material","0.05"
"","","","PLAS-P-D400-K","Raw Material","0.04"
"","","","WARN-SLI-X","Raw Material","0.04"
"","","","WAX-PFRMSW-X","Raw Material","0.03"
"","","","LILI-HRC22-X","Raw Material","0.028"
"","","","WAX-CDL204--X","Raw Material","0.022"
"","","","UVIN-MC80-BASF","Raw Material","0.02"
"","","","PEN-PRSVPE-X","Raw Material","0.008"
"","","","SUN-SSFMBC-X","Raw Material","0.005"
"","","","PEN-SENSC50-X","Raw Material","0.004"
"","","","PARS-1789-","Raw Material","0.002"
"","","","ACTI-VEAC-X","Raw Material","0.001"
"","","","EXTR-DB-","Raw Material","0.0005"
"","","","PARF-AMSKLG-X","Raw Material","0.0002"
"","","","TITA-C-STCR5-K","Raw Material","0.175017"
"","","","WARN-A407-X","Raw Material","0.015352"
"","","","WARN-A450-X","Raw Material","0.003071"
"L-CPRLC02-BULK","4","1.0","MWAX-SP19-X","Raw Material","0.03"
"","","","WAX-PFRMSW-X","Raw Material","0.02"
"","","","WARN-C19011-R7CL-K","Raw Material","0.006"
"","","","TITA-OTS2CR50-","Raw Material","0.0265"
"","","","WARN-C338--K","Raw Material","0.032"
"","","","WARN-C19012-DCR6-K","Raw Material","0.0095"
"","","","MC3-300-SF","Raw Material","0.1809"
"","","","COSM-43V--K","Raw Material","0.075"
"","","","WARN-ABIO-X","Raw Material","0.006"
"","","","EKS-FMO-X","Raw Material","0.0905"
"","","","PARF-VMR-X","Raw Material","0.0001"
"","","","VITA-DL E-MS","Raw Material","0.001"
"","","","ACTI-MGCPW-X","Raw Material","0.0001"
"","","","SILI-SF15-X","Raw Material","0.06"
"","","","THIC-BGV-X","Raw Material","0.1675"
"","","","PEN-SENSC50-X","Raw Material","0.004"
"","","","PEN-PRSVPE-X","Raw Material","0.008"
"","","","SILI-D9SEB-X","Raw Material","0.106911"
"","","","EMU-C316-X","Raw Material","0.078489"
"","","","THIC-TX85-X","Raw Material","0.0075"
"","","","SILI-SP105-X","Raw Material","0.03"
"","","","SERI-S-D-K","Raw Material","0.06"
"BO-W1A-01 BULK","60","1.0","SERI-790-","Raw Material","0.32"
"","","","MICA--SIOI2-K","Raw Material","0.28"
"","","","NT---K","Raw Material","0.07"
"","","","COSM-222--K","Raw Material","0.04"
"","","","WARN-GZ0075-X","Raw Material","0.0018"
"","","","WARN-TE-A40BIOSC-K","Raw Material","0.0067"
"","","","SILI-2005-DC-K","Raw Material","0.02"
"","","","ZINC-M-KJZ10-K","Raw Material","0.0294"
"","","","WARN-RED3AS-X","Raw Material","0.0181"
"","","","WARN-YLW3AS-X","Raw Material","0.003885"
"","","","WARN-CLOSG--K","Raw Material","0.021023"
