"Korporat Code","Material Type","General Subcategory","Component FG/Korporat Code","Component FG/Material Type","Component FG/General Subcategory","Component REFILL/Korporat Code"
"HJ-P-BULK","Semi Finished Goods","Bulk","","","",""
"MC-P-BULK","Semi Finished Goods","Bulk","","","",""
"PUS-1P-BULK","Semi Finished Goods","Bulk","","","",""
"PUS-2P-BULK","Semi Finished Goods","Bulk","","","",""
"PUS-PL-BULK","Semi Finished Goods","Bulk","","","",""
"S-LB-BULK","Semi Finished Goods","Bulk","","","",""
"SUNS-GS-30NP-BULK","Semi Finished Goods","Bulk","","","",""
"SOLV-BGKHN-X","Raw Material","","","","",""
"BUTY--DAI1,3","Raw Material","","","","",""
"HUM-13BG-X","Raw Material","","","","",""
"OIL-O-POAS-CAN","Raw Material","","","","",""
"PEN-PRSVPE-X","Raw Material","","","","",""
"SOLV-2PEEPH-MO","Raw Material","","","","",""
"P-RPNB23-W","Finished Goods","Sample","","","",""
"PARF-256BU-X","Raw Material","","","","",""
"FM-2IN1S-BULK","Semi Finished Goods","Bulk","","","",""
"WARN-BB--K","Raw Material","","","","",""
"PARF-819EC-X","Raw Material","","","","",""
"POWD-HTTS-X","Raw Material","","","","",""
"WARN-COGR--K","Raw Material","","","","",""
"WARN-COGO--K","Raw Material","","","","",""
"WARN-COGJ--K","Raw Material","","","","",""
"WARN-CLRG-X","Raw Material","","","","",""
"KB-FMIBR-L","Finished Goods","Sellable","FMI-BR-BULK","Semi Finished Goods","Bulk",""
"WARN-TP-","Raw Material","","","","",""
"SERI-A790TS-X","Raw Material","","","","",""
"SAMP-AA2G-X","Raw Material","","","","",""
"HYA-AC511H-X","Raw Material","","","","",""
"ACTI-AGTV-X","Raw Material","","","","",""
"PARF-AGLD3-X","Raw Material","","","","",""
"AMP-95--K","Raw Material","","","","",""
"SURF-ASCO35-X","Raw Material","","","","",""
"ASO--KB-K","Raw Material","","","","",""
"LAR-ATGPUS-BULK","Intermediate","Intermediate Bulk","","","",""
"VITC-ASYA-X","Raw Material","","","","",""
"ABIL-EM90-X","Raw Material","","","","",""
"ABIL-WE09-X","Raw Material","","","","",""
"ABIL-W9801-X","Raw Material","","","","",""
"WAX-ABWAX-X","Raw Material","","","","",""
"ACTI-ACNET-X","Raw Material","","","","",""
"A-W1MG-W40 ML","Finished Goods","Sellable","","","",""
"REM-AMC-BULK","Semi Finished Goods","Bulk","","","",""
"A-DM-BULK","Semi Finished Goods","Bulk","","","",""
"A-FPW3-BULK","Semi Finished Goods","Bulk","","","",""
"A-NTM-BULK","Semi Finished Goods","Bulk","","","",""
"THIC-ACP9L-X","Raw Material","","","","",""
"EMU-ACT-X","Raw Material","","","","",""
"EKS-ACFPH-X","Raw Material","","","","",""
"EXTR-CRBAC-X","Raw Material","","","","",""
"ACTM-CTLA-X","Raw Material","","","","",""
"ACTI-AICE06-X","Raw Material","","","","",""
"ACTI-AR850-X","Raw Material","","","","",""
"ACTM-Q10-X","Raw Material","","","","",""
"ACTM-WHTL-X","Raw Material","","","","",""
"PU-AKMUMFS-X","Packaging Material","Regular","","","",""
"ACTI-ADNL-X","Raw Material","","","","",""
"ACTI-ADPL-X","Raw Material","","","","",""
"SILC-AERSLR-X","Raw Material","","","","",""
"AGF-9051-X","Raw Material","","","","",""
"AIR-RO--L","Raw Material","","","","",""
"AJID--NL-K","Raw Material","","","","",""
"AJID-ZN100-X","Raw Material","","","","",""
"ACTI-ALDVN-X","Raw Material","","","","",""
"PARF-ALCMS-X","Raw Material","","","","",""
"EMUL-AP2P-X","Raw Material","","","","",""
