Kode Unik,Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Quantity,BoM Lines/Product Unit of Measure,Material Type,W23/2023,W24/2023,W25/2023,W26/2023,W27/2023,W28/2023,W29/2023,W30/2023,W31/2023,W32/2023,W33/2023,W34/2023,W35/2023,W36/2023,W37/2023,W38/2023,W39/2023,W40/2023,W41/2023,W42/2023,W43/2023,W44/2023,W45/2023,W46/2023,W47/2023,W48/2023,W49/2023,W50/2023,W51/2023,W52/2023,W01/2024,W02/2024,W03/2024,W04/2024,W05/2024,W06/2024,W07/2024,W08/2024,W09/2024,W10/2024,W11/2024,W12/2024,W13/2024,W14/2024,W15/2024,W16/2024,W17/2024,W18/2024,W19/2024,W20/2024,W21/2024,W22/2024,W23/2024,W24/2024,W25/2024,W26/2024,W27/2024,W28/2024,W29/2024,W30/2024,W31/2024,W32/2024,W33/2024,W34/2024,W35/2024,W36/2024,W37/2024,W38/2024,W39/2024
2PR--MO100ML/5,2PR--MO100ML,CAP-BNG100HG-X,1,Pc(s),Regular,0,0,0,0,0,1436,0,0,1436,0,0,1436,0,0,1436,0,0,1436,0,0,1436,0,0,1436,0,0,1436,0,0,0,1436,0,0,1436,0,0,1436,0,0,1436,0,0,1436,0,0,1436,0,0,1436,0,0,1436,0,0,1436,0,0,0,1436,0,0,1436,0,0,1436,0,0,0,0
2PR--MO100ML/5,2PR--MO100ML,KB-MOSSTP-291145K150,0.04167,Pc(s),Regular,0,0,0,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,60,0,0,0,60,0,0,60,0,0,60,0,0,0,0
2PR--MO100ML/5,2PR--MO100ML,PLU-BB100N-,1,Pc(s),Regular,0,0,0,0,0,1436,0,0,1436,0,0,1436,0,0,1436,0,0,1436,0,0,1436,0,0,1436,0,0,1436,0,0,0,1436,0,0,1436,0,0,1436,0,0,1436,0,0,1436,0,0,1436,0,0,1436,0,0,1436,0,0,1436,0,0,0,1436,0,0,1436,0,0,1436,0,0,0,0
2PR--MO100ML/5,2PR--MO100ML,PS-PVCMUR-WPVC,1,Pc(s),Regular,0,0,0,0,0,1436,0,0,1436,0,0,1436,0,0,1436,0,0,1436,0,0,1436,0,0,1436,0,0,1436,0,0,0,1436,0,0,1436,0,0,1436,0,0,1436,0,0,1436,0,0,1436,0,0,1436,0,0,1436,0,0,1436,0,0,0,1436,0,0,1436,0,0,1436,0,0,0,0
A-BPCB-W20G/5,A-BPCB-W20G,CAP-CABPCB-WASABS,1,Pc(s),Regular,1940,0,0,0,1940,1940,0,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,0,0,0
A-BPCB-W20G/5,A-BPCB-W20G,CONT-ABPCB-WASABS,1,Pc(s),Regular,1940,0,0,0,1940,1940,0,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,0,0,0
A-BPCB-W20G/5,A-BPCB-W20G,DUS-APBBR1-WACLG,1,Pc(s),Regular,1940,0,0,0,1940,1940,0,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,0,0,0
A-BPCB-W20G/5,A-BPCB-W20G,KB-W100BR2-KMM125BF,0.02083,Pc(s),Regular,41,0,0,0,41,41,0,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,0,0,0
A-BPCB-W20G/5,A-BPCB-W20G,STIC-BOTAPBBR1-WCNF,1,Pc(s),Regular,1940,0,0,0,1940,1940,0,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,1940,0,0,0,0
A-DM-W40ML/7,A-DM-W40ML,DUS-ADM40CR1-WACLG,1,Pc(s),Regular,0,13627,0,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,0,13627,0,0
A-DM-W40ML/7,A-DM-W40ML,KB-WTHETAR1-W,0.03333,Pc(s),Regular,0,455,0,0,455,0,455,0,455,0,455,0,455,0,455,0,455,0,455,0,455,455,0,455,0,455,0,455,0,455,0,455,0,455,0,455,0,455,0,455,0,455,0,455,0,455,0,455,0,455,0,455,0,455,0,455,0,455,0,455,0,455,0,455,0,0,455,0,0
A-DM-W40ML/7,A-DM-W40ML,TUBE-ADM40R2-W,1,Pc(s),Regular,0,13627,0,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,13627,0,0,13627,0,0
A-FP-W20G/8,A-FP-W20G,CAP-CAFP-WASABS,1,Pc(s),Regular,2804,2804,0,2804,2804,0,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,0,0,0,0
A-FP-W20G/8,A-FP-W20G,CONT-AFP-WASN,1,Pc(s),Regular,2804,2804,0,2804,2804,0,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,0,0,0,0
A-FP-W20G/8,A-FP-W20G,DUS-AFPR2-WACLG,1,Pc(s),Regular,2804,2804,0,2804,2804,0,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,0,0,0,0
A-FP-W20G/8,A-FP-W20G,KB-W200R1-W,0.02083,Pc(s),Regular,59,59,0,59,59,0,59,59,0,59,59,0,59,59,59,0,59,59,0,59,59,59,0,59,59,0,59,59,59,0,59,59,0,59,59,59,0,59,59,0,59,59,59,0,59,59,0,59,59,0,59,59,59,0,59,59,0,59,59,59,0,59,59,0,59,0,0,0,0
A-FP-W20G/8,A-FP-W20G,PUFF-AFP-WMFLH,1,Pc(s),Regular,2804,2804,0,2804,2804,0,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,0,0,0,0
A-FP-W20G/8,A-FP-W20G,SHIF-CAFPR1-W,1,Pc(s),Regular,2804,2804,0,2804,2804,0,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,0,0,0,0
A-FP-W20G/8,A-FP-W20G,STIC-BTAFPRR2-W,1,Pc(s),Regular,2804,2804,0,2804,2804,0,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,2804,2804,0,2804,2804,0,2804,0,0,0,0
A-NTM-W40ML/5,A-NTM-W40ML,DUS-ANTM40CR1-WACLG,1,Pc(s),Regular,0,23670,0,0,0,0,23670,0,0,0,0,23670,0,0,0,23670,0,0,0,0,23670,0,0,0,23670,0,0,0,0,23670,0,0,0,23670,0,0,0,23670,0,0,0,0,23670,0,0,0,23670,0,0,0,0,23670,0,0,0,23670,0,0,0,23670,0,0,0,0,23670,0,0,0,0
A-NTM-W40ML/5,A-NTM-W40ML,KB-WTHETAR1-W,0.03333,Pc(s),Regular,0,789,0,0,0,0,789,0,0,0,0,789,0,0,0,789,0,0,0,0,789,0,0,0,789,0,0,0,0,789,0,0,0,789,0,0,0,789,0,0,0,0,789,0,0,0,789,0,0,0,0,789,0,0,0,789,0,0,0,789,0,0,0,0,789,0,0,0,0
A-NTM-W40ML/5,A-NTM-W40ML,TUBE-ANTM40R1-W,1,Pc(s),Regular,0,23670,0,0,0,0,23670,0,0,0,0,23670,0,0,0,23670,0,0,0,0,23670,0,0,0,23670,0,0,0,0,23670,0,0,0,23670,0,0,0,23670,0,0,0,0,23670,0,0,0,23670,0,0,0,0,23670,0,0,0,23670,0,0,0,23670,0,0,0,0,23670,0,0,0,0
A-PFC-W60ML/6,A-PFC-W60ML,KB-K100R1-W,0.02778,Pc(s),Regular,1337,1337,0,0,1337,1337,0,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,1337,0,0,0,0
A-PFC-W60ML/6,A-PFC-W60ML,TUBE-APFC60R2-W,1,Pc(s),Regular,48102,48102,0,0,48102,48102,0,0,48102,0,48102,0,48102,0,48102,0,48102,0,48102,0,48102,48102,0,48102,0,48102,0,48102,0,48102,0,48102,0,48102,0,48102,0,48102,0,48102,0,48102,0,48102,0,48102,0,48102,48102,0,48102,0,48102,0,48102,0,48102,0,48102,0,48102,0,48102,0,48102,0,0,0,0
