Kode Item,UOM,W23/2023,W24/2023,W25/2023,W26/2023,W27/2023,W28/2023,W29/2023,W30/2023,W31/2023,W32/2023,W33/2023,W34/2023,W35/2023,W36/2023,W37/2023,W38/2023,W39/2023,W40/2023,W41/2023,W42/2023,W43/2023,W44/2023,W45/2023,W46/2023,W47/2023,W48/2023,W49/2023,W50/2023,W51/2023,W52/2023,W01/2024,W02/2024,W03/2024,W04/2024,W05/2024,W06/2024,W07/2024,W08/2024,W09/2024,W10/2024,W11/2024,W12/2024,W13/2024,W14/2024,W15/2024,W16/2024,W17/2024,W18/2024,W19/2024,W20/2024,W21/2024,W22/2024,W23/2024,W24/2024,W25/2024,W26/2024,W27/2024,W28/2024,W29/2024,W30/2024,W31/2024,W32/2024,W33/2024,W34/2024,W35/2024,W36/2024,W37/2024,W38/2024,W39/2024
APPL-EBR0-ENPS,Pc(s),1910,0,0,0,0,1910,0,0,1910,0,0,1910,0,0,0,1910,0,0,1910,0,0,1910,0,0,1910,0,0,0,1910,0,0,1910,0,0,1910,0,0,1910,0,0,0,1910,0,0,1910,0,0,1910,0,0,0,1910,0,0,1910,0,0,1910,0,0,0,1910,0,0,1910,0,0,0,0
BAL-BALTEPLR0-E,Pc(s),0,14980,0,0,0,0,0,0,0,0,0,0,0,14980,0,0,0,0,0,0,0,0,0,0,0,14980,0,0,0,0,0,0,0,0,0,0,14980,0,0,0,0,0,0,0,0,0,0,0,14980,0,0,0,0,0,0,0,0,0,0,14980,0,0,0,0,0,0,0,0,0
BAL-BPR1D882B08-WT,Pc(s),63359,37986,103396,7676,16812,69014,24984,71297,39036,60278,101678,51662,32438,64472,29267,48872,42158,142624,30515,59807,103434,25458,63829,56611,36894,98148,27129,117318,45116,23000,95820,64300,79168,47428,53167,41562,40002,104645,52228,39062,141820,47002,59455,39721,41250,56056,46728,77671,100540,80454,75167,33154,47765,23493,66442,65604,73590,102325,23870,86554,73910,32106,40024,39466,75046,18882,4580,5866,0
BAL-BROBPPEC-D254W23,Pc(s),31398,31208,12357,10937,40785,1591,29848,38375,11553,17347,2437,17347,17347,846,19697,2437,17347,17347,846,17347,846,18938,17347,846,17347,17347,4787,17347,846,17347,17347,2163,16501,0,16501,16501,1591,18851,16501,0,16501,0,18092,16501,0,16501,0,18092,16501,0,16501,0,18092,16501,0,16501,16501,0,18092,0,16501,16501,0,18092,0,16501,0,0,0
BAL-EXPPLR0-W,Pc(s),0,0,0,0,35719,0,0,0,0,35719,0,0,0,0,35719,0,0,0,0,35719,0,0,0,0,35719,0,0,0,0,35719,0,0,0,35719,0,0,0,0,35719,0,0,0,0,35719,0,0,0,35719,0,0,0,0,35719,0,0,0,0,35719,0,0,0,0,35719,0,0,0,0,0,0
BAL-SPPLL-MOSS,Pc(s),0,1760,0,1760,0,0,0,0,1760,0,0,0,0,1760,0,0,0,0,0,1760,0,0,0,0,1760,0,0,0,0,1760,0,1760,0,0,0,1760,0,0,0,0,1760,0,0,0,0,1760,0,0,0,0,0,1760,0,0,0,0,1760,0,0,0,0,1760,0,0,0,0,0,0,0
BAL-SSLEL-WSS,Pc(s),0,0,0,0,24948,0,0,0,0,0,0,24948,0,0,0,0,0,24948,0,0,0,0,0,24948,0,0,0,0,0,24948,0,0,0,0,0,24948,0,0,0,0,0,24948,0,0,0,0,0,24948,0,0,0,0,0,24948,0,0,0,0,0,24948,0,0,0,0,0,0,0,0,24948
BASC-UVSSR0-W,Pc(s),12588,0,4196,1158,9107,0,18214,9107,0,0,0,0,0,0,9107,0,0,9107,0,9107,0,0,9107,0,0,9107,0,0,9107,0,0,9107,0,9107,0,9107,0,0,9107,0,0,9107,0,0,0,9107,0,9107,0,0,9107,0,9107,0,0,0,9107,0,9107,0,0,9107,0,0,9107,0,0,9107,0
BASE-CLBPER0-E,Pc(s),1192,596,596,1192,1192,596,596,1192,596,1192,596,1192,596,596,1192,596,1192,596,1192,596,1192,596,1192,596,596,1192,596,1192,596,1192,596,1192,596,1192,596,596,1192,596,1192,596,1192,596,1192,596,1192,596,1192,596,596,1192,596,1192,596,1192,596,1192,596,1192,596,596,1192,596,1192,596,1192,0,596,0,596
BASE-CLBPIR0-E,Pc(s),0,596,1192,596,1192,0,0,596,596,596,596,596,596,596,596,596,596,596,596,596,0,596,596,596,596,596,596,596,596,596,596,596,596,0,596,596,596,596,596,596,596,596,596,596,596,596,596,0,596,596,596,596,596,596,596,596,596,596,596,596,596,0,596,596,596,0,0,596,0
BASE-CLHNTR0-E,Pc(s),1192,596,596,0,1192,0,0,596,596,596,0,596,596,0,596,596,596,0,596,596,0,596,596,596,0,596,596,596,0,596,596,0,596,596,596,0,596,596,0,596,596,596,0,596,596,0,596,596,596,0,596,596,0,596,596,596,0,596,596,0,596,596,596,0,596,0,0,0,0
BASE-MMB01-MO,Pc(s),284,0,0,284,0,284,284,0,284,284,284,0,284,284,284,0,284,284,284,0,284,284,284,0,284,284,284,0,284,284,284,0,284,284,284,284,0,284,284,284,0,284,284,284,0,284,284,284,0,284,284,284,0,284,284,284,0,284,284,284,0,284,284,284,0,0,0,0,0
BASE-MMB02-MO,Pc(s),0,0,0,0,0,284,0,0,284,0,0,284,0,284,0,0,284,0,0,284,0,0,284,0,284,0,0,284,0,0,284,0,0,284,0,284,0,0,284,0,0,284,0,0,284,0,284,0,0,284,0,0,284,0,0,284,0,284,0,0,284,0,0,284,0,0,0,0,0
BASE-MMB03-MO,Pc(s),0,0,0,0,0,0,0,0,0,0,284,0,284,0,284,284,0,284,0,284,0,284,0,284,284,0,284,0,284,0,284,0,284,0,284,284,0,284,0,284,0,284,0,284,284,0,284,0,284,0,284,0,284,284,0,284,0,284,0,284,0,284,284,0,284,0,0,0,0
BASE-MMB04-MO,Pc(s),0,284,0,0,0,0,0,0,0,284,0,284,284,0,284,0,284,0,284,284,0,284,0,284,0,284,284,0,284,0,284,0,284,284,0,284,0,284,0,284,284,0,284,0,284,0,284,284,0,284,0,284,0,284,284,0,284,0,284,0,284,284,0,284,0,0,284,0,0
BASE-MMB05-MO,Pc(s),568,568,0,0,0,284,284,284,284,568,284,284,284,284,568,284,284,284,284,568,284,284,284,284,568,284,284,284,284,568,284,284,284,284,284,568,284,284,284,284,568,284,284,284,284,568,284,284,284,284,568,284,284,284,284,568,284,284,284,284,568,284,284,284,284,284,0,0,0
BOOK-HC2023-W,Pc(s),3960,0,0,0,2410,0,2410,0,616,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOOK-PH2023-K,Pc(s),0,2350,0,0,0,1591,0,0,0,0,1591,0,0,0,2350,1591,0,0,0,0,0,1591,0,0,0,0,3941,0,0,0,0,1591,0,0,0,0,1591,2350,0,0,0,0,1591,0,0,0,0,1591,0,0,0,0,1591,0,0,0,0,0,1591,0,0,0,0,1591,0,0,0,0,0
BOTO-AACMW100R0-W,Pc(s),0,0,26600,0,0,0,26600,0,0,0,26600,0,0,26600,0,0,0,0,26600,0,0,0,26600,0,0,0,0,26600,0,0,0,0,0,26600,0,0,0,0,26600,0,0,0,0,0,26600,0,0,0,0,0,26600,0,0,0,0,0,26600,0,0,0,0,0,26600,0,0,0,0,0,26600
BOTO-ADS1702R1-W,Pc(s),17150,17150,0,0,0,17150,0,17150,0,17150,0,17150,0,17150,17150,0,17150,0,17150,0,17150,0,17150,0,17150,17150,0,17150,0,17150,0,17150,0,17150,0,17150,17150,0,17150,0,17150,0,17150,0,17150,0,17150,17150,0,17150,0,17150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
