Korporat Code,W21/2023,W22/2023,W23/2023,W24/2023,W25/2023,W26/2023,W27/2023,W28/2023,W29/2023,W30/2023,W31/2023,W32/2023,W33/2023,W34/2023,W35/2023,W36/2023,W37/2023,W38/2023,W39/2023,W40/2023,W41/2023,W42/2023,W43/2023,W44/2023,W45/2023,W46/2023,W47/2023,W48/2023,W49/2023,W50/2023,W51/2023,W52/2023,W01/2024,W02/2024,W03/2024,W04/2024,W05/2024,W06/2024,W07/2024,W08/2024,W09/2024,W10/2024,W11/2024,W12/2024,W13/2024,W14/2024,W15/2024,W16/2024,W17/2024,W18/2024,W19/2024,W20/2024,W21/2024,W22/2024,W23/2024,W24/2024,W25/2024,W26/2024,W27/2024,W28/2024,W29/2024,W30/2024,W31/2024,W32/2024,W33/2024,W34/2024,W35/2024,W36/2024
A-BGFA200-X,11.628,0,0,0,0.9,0,0,5.813793,5.813793,0,0,0,5.813793,0,0,0,5.813793,0,0,0,0,5.813793,0,0,0,5.813793,0,0,0,5.813793,0,0,0,5.813793,0,0,0,5.813793,0,0,0,5.813793,0,0,0,5.813793,0,0,0,5.813793,0,0,0,5.813793,0,0,0,5.813793,0,0,0,5.813793,0,0,0,0,5.813793,0
A-BGSA200-X,11.277,15.035564,0,11.650102,5.825071,19.167884,17.041592,11.276673,24.992955,7.517782,7.517782,19.167884,13.342853,19.167884,7.517782,19.167884,13.342853,28.691694,11.276673,7.517782,24.992955,7.517782,19.167884,7.517782,24.992955,7.517782,7.517782,19.167884,13.342853,32.450585,7.517782,19.167884,7.517782,19.167884,7.517782,7.517782,19.167884,10.374776,19.167884,7.517782,32.450585,7.517782,7.517782,19.167884,7.517782,19.167884,7.517782,19.167884,7.517782,7.517782,22.926775,17.041592,19.167884,7.517782,19.167884,7.517782,19.167884,7.517782,7.517782,19.167884,7.517782,11.276673,28.691694,7.517782,7.517782,15.408993,0,3.758891
A-EDSM80-X,0,0,0,0,0,0,0,0,0,58.235935,0,0,0,0,0,0,58.235935,0,0,0,0,0,0,58.235935,0,0,0,0,0,0,58.235935,0,0,0,0,0,58.235935,0,0,0,0,0,58.235935,0,0,0,0,0,58.235935,0,0,0,0,0,0,58.235935,0,0,0,0,0,58.235935,0,0,0,0,0,0
ABIL-EM90-X,13.084295,4.948311,19.645628,3.567912,2.96328,4.131465,10.6865,13.696587,20.688233,20.44479,13.227349,29.93201,9.883334,9.835291,36.462978,1.201565,22.293729,1.731843,8.249829,14.285327,35.843667,7.228288,13.034397,4.136728,38.657646,12.748494,13.55913,3.514162,10.676738,11.007456,8.513556,7.894194,28.596073,25.500828,9.60491,7.251967,14.269992,19.588056,20.335902,14.229926,15.074828,7.75642,6.265153,38.126564,5.062708,15.826993,8.449849,14.429631,11.876221,19.290012,19.114174,13.771585,15.880682,7.67421,13.739798,11.921378,21.487434,15.789946,18.692831,9.894589,6.763426,15.542479,21.372917,8.795057,15.493614,15.689404,4.64986,14.601605
ABIL-WE09-X,16.371334,38.682183,0,55.724539,39.435664,49.546301,20.510066,24.271722,36.965344,38.600713,36.309388,29.222478,21.8434,16.093183,13.688286,15.65633,13.326199,14.466004,17.645547,12.135922,3.520408,27.729264,0,28.229048,0,30.122277,0,16.431098,16.093126,12.135922,15.656273,12.850644,14.87862,6.287343,24.271787,3.520408,23.395878,24.586155,14.902849,13.326199,26.078587,19.902448,17.208759,16.455213,13.326256,3.520408,25.824208,1.190334,27.038714,1.905056,30.484364,2.742755,13.326199,14.902849,1.190334,28.154282,1.190334,35.531743,3.957261,15.656338,25.725895,13.326256,0,15.656273,13.763109,1.552421,13.688286,0
ABS-PLNBL-X,0,0,0,0,0.471245,0,0,0,0.471245,0,0,0,0.471245,0,0,0,0.471245,0,0,0,0.471245,0,0,0,0,0.471245,0,0,0,0.471245,0,0,0,0.471245,0,0,0,0.471245,0,0,0,0.471245,0,0,0,0.471245,0,0,0,0.471245,0,0,0,0.471245,0,0,0,0.471245,0,0,0,0.471245,0,0,0,0,0,0
ACTI-ADNL-X,2.408012,0.290339,2.912208,1.746351,0.290339,4.571154,2.697995,1.261122,3.863925,1.261182,2.889208,0.970783,0.290339,7.582561,1.456012,1.261122,1.433196,3.378512,0.290339,3.202547,0.970843,7.269149,1.261195,0.970783,2.231764,1.746351,2.094501,2.231978,0.290339,4.884309,3.183408,2.231965,1.433196,2.426868,1.241983,1.261122,3.687776,4.861493,0.970856,2.212766,1.746351,2.231764,1.261122,4.0362,1.746351,3.718636,1.261122,3.183408,3.569725,0.290339,1.261122,0.290339,4.63942,5.54201,2.231965,1.746351,1.241983,0.290339,3.883064,0.290339,1.241983,3.428297,0.290339,4.173403,0.290339,2.598869,0.951644,0
ACTI-ADPL-X,0.014822,0,0.965181,0,3.6,0,0,0.007411,0,0.965181,3.607411,0.007411,0.007411,0,0.014822,0.014822,3.6,0,0,0.014822,0.965181,0,3.6,0,0.022233,0.007411,0,0,3.614822,0,0.972592,0,0.014822,0.007411,3.6,0,0.007411,0,0.007411,0.007411,3.607411,0.972592,0,0.007411,0,0.007411,3.607411,0,0.014822,0.007411,0,0.965181,3.607411,0.014822,0,0,0,0.007411,3.614822,0,0,0,0.972592,0.007411,0,0,0.007411,3.6
ACTI-AFEW-X,1.509482,0.679604,0.986446,0.987287,0.810991,1.177048,0.900047,1.747464,1.794088,1.945632,0.995845,2.137692,0.810981,1.866362,0.890328,1.781639,0.892037,1.665022,1.081715,1.49038,1.760033,0.891323,1.891303,1.747464,0.903091,0.880562,0.723613,2.528087,0.893317,0.817425,0.889992,2.825113,0.689436,1.789234,0.789726,1.563014,0.89112,0.813861,1.86417,1.847213,0.826825,0.873768,1.380613,2.819408,0.92264,0.696853,1.862948,1.006301,1.665145,0.789062,1.758575,0.618635,0.9882,1.769963,2.752607,0.684457,0.994342,0.48543,2.665247,0.976732,0.796237,0.691027,0.522392,3.020564,0.689439,0.296114,0.206535,0.315724
ACTI-AGTV-X,0.126854,0.092427,0.096027,0.038667,0.076694,0.051933,0.073094,0.073094,0.077455,0.073094,0.038667,0.08276,0.073094,0.038667,0.08276,0.038667,0.102216,0.048333,0.073094,0.08276,0.038667,0.073094,0.048333,0.073094,0.038667,0.08276,0.073094,0.038667,0.08276,0.038667,0.102216,0.08276,0.038667,0.08276,0.038667,0.073094,0.048333,0.073094,0.102216,0.048333,0.073094,0.048333,0.073094,0.073094,0.048333,0.073094,0.038667,0.111882,0.038667,0.073094,0.08276,0.038667,0.073094,0.048333,0.102216,0.08276,0.038667,0.073094,0.048333,0.073094,0.038667,0.111882,0.073094,0.038667,0.08276,0.019333,0.009667,0.019333
