Product Korporat Code,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52,W01,W02,W03,W04,W05,W06,W07,W08,W09,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34
A-BGFA200-X,23.25517241,0,0,0,11.62758621,0.96,0,0,11.62758621,0,0,0,11.62758621,0,0,0,11.62758621,0,0,0,11.62758621,0,0,0,11.62758621,0,0,0,11.62758621,0,0,0,11.62758621,0,0,0,11.62758621,0,0,0,0,11.62758621,0,0,0,11.62758621,0,0,0,11.62758621,0,0,0,11.62758621,0,0,0,11.62758621,0,0,0,11.62758621,0,0,0,0,0,0
A-BGSA200-X,15.03556359,22.55334539,0,22.55334539,26.6857054,38.33576677,38.33576677,15.03556359,26.6857054,38.33576677,15.03556359,38.33576677,26.6857054,15.03556359,1950.615453,15.03556359,49.98590857,15.03556359,38.33576677,15.03556359,26.6857054,38.33576677,15.03556359,38.33576677,26.6857054,1950.615453,15.03556359,38.33576677,26.6857054,15.03556359,38.33576677,15.03556359,38.33576677,26.60130381,38.33576677,15.03556359,1927.31525,38.33576677,15.03556359,41.1927605,15.03556359,38.33576677,15.03556359,15.03556359,38.33576677,15.03556359,38.33576677,1927.31525,38.33576677,15.03556359,38.33576677,15.03556359,15.03556359,38.33576677,15.03556359,38.33576677,15.03556359,45.85354856,1919.797468,15.03556359,38.33576677,15.03556359,15.03556359,38.33576677,15.03556359,7.517781796,0,7.517781796
A-EDSM80-X,0,0,0,0,0,0,0,0,116.4718693,0,0,0,0,0,0,0,116.4718693,0,0,0,0,0,0,0,116.4718693,0,0,0,0,0,116.4718693,0,0,0,0,0,116.4718693,0,0,0,0,0,116.4718693,0,0,0,0,0,0,116.4718693,0,0,0,0,0,116.4718693,0,0,0,0,0,116.4718693,0,0,0,0,0,0
ABIL-EM90-X,4573.830077,1.434469233,164.5366411,1960.056932,1867.624025,1241.176622,101.4580234,1807.70688,56.73906036,156.3469622,1716.847874,200.3716197,1327.40271,130.7878195,113.9334127,176.6353642,134.0210007,216.5972347,460.9855849,640.9061513,100.7458742,211.1756403,203.9780649,147.7743445,170.8846655,385.9386935,798.8027515,416.1442714,231.7969962,155.8097957,76.33793558,149.7646192,172.5888308,812.8396019,407.2564213,98.86259852,539.8796758,293.6875971,625.1586133,268.1325392,812.267394,457.1201437,123.4938488,353.6134253,42.8912236,152.4022261,149.1976484,787.1708377,182.3397082,457.0641314,177.2553204,173.0019478,383.9263597,890.1848044,189.9653497,75.17550517,207.7108006,232.2946981,223.4821866,373.9303091,721.9850079,150.4251601,670.0262311,68.99291585,74.12032843,59.50319002,141.2663835,225.4488756
ABIL-WE09-X,30.10833581,479.3426203,498.2070959,503.6126622,44.6487151,49.73377714,514.5582504,10.58116193,504.771755,41.26138756,962.0751153,24.98924099,45.55372727,491.8235925,50.60463965,499.47079,24.27172978,18.18005763,469.9932889,511.5730591,467.3841101,39.61127047,1.190334129,506.400941,1.190334129,503.1371162,1.190334129,945.3574277,25.14543496,7.400018339,502.4223937,1.190334129,503.6127279,1.588427663,40.70282834,466.0147416,479.342686,493.3913135,14.19996164,47.98197541,497.5657334,25.46206391,493.6838294,48.85568059,482.4475281,466.0147416,37.59798624,466.0147416,29.44061119,12.13592233,491.4768055,16.43109856,959.4077431,14.19996164,0,503.6127279,0,506.71757,5.168881413,31.55099173,491.4768055,466.0164296,40.70282834,486.6201452,13.00962751,0,24.27172978,3.104842105
ABS-PLNBL-X,0,0,0,0,0,47.12446352,0,0,0,47.12446352,0,0,0,47.12446352,0,0,0,0,47.12446352,0,0,0,47.12446352,0,0,0,47.12446352,0,0,0,47.12446352,0,0,0,47.12446352,0,0,0,47.12446352,0,0,0,47.12446352,0,0,0,47.12446352,0,0,0,47.12446352,0,0,0,47.12446352,0,0,0,47.12446352,0,0,0,47.12446352,0,0,0,0,0
ACTI-ADNL-X,687.8913572,190.3288201,291.202346,0.9707831325,295.3755357,3.546909696,291.202346,877.2492609,0.2903389831,0,298.6321064,1.261122116,191.2996633,0.2903389831,481.8215051,691.4838088,2.576053269,291.492685,0,192.5607987,0.2903389831,297.370911,1.261182142,877.2492609,0.9708564277,291.492685,6.458903903,0.9707831325,481.8215051,1.261195411,0.2903389831,686.9204408,487.9900701,0,2.232038569,1.261122116,481.8215051,6.16856492,1.261122116,685.9496576,292.4635415,190.6191591,0.9707831325,6.458903903,291.492685,192.5608587,1.261122116,976.8616647,2.576053269,194.5020097,2.231978543,291.492685,0,0.2903389831,197.7585072,978.1228601,0.2903389831,0.9708431585,191.5899422,0.2903389831,5.144046045,0,190.6191591,978.1227868,0.2903389831,2.285714286,0,3.882850635
ACTI-ADPL-X,2.964200477,0,2.964200477,0,0,720,0,0,1.482100239,1.482100239,0,721.4821002,1.482100239,1.482100239,0,1.930362117,0,721.4821002,1.482100239,1.482100239,0,2.964200477,1.482100239,720,0,3.412462356,2.964200477,1.482100239,0,720,1.482100239,1.482100239,0,0,2.964200477,721.4821002,3.412462356,0,0,1.482100239,0,722.9642005,0,2.964200477,0,0,3.412462356,721.4821002,1.482100239,0,0,2.964200477,1.482100239,720,0,0,2.964200477,3.412462356,0,720,2.964200477,1.482100239,0,0,1.482100239,0,0,0
ACTI-AFEW-X,30.97683822,2.258673004,1.553196797,31.56467703,35.3645986,11.32122552,53.47176379,15.7438648,41.73321224,31.84279412,25.57205363,32.8864105,42.41279424,22.42836479,43.82221077,24.22538382,24.10357759,33.2659032,4.685761396,50.87155804,33.9814002,22.37847288,34.85388238,13.74199309,44.02945591,23.49403017,42.03949461,32.32822202,14.63790207,33.08193216,31.6741043,7.190154865,62.23253693,39.41467511,6.433366906,42.06189107,5.560702784,29.70669245,34.95090973,33.50599894,33.61590965,41.72042298,5.02866347,31.55125853,13.32540425,33.95568794,63.76249339,5.780461019,42.92505273,2.090468488,35.26621587,31.04165608,43.61721306,31.11627765,34.95090973,14.61565349,23.90812924,12.76774627,32.71918902,51.06582542,5.027463165,41.91579065,31.38284315,14.51749365,45.09742003,0.09836097817,0.2912611551,0.2912611551
ACTI-AGTV-X,0.2328162564,0.01933333333,0.2621873688,0.03866666667,0.058,0.058,0.1268540355,0.058,0.058,0.1268540355,0.1162435597,0.058,0.1268540355,0.058,0.058,0.1268540355,0.058,0.058,0.1850975952,0.058,0.058,0.1268540355,0.03866666667,0.058,0.1268540355,0.058,0.058,0.058,0.1268540355,0.058,0.058,0.1268540355,0.1162435597,0.058,0.1268540355,0.058,0.058,0.1268540355,0.058,0.058,0.1850975952,0.058,0.058,0.1268540355,0.058,0.058,0.1268540355,0.058,0.03866666667,0.1162435597,0.1268540355,0.058,0.058,0.1268540355,0.058,0.058,0.1850975952,0.058,0.058,0.1268540355,0.058,0.058,0.1268540355,0.1162435597,0.058,0,0.01933333333,0
ACTI-AICE06-X,59.91713038,668.6889686,29.97006618,76.47333458,32.17297852,79.57559514,98.22965903,2.487220144,32.16797299,39.70910005,109.7026074,49.2847914,49.425666,77.75381,71.68826635,613.479989,77.77912616,29.91107187,71.68042393,106.6196155,77.8099343,79.26839358,60.94109381,77.66273918,41.65881118,31.49833103,49.36760481,690.3057424,29.96913306,41.80089677,114.5410961,42.48219738,30.01830058,49.46492727,77.6048206,128.9291872,31.45054762,77.74559567,50.68390895,625.8222086,144.2590683,30.64879535,41.65881118,61.11240503,77.78485694,29.97960185,68.03633646,89.94830033,39.95174457,30.94547022,49.71706611,672.657404,106.9130445,49.55218814,106.8586,42.38192452,31.0033888,32.50118403,76.7561735,79.22494096,68.15169835,78.61745585,49.57573112,613.4207599,89.17723388,12.24971191,1.034398349,0.1491320032
ACTI-ALARB-X,606.3985189,196.7411849,0.1659214842,24.40191607,391.789655,0.9864932422,220.32253,195.58381,197.7179696,194.4362641,221.4938611,195.1805148,197.7965321,194.3687644,221.2304606,0.3168235373,391.1099493,141.4075971,391.2356926,0.1165037742,392.0103529,23.58134505,391.9217003,0.4337092943,221.2326621,194.8530218,198.1282183,194.1830238,220.32253,195.3759639,196.7411849,217.8958546,198.0894353,0,391.002772,24.71380385,391.1099293,0.06885403549,392.0187871,23.747229,196.9750585,195.2678944,220.2646773,194.4362641,196.9353397,195.288585,220.8178086,194.4989366,315.7308694,23.5720281,391.0027714,1.191645826,391.206956,23.4842776,392.0187871,0.4336900973,391.0415985,23.52221937,197.8467447,194.24217,220.2634044,195.4632621,196.8100389,0.3935719459,415.4245029,0.09836097817,0,0
ACTI-APLR-X,0,0,0,0,0,0,4.854317609,0,0,4.975232397,0,14.92569719,4.975232397,4.854317609,4.975232397,4.975232397,5.970226872,4.975232397,2.984983423,5.970226872,9.829550007,0,4.975232397,4.975232397,0,4.975232397,9.829550007,4.975232397,4.975232397,0,4.975232397,4.975232397,4.975232397,9.829550007,0,5.970226872,4.975232397,5.970226872,4.975232397,0.9949944744,4.975232397,4.975232397,5.970226872,0,4.975232397,5.970226872,4.975232397,0,4.975232397,5.970226872,4.975232397,5.970226872,4.975232397,0.9949944744,4.975232397,4.975232397,5.970226872,0,4.975232397,0.9949944744,4.975232397,4.975232397,0.9949944744,4.975232397,5.970226872,4.975232397,0,5.970226872
ACTI-APSC-X,0,0,0,0,0,0,36.03578947,0,0,0,36.91666667,0,0,0,36.03578947,2.895543175,36.91666667,0,0,0,0,36.03578947,36.91666667,0,0,2.895543175,0,36.91666667,0,36.03578947,0,0,36.91666667,0,0,0,2.895543175,36.03578947,36.91666667,0,0,0,0,36.91666667,36.03578947,0,2.895543175,0,36.91666667,0,0,0,36.03578947,36.91666667,0,0,0,2.895543175,36.91666667,0,36.03578947,0,0,0,36.91666667,0,0,0
ACTI-AR850-X,0,15.53384133,0,15.53384133,0,0,15.53384133,0,0,0,19.342841,0,0,15.53384133,3.808999676,0,15.53384133,0,3.808999676,19.04737998,15.53384133,0,3.808999676,15.53384133,0,0,0,19.342841,0,0,15.53384133,3.808999676,0,0,15.53384133,22.85637966,0,15.53384133,0,3.808999676,15.53384133,0,0,3.808999676,15.53384133,0,0,19.342841,0,0,0,19.342841,19.04737998,0,15.53384133,3.808999676,0,0,15.53384133,0,0,15.53384133,0,0,19.342841,0,0,0
ACTI-AVG10X-X,13760.02399,9087.223995,9345.6,0,0,0,0,0,9087.223995,970.8737864,0,4672.8,0,0,9087.223995,0,0,0,0,0,0,9087.223995,5643.673786,0,0,4672.8,0,9087.223995,0,4672.8,0,0,0,9087.223995,4672.8,970.8737864,0,4672.8,0,13760.02399,0,0,0,0,0,0,9087.223995,0,970.8737864,0,0,0,9087.223995,0,0,0,0,0,9087.223995,0,970.8737864,0,0,0,9087.223995,0,0,0
ACTI-AZCLR-X,0,58.24868868,0,0,0,0,0.02982640063,0,0,0,0,58.24868868,0,0.02982640063,0,0,0,0,58.24868868,0.02982640063,0,0,0,0,0,58.27851508,0,0,0,0,0,0.02982640063,0,58.24868868,0,0,0.02982640063,0,0,0,58.24868868,0.02982640063,0,0,0,0,0.02982640063,58.24868868,0,0,0,0,0.02982640063,0,58.24868868,0,0,0.02982640063,0,0,0,0,58.27851508,0,0,0,0,0.02982640063
ACTI-BCPL-X,478.9960169,0,0,0,478.9960169,0.8710169492,0,0.8710169492,0.8710169492,0,478.9960169,0.8710169492,0,0.8710169492,0.8710169492,478.125,0.8710169492,0.8710169492,0,478.9960169,0.8710169492,0,0.8710169492,0.8710169492,478.125,0.8710169492,0.8710169492,0,0.8710169492,478.9960169,0.8710169492,0.8710169492,0.8710169492,478.125,0.8710169492,0.8710169492,0.8710169492,0,478.9960169,0.8710169492,0.8710169492,0.8710169492,0,478.9960169,0.8710169492,0.8710169492,0.8710169492,478.125,0.8710169492,0.8710169492,0.8710169492,0.8710169492,478.125,0.8710169492,0.8710169492,0.8710169492,478.9960169,0,0.8710169492,0.8710169492,0.8710169492,0,0.8710169492,478.9960169,0.8710169492,0,0,0
ACTI-BTWH-X,8.727366352,2.989923274,0.66,0,9.77241784,0.32,0,13.58173528,0,0,9.77241784,0,3.809317443,9.77241784,0,0,9.77241784,3.809317443,0,4.854368932,4.918048908,0,3.809317443,9.77241784,0,0,9.77241784,3.809317443,0,9.77241784,0,0,13.58173528,0,0,4.854368932,4.918048908,0,8.663686375,4.918048908,0,4.854368932,4.918048908,0,8.663686375,4.918048908,0,0,4.854368932,8.727366352,0,4.854368932,4.918048908,0,4.854368932,8.727366352,0,4.854368932,4.918048908,0,4.854368932,8.727366352,0,0,4.854368932,4.918048908,0,0
ACTI-BWCTA-X,0,0,0,58.24904004,0,58.25129534,0,0,0,0,58.24904004,0,58.25129534,0,0,0,0,0,116.5003354,58.24904004,0,0,0,0,0,0,0,58.24904004,0,0,0,0,0,0,58.24904004,0,13.16511245,0,0,0,58.24904004,0,0,0,0,0,0,58.24904004,0,0,0,0,0,0,58.24904004,0,0,0,0,0,0,0,58.24904004,0,0,0,0,0
ACTI-CBSS-AM,1.149979158,1.349213096,0.5574157303,0.5825603242,1.351704631,1.349213096,1.154786867,1.155505231,1.348941594,1.349213096,1.349213096,1.349213096,1.543367824,1.543639326,1.543639326,1.543639326,1.738065555,1.737794053,1.932491785,1.740828592,1.932491785,1.738512418,1.932491785,1.932491785,1.932491785,2.514780607,1.932491785,1.73878392,2.126918014,2.126646512,1.932491785,2.126918014,3.487901621,3.68232785,3.682056349,3.490664657,4.848885227,4.654458998,5.043039955,4.848166863,3.099049162,3.099049162,3.486911755,3.099049162,2.126918014,2.127636379,2.321072742,2.126918014,2.321344244,2.710196703,2.515770473,2.712688238,2.710196703,3.098330797,2.904622932,3.292485525,3.292757027,2.321344244,2.321344244,2.515498972,2.321344244,2.321344244,2.710196703,2.904351431,2.903904568,2.135207124,1.746354665,1.746354665
ACTI-CPXY-X,478.2701695,93.20328591,0,0,478.2701695,0.1451694915,0,0.1451694915,0.1451694915,0,571.4734554,0.1451694915,0,0.1451694915,0.1451694915,478.125,0.1451694915,0.1451694915,0,571.4734554,0.1451694915,0,0.1451694915,0.1451694915,478.125,0.1451694915,0.1451694915,93.20328591,0.1451694915,478.2701695,0.1451694915,0.1451694915,0.1451694915,478.125,0.1451694915,0.1451694915,93.34845541,0,478.2701695,0.1451694915,0.1451694915,0.1451694915,0,478.2701695,93.34845541,0.1451694915,0.1451694915,478.125,0.1451694915,0.1451694915,0.1451694915,0.1451694915,571.3282859,0.1451694915,0.1451694915,0.1451694915,478.2701695,0,0.1451694915,0.1451694915,0.1451694915,93.20328591,0.1451694915,478.2701695,0.1451694915,0,0,0
ACTI-CSR10S-X,1.345458402,0.03809335638,0.03926126915,0.03809335638,0.03926126915,0.03809335638,0.07735462553,0.03809335638,0.03926126915,0.07735462553,0.03809335638,0.03926126915,0.03809335638,2.743729108,0.03809335638,0.03926126915,0.03809335638,0.07735462553,0.03926126915,0.03809335638,0.07735462553,0.03809335638,0.03926126915,0.03809335638,0.07735462553,0,0.07735462553,0.07735462553,0.03809335638,0.03926126915,0.03809335638,0.07735462553,0,0.07735462553,2.704467839,0.07735462553,0.03926126915,0.03809335638,0.07735462553,0,0.07735462553,0.03809335638,0.07735462553,0,0.07735462553,0.07735462553,0.03809335638,0.03926126915,0.03809335638,0.07735462553,0.03809335638,0.03926126915,0.03809335638,0.07735462553,0.07735462553,2.666374483,0.07735462553,0.03809335638,0.03926126915,0.03809335638,0.07735462553,0.03809335638,0.03926126915,0.07735462553,0.03809335638,0,0,0
ACTI-DNA-X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2912133891,0,0,0.2912133891,0,0.2912133891,0,0,0.2912133891,0,0,0.2912133891,0,0,0.2912133891,0,0,0.2912133891,0,0,0.2912133891,0,0,0.2912133891,0,0,0.2912133891,0,0,0.2912133891,0,0
