Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Korporat Code
BASE-R3L-BULK,TALC-OSBRTPD-X,0.757895
BASE-R3L-BULK,CORN---K,0.210526
BASE-R3L-BULK,ZINC-STW-X,0.010526
BASE-R3L-BULK,TITA-C-STCR5-K,0.010526
BASE-R3L-BULK,TITA--3328EW-K,0.010526
LAR-WGL%-BULK,WARN-UCGRKJ-X,0.0002
LAR-WGL%-BULK,OIL-BLWHMO-X,0.9998
LAR-LTE-BULK,EMUL-DERMSOLP-,0.006001
LAR-LTE-BULK,PEN-PRSVPE-X,0.006001
LAR-LTE-BULK,WARN-CAR--K,0.00272
LAR-WMHTG-BULK,WARN-RED33-X,0.005556
LAR-WMHTG-BULK,PEN-PRSVPE-X,0.003333
LAR-WMHTG-BULK,EMUL-DERMSOLP-,0.003333
LAR-SF30-BULK,SODA-C-ASA,0.3
WARN-RED3ASTDMS-BULK,POWD-TDMS-,0.5
WARN-RED3ASTDMS-BULK,WARN-RED3AS-X,0.5
WARN-B-BULK,EMUL-DERMSOLP-,0.006
WARN-B-BULK,PEN-PRSVPE-X,0.006
WARN-B-BULK,WARN-BB--K,0.02172
WARN-K-BULK,PEN-PRSVPE-X,0.006
WARN-K-BULK,EMUL-DERMSOLP-,0.006
WARN-K-BULK,WARN-TRTYL-X,0.02177
WARN-A450TDMS-BULK,POWD-TDMS-,0.5
WARN-A450TDMS-BULK,WARN-A450-X,0.5
LAR-LICODDC-BULK,SILI-2005-DC-K,0.99996
LAR-LICODDC-BULK,LICO-D-EXTPT40-G,0.00005
WARN-LSMC19011-BULK,HAIM-DIS-X,0.899
WARN-LSMC19011-BULK,WARN-C19011-R7CL-K,0.1
WARN-LSMC19011-BULK,VITA-DL E-MS,0.001
WARN-LSMC715171-BULK,HAIM-DIS-X,0.899
WARN-LSMC715171-BULK,WARN-DCY10AL-X,0.1
WARN-LSMC715171-BULK,VITA-DL E-MS,0.001
WARN-LSMTITA-BULK,HAIM-DIS-X,0.799
WARN-LSMTITA-BULK,TITA--3328EW-K,0.2
WARN-LSMTITA-BULK,VITA-DL E-MS,0.001
WARN-TETDMS-BULK,POWD-TDMS-,0.5
WARN-TETDMS-BULK,WARN-TE-A40BIOSC-K,0.5
WARN-LT--BULK,PEN-PRSVPE-X,0.006
WARN-LT--BULK,EMUL-DERMSOLP-,0.006
WARN-LT--BULK,WARN-CAR--K,0.02172
WARN-TE--PBULK,WARN-TE-A40BIOSC-K,1
WARN-C196619-BULK,VITA-DL E-MS,0.001
WARN-C196619-BULK,HAIM-DIS-X,0.899
WARN-C196619-BULK,WARN-C196619-R6-K,0.1
WARN-LSMCOSG-BULK,VITA-DL E-MS,0.001
WARN-LSMCOSG-BULK,HAIM-DIS-X,0.899
WARN-LSMCOSG-BULK,WARN-COSG--K,0.1
WARN-TOA403-BULK,VITA-DL E-MS,0.001
WARN-TOA403-BULK,HAIM-DIS-X,0.899
WARN-TOA403-BULK,WARN-TOA403-KF,0.1
WARN-CBTO-BULK,HAIM-DIS-X,0.27964
WARN-CBTO-BULK,EMO-SLCHS-X,0.0424
WARN-CBTO-BULK,TITA-OTS2CR50-,0.67795
WARN-CBTRO-BULK,HAIM-DIS-X,0.31088
WARN-CBTRO-BULK,WARN-TOA403-KF,0.65026
WARN-CBTRO-BULK,EMO-SLCHS-X,0.03886
WARN-CBC19011-BULK,WARN-C19011-R7CL-K,0.000438
WARN-CBC19011-BULK,STEA-DSP300-X,0.000064
WARN-CBC19011-BULK,COSM-222--K,0.000498
WARN-CBC19012-BULK,COSM-222--K,0.0008
WARN-CBC19012-BULK,STEA-DSP300-X,0.00006
WARN-CBC19012-BULK,WARN-C19012-DCR6-K,0.00044
WARN-CBC196619-BULK,COSM-222--K,0.000618
WARN-CBC196619-BULK,STEA-DSP300-X,0.000035
WARN-CBC196619-BULK,WARN-C196619-R6-K,0.000347
WARN-CB338073-BULK,COSM-222--K,0.000359
WARN-CB338073-BULK,WARN-C338--K,0.000583
WARN-CB338073-BULK,STEA-DSP300-X,0.000058
LAR-BE-BULK,PEN-PRSVPE-X,0.006
LAR-BE-BULK,EMUL-DERMSOLP-,0.006
LAR-BE-BULK,WARN-BB--K,0.00018
WARN-SI217TDMS-BULK,POWD-TDMS-,0.5
WARN-SI217TDMS-BULK,WARN-S12RN217--K,0.5
