Kode Unik,Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Korporat Code
BO-MMB05-MO/BO-MMB05-BULK,BO-MMB05-BULK/2,CERE-810-,0.05
BO-MMB05-MO/BO-MMB05-BULK,BO-MMB05-BULK/2,SFT-S649-X,0.03
BO-MMB05-MO/BO-MMB05-BULK,BO-MMB05-BULK/2,SILI-4515-,0.1658
BO-MMB05-MO/BO-MMB05-BULK,BO-MMB05-BULK/2,DRYF-PC-X,0.11
BO-MMB05-MO/BO-MMB05-BULK,BO-MMB05-BULK/2,SALA-99--K,0.2457
BO-MMB05-MO/BO-MMB05-BULK,BO-MMB05-BULK/2,COSM-222--K,0.08
BO-MMB05-MO/BO-MMB05-BULK,BO-MMB05-BULK/2,WAX-PFRMSW-X,0.06
BO-MMB05-MO/BO-MMB05-BULK,BO-MMB05-BULK/2,PEN-PRSVPE-X,0.008
BO-MMB05-MO/BO-MMB05-BULK,BO-MMB05-BULK/2,PENG-SYM68-X,0.006
BO-MMB05-MO/BO-MMB05-BULK,BO-MMB05-BULK/2,PEN-SENSC50-X,0.004
BO-MMB05-MO/BO-MMB05-BULK,BO-MMB05-BULK/2,EMU-ACT-X,0.02
BO-MMB05-MO/BO-MMB05-BULK,BO-MMB05-BULK/2,WAX-SBWX--X,0.03
BO-MMB05-MO/BO-MMB05-BULK,BO-MMB05-BULK/2,TOSP-2000B-X,0.05
BO-MMB05-MO/BO-MMB05-BULK,BO-MMB05-BULK/2,POWD-H53-X,0.02
BO-MMB05-MO/BO-MMB05-BULK,BO-MMB05-BULK/2,STEA-DSP300-X,0.005
BO-MMB05-MO/BO-MMB05-BULK,BO-MMB05-BULK/2,WARN-C19012-DCR6-K,0.002
BO-MMB05-MO/BO-MMB05-BULK,BO-MMB05-BULK/2,WARN-TOA403-KF,0.008
BO-MMB05-MO/BO-MMB05-BULK,BO-MMB05-BULK/2,VITA-DL E-MS,0.002
BO-MMB05-MO/BO-MMB05-BULK,BO-MMB05-BULK/2,TITA--3328EW-K,0.0635
BO-MMB05-MO/BO-MMB05-BULK,BO-MMB05-BULK/2,PARF-AMSKLG-X,0.0005
BO-MMB05-MO/BO-MMB05-BULK,BO-MMB05-BULK/2,WARN-C338--K,0.035
BO-MMB05-MO/BO-MMB05-BULK,BO-MMB05-BULK/2,WARN-C19011-R7CL-K,0.0045
SRM-CSAE-W/SRM-CSAE-BULK,SRM-CSAE-BULK/FS.DND.W0056-VER.01,ACTI-ADPL-X,0.02
SRM-CSAE-W/SRM-CSAE-BULK,SRM-CSAE-BULK/FS.DND.W0056-VER.01,ORGA-EXD-ARK,0.02
SRM-CSAE-W/SRM-CSAE-BULK,SRM-CSAE-BULK/FS.DND.W0056-VER.01,DPG-LO-,0.06
SRM-CSAE-W/SRM-CSAE-BULK,SRM-CSAE-BULK/FS.DND.W0056-VER.01,COVB-LH8-,0.02
SRM-CSAE-W/SRM-CSAE-BULK,SRM-CSAE-BULK/FS.DND.W0056-VER.01,ARMO-HD--K,0.08
SRM-CSAE-W/SRM-CSAE-BULK,SRM-CSAE-BULK/FS.DND.W0056-VER.01,GLYC--ECOS-K,0.08
SRM-CSAE-W/SRM-CSAE-BULK,SRM-CSAE-BULK/FS.DND.W0056-VER.01,SILI-2005-DC-K,0.04
SRM-CSAE-W/SRM-CSAE-BULK,SRM-CSAE-BULK/FS.DND.W0056-VER.01,EMUL-KF6017-X,0.02
SRM-CSAE-W/SRM-CSAE-BULK,SRM-CSAE-BULK/FS.DND.W0056-VER.01,ACTI-APSC-X,0.03
SRM-CSAE-W/SRM-CSAE-BULK,SRM-CSAE-BULK/FS.DND.W0056-VER.01,VITA-B3PC-X,0.03
SRM-CSAE-W/SRM-CSAE-BULK,SRM-CSAE-BULK/FS.DND.W0056-VER.01,WAX-CTHRFL-X,0.0075
SRM-CSAE-W/SRM-CSAE-BULK,SRM-CSAE-BULK/FS.DND.W0056-VER.01,EMUL-KSG210-X,0.015
SRM-CSAE-W/SRM-CSAE-BULK,SRM-CSAE-BULK/FS.DND.W0056-VER.01,PENG-PHC-X,0.01
SRM-CSAE-W/SRM-CSAE-BULK,SRM-CSAE-BULK/FS.DND.W0056-VER.01,EMUL-KSG710-X,0.01
SRM-CSAE-W/SRM-CSAE-BULK,SRM-CSAE-BULK/FS.DND.W0056-VER.01,EDT-B--K,0.001
SRM-CSAE-W/SRM-CSAE-BULK,SRM-CSAE-BULK/FS.DND.W0056-VER.01,ACTI-RBN-X,0.005
SRM-CSAE-W/SRM-CSAE-BULK,SRM-CSAE-BULK/FS.DND.W0056-VER.01,ACTI-ECTC-X,0.005
SRM-CSAE-W/SRM-CSAE-BULK,SRM-CSAE-BULK/FS.DND.W0056-VER.01,ACTI-MGCS-X,0.00001
P-CESR-W/SRM-CAB-BULK,SRM-CAB-BULK/FS.RND.W0054-VER.03,HUM-HYTGEST-X,0.005
P-CESR-W/SRM-CAB-BULK,SRM-CAB-BULK/FS.RND.W0054-VER.03,PARF-CTPSMOD-X,0.0002
P-CESR-W/SRM-CAB-BULK,SRM-CAB-BULK/FS.RND.W0054-VER.03,EDT-B--K,0.0005
P-CESR-W/SRM-CAB-BULK,SRM-CAB-BULK/FS.RND.W0054-VER.03,PENG-PHC-X,0.0075
P-CESR-W/SRM-CAB-BULK,SRM-CAB-BULK/FS.RND.W0054-VER.03,ALAN--AK-K,0.001
P-CESR-W/SRM-CAB-BULK,SRM-CAB-BULK/FS.RND.W0054-VER.03,MATR-3000-X,0.03
P-CESR-W/SRM-CAB-BULK,SRM-CAB-BULK/FS.RND.W0054-VER.03,HUM-GLU20-X,0.05
P-CESR-W/SRM-CAB-BULK,SRM-CAB-BULK/FS.RND.W0054-VER.03,SILI-TSF3-,0.015
P-CESR-W/SRM-CAB-BULK,SRM-CAB-BULK/FS.RND.W0054-VER.03,ACTI-MGCS-X,0.0015
P-CESR-W/SRM-CAB-BULK,SRM-CAB-BULK/FS.RND.W0054-VER.03,EMUL-PMLEZU-X,0.001
P-CESR-W/SRM-CAB-BULK,SRM-CAB-BULK/FS.RND.W0054-VER.03,ACTI-ECTC-X,0.02
P-CESR-W/SRM-CAB-BULK,SRM-CAB-BULK/FS.RND.W0054-VER.03,GLYC--ECOS-K,0.01
P-CESR-W/SRM-CAB-BULK,SRM-CAB-BULK/FS.RND.W0054-VER.03,VITA-DL E-MS,0.002
P-CESR-W/SRM-CAB-BULK,SRM-CAB-BULK/FS.RND.W0054-VER.03,EMU-SCM3EST-X,0.005
P-CESR-W/SRM-CAB-BULK,SRM-CAB-BULK/FS.RND.W0054-VER.03,TRI--DOW-K,0.0004
P-CESR-W/SRM-CAB-BULK,SRM-CAB-BULK/FS.RND.W0054-VER.03,EMUL-NVMEC2PLM-X,0.004
P-CESR-W/SRM-CAB-BULK,SRM-CAB-BULK/FS.RND.W0054-VER.03,VITA-B3PC-X,0.0175
TC-PMW41-MO12G/TC-PMW41-BULK,TC-PMW41-BULK/20,UVIN-MC80-BASF,0.04
TC-PMW41-MO12G/TC-PMW41-BULK,TC-PMW41-BULK/20,TALC-C-2KPD-X,0.349189
TC-PMW41-MO12G/TC-PMW41-BULK,TC-PMW41-BULK/20,ACTI-VEAC-X,0.0001
TC-PMW41-MO12G/TC-PMW41-BULK,TC-PMW41-BULK/20,LAR-LICODDC-BULK,0.005
TC-PMW41-MO12G/TC-PMW41-BULK,TC-PMW41-BULK/20,ZINC-ZNOLYS-X,0.01
TC-PMW41-MO12G/TC-PMW41-BULK,TC-PMW41-BULK/20,PEN-SENSC50-X,0.004
TC-PMW41-MO12G/TC-PMW41-BULK,TC-PMW41-BULK/20,PARF-AMSKLG-X,0.0001
TC-PMW41-MO12G/TC-PMW41-BULK,TC-PMW41-BULK/20,WARN-YLW3AS-X,0.019297
TC-PMW41-MO12G/TC-PMW41-BULK,TC-PMW41-BULK/20,EUTA-G-X,0.015
TC-PMW41-MO12G/TC-PMW41-BULK,TC-PMW41-BULK/20,TIT-MT60S-X,0.02
TC-PMW41-MO12G/TC-PMW41-BULK,TC-PMW41-BULK/20,ORGA-EXD-ARK,0.025
TC-PMW41-MO12G/TC-PMW41-BULK,TC-PMW41-BULK/20,WARN-RED3ASTDMS-BULK,0.011015
