week,year,brand,coitem,product,co_volume,do_volume,co_value,do_value,kr,casefill,loss_pcs,cont_loss_pcs_by_brand,loss_value,cont_loss_value_by_brand,problem,action,estimation_recovery
21,2023,BIODEF,HBW-BWN1D-BD,BIODEF NATURAL PROTECTION MINT + YUZU BODY WASH ANTISEPTIK ALAMI BOTOL 275 ML,603,308,14341157,7321433,1257.434222,0.5108,295,0.8626,7019724,0.912,,,
21,2023,BIODEF,HBW-HWN1B-BD,BIODEF NATURAL PROTECTION MINT + YUZU HAND WASH ANTISEPTIK ALAMI POUCH 200 ML,260,221,3600413,3070013,675.5645505,0.85,39,0.114,530400,0.0689,,,
21,2023,BIODEF,HBW-HWN2B-BD,BIODEF NATURAL PROTECTION MINT + YUZU HAND WASH ANTISEPTIK ALAMI BOTOL 250 ML,216,213,4065192,4011642,379.3550187,0.9861,3,0.0088,53550,0.007,,,
21,2023,BIODEF,HBW-HWN1-BD,BIODEF NATURAL PROTECTION MINT + GREEN TEA HAND WASH ANTISEPTIK ALAMI POUCH 200 ML,195,192,2694900,2655375,573.1708258,0.9846,3,0.0088,39525,0.0051,,,
21,2023,BIODEF,HBW-BWN2C-BD,BIODEF NATURAL PROTECTION MINT + GREEN TEA BODY WASH ANTISEPTIK ALAMI POUCH 400 ML,5296,5294,128313534,128259534,17684.22594,0.9996,2,0.0058,54000,0.007,,,
21,2023,BIODEF,HBW-BWN2D-BD,BIODEF NATURAL PROTECTION MINT + YUZU BODY WASH ANTISEPTIK ALAMI POUCH 400 ML,1422,1422,34670534,34670534,6279.543536,1,0,0,0,0,,,
21,2023,BIODEF,P-RURM-BD,BIODEF RAMADHAN PACKAGE 2023 URBAN MOM,2,2,165000,165000,,1,0,0,0,0,,,
21,2023,BIODEF,HBW-BWN2A-BD,BIODEF NATURAL PROTECTION MINT + SEA SALT BODY WASH ANTISEPTIK ALAMI POUCH 400 ML,1667,1667,40724910,40724910,16890.41401,1,0,0,0,0,,,
21,2023,BIODEF,P-ROUM-BD,BIODEF RAMADHAN PACKAGE 2023 OUTDOOR MOM,2,2,145000,145000,,1,0,0,0,0,,,
21,2023,BIODEF,HBW-BWN1A-BD,BIODEF NATURAL PROTECTION MINT + SEA SALT BODY WASH ANTISEPTIK ALAMI BOTOL 275 ML,268,268,6431758,6431758,1346.193933,1,0,0,0,0,,,
21,2023,BIODEF,HBW-BWN1C-BD,BIODEF NATURAL PROTECTION MINT + GREEN TEA BODY WASH ANTISEPTIK ALAMI BOTOL 275 ML,250,250,5934058,5934058,1062.947796,1,0,0,0,0,,,
21,2023,BIODEF,HBW-HWN2-BD,BIODEF NATURAL PROTECTION MINT + GREEN TEA HAND WASH ANTISEPTIK ALAMI BOTOL 250 ML,184,184,3479442,3479442,362.4128363,1,0,0,0,0,,,
21,2023,BIODEF,P-RHLM-BD,BIODEF RAMADHAN PACKAGE 2023 HOME LOVIN’ MOM,3,3,235500,235500,,1,0,0,0,0,,,
21,2023,CRYSTALLURE,MY-REMCDAMG-W,MALAYSIA CRYSTALLURE SUPREME DOUBLE ACTION MICELLAR GEL 150 ML,84,0,9063848.64,0,28.75758335,0,84,0.24,9063848.64,0.1516,,,
21,2023,CRYSTALLURE,MY-MCSAHG-W,MALAYSIA CRYSTALLURE SUPREME ADVANCED HYDRA GEL 50 G,72,0,12553770.24,0,40.63571635,0,72,0.2057,12553770.24,0.21,,,
21,2023,CRYSTALLURE,MY-SRMCAB-W,MALAYSIA CRYSTALLURE SUPREME ACTIVATING BOOSTER ESSENCE 30 ML,51,0,10169923.06,0,40.63571739,0,51,0.1457,10169923.06,0.1701,,,
21,2023,CRYSTALLURE,MY-MCSRRC-W,MALAYSIA CRYSTALLURE SUPREME REVITALIZING RICH CREAM 50 G,36,0,6276885.12,0,40.63571635,0,36,0.1029,6276885.12,0.105,,,
21,2023,CRYSTALLURE,SRM-CSAE-W,CRYSTALLURE SUPREME ADVANCED EYE SERUM 15 ML,103,79,17729000,13629000,187.1138542,0.767,24,0.0686,4100000,0.0686,,,
21,2023,CRYSTALLURE,BO-CPLP-W,CRYSTALLURE PRECIOUS LUSTRE PRISM BLUSH 10 G,110,96,13873000,12109000,130.2188944,0.8727,14,0.04,1764000,0.0295,,,
21,2023,CRYSTALLURE,B-CPGR02-W,CRYSTALLURE PRECIOUS GLOW RADIANCE POWDER 13 BEIGE 18 G,59,49,9589000,7999000,111.2607678,0.8305,10,0.0286,1590000,0.0266,,,
21,2023,CRYSTALLURE,M-CSRRC-W,CRYSTALLURE SUPREME REVITALIZING RICH CREAM 50 G,406,396,91346000,89034000,681.7390779,0.9754,10,0.0286,2312000,0.0387,,,
21,2023,CRYSTALLURE,M-CSAOC-W,CRYSTALLURE SUPREME ACTIVATING OVERNIGHT CREAM 50 G,358,349,86216000,84068000,447.4148673,0.9749,9,0.0257,2148000,0.0359,,,
21,2023,CRYSTALLURE,FT-CHG-W,CRYSTALLURE DUAL REFINING TREATMENT SOLUTION 120 ML,114,108,30566000,28856000,181.7230464,0.9474,6,0.0171,1710000,0.0286,,,
21,2023,CRYSTALLURE,P-CSC1-W,ULTIMATE GLOW ESSENTIALS HAMPERS,7,2,2779000,794000,,0.2857,5,0.0143,1985000,0.0332,,,
21,2023,CRYSTALLURE,REM-CDAMG-W,CRYSTALLURE SUPREME DOUBLE ACTION MICELLAR GEL 150 ML,174,169,21894000,21274000,237.5952224,0.9713,5,0.0143,620000,0.0104,,,
21,2023,CRYSTALLURE,P-CLBOISC-W,CRYSTALLURE ULTIMATE ANTI-AGING ALL IN PACKAGE,45,40,18450000,16400000,,0.8889,5,0.0143,2050000,0.0343,,,
21,2023,CRYSTALLURE,CON-CPADC01-W,CRYSTALLURE PRECIOUS ALL DAY CORRECTIVE CONCEALER 11 LIGHT 1.9 ML,54,50,6690000,6198000,93.66561262,0.9259,4,0.0114,492000,0.0082,,,
21,2023,CRYSTALLURE,SRM-CAB-W,CRYSTALLURE SUPREME ACTIVATING BOOSTER ESSENCE 30 ML,401,398,102575000,101825000,727.4893692,0.9925,3,0.0086,750000,0.0125,,,
21,2023,CRYSTALLURE,P-CESR-W,CRYSTALLURE ESSENTIAL SKINCARE ROUTINE,24,21,6288000,5538000,88.35990006,0.875,3,0.0086,750000,0.0125,,,
21,2023,CRYSTALLURE,L-CPRLC03-W,CRYSTALLURE PRECIOUS LIQUID LIP COUTURE 03 GRANDIOSE 6.5 G,59,56,7070000,6716000,77.81613273,0.9492,3,0.0086,354000,0.0059,,,
21,2023,CRYSTALLURE,TC-CPLS04-W,CRYSTALLURE PRECIOUS LUMINIZING SILK POWDER FOUNDATION 14 CREME 12 G,19,16,3534000,2976000,34.64734496,0.8421,3,0.0086,558000,0.0093,,,
21,2023,CRYSTALLURE,TC-CPLS02-W,CRYSTALLURE PRECIOUS LUMINIZING SILK POWDER FOUNDATION 12 IVORY 12 G,68,66,12724000,12352000,85.44732779,0.9706,2,0.0057,372000,0.0062,,,
21,2023,CRYSTALLURE,B-CPGR01-W,CRYSTALLURE PRECIOUS GLOW RADIANCE POWDER 12 IVORY 18 G,74,73,12118000,11959000,103.5312938,0.9865,1,0.0029,159000,0.0027,,,
21,2023,CRYSTALLURE,M-CSAHG-W,CRYSTALLURE SUPREME ADVANCED HYDRA GEL 50 G,128,128,28564000,28564000,211.8631556,1,0,0,0,0,,,
21,2023,CRYSTALLURE,L-CPRLC05-W,CRYSTALLURE PRECIOUS LIQUID LIP COUTURE 05 LUXE 6.5 G,37,37,4390000,4390000,74.18583236,1,0,0,0,0,,,
21,2023,CRYSTALLURE,P-CTK-W,CRYSTALLURE ESSENTIAL SKIN CARE ROUTINE,4,4,1000000,1000000,,1,0,0,0,0,,,
21,2023,CRYSTALLURE,L-CPRLC04-W,CRYSTALLURE PRECIOUS LIQUID LIP COUTURE 04 HAUTE 6.5 G,95,95,11294000,11294000,74.10802705,1,0,0,0,0,,,
21,2023,CRYSTALLURE,TC-CPLS01-W,CRYSTALLURE PRECIOUS LUMINIZING SILK POWDER FOUNDATION 11 FAIR 12 G,37,37,6901000,6901000,58.59749136,1,0,0,0,0,,,
21,2023,CRYSTALLURE,FW-CFW-W,CRYSTALLURE MOISTURE RICH CLEANSING FOAM 100 ML,260,260,31484000,31484000,396.2972632,1,0,0,0,0,,,
21,2023,CRYSTALLURE,TC-CPLS03-W,CRYSTALLURE PRECIOUS LUMINIZING SILK POWDER FOUNDATION 13 BEIGE 12 G,56,56,10549000,10549000,95.01851675,1,0,0,0,0,,,
21,2023,CRYSTALLURE,CON-CPADC02-W,CRYSTALLURE PRECIOUS ALL DAY CORRECTIVE CONCEALER 12 BEIGE1.9 ML,48,48,5940000,5940000,77.38314018,1,0,0,0,0,,,
21,2023,CRYSTALLURE,P-CGK-W,CRYSTALLURE ADVANCED GLOW KIT,34,34,8660000,8660000,172.7226251,1,0,0,0,0,,,
