coitem,Level 1,Level 2,Level 3,week,year
2PR--MO100ML,,,,23,2023
A-BPCB-W20G,,,,23,2023
A-DM-W40ML,,,,23,2023
A-FP-W20G,,,,23,2023
A-NTM-W40ML,,,,23,2023
A-PFC-W60ML,,,,23,2023
A-PRT-W100ML,,,,23,2023
A-SATG-W15ML,,,,23,2023
B-BSLP-EM,,,,23,2023
B-CLCLPA-W,,,,23,2023
B-CLCLPB-W,,,,23,2023
B-CLCLPC-W,,,,23,2023
B-CLCLPD-W,,,,23,2023
B-CPGR01-W,,,,23,2023
B-CPGR02-W,,,,23,2023
B-DMCP01-EM,,,,23,2023
B-DMCP02-EM,,,,23,2023
B-DMCP03-EM,Demand Opportunity,Packaging Material,,23,2023
B-DMCP04-EM,,,,23,2023
B-DMLP01-EM,,,,23,2023
B-DMLP02-EM,,,,23,2023
B-EL01-W,,,,23,2023
B-EL02-W,,,,23,2023
B-EL03-W,,,,23,2023
B-EL04-W,,,,23,2023
B-EXLP-MO,,,,23,2023
B-HRFP-MO,,,,23,2023
B-IPQSP11-W,,,,23,2023
B-IPQSP12-W,,,,23,2023
B-IPQSP13-W,,,,23,2023
B-IPQSP14-W,,,,23,2023
B-IPQSP15-W,,,,23,2023
B-IPQSP16-W,,,,23,2023
B-NFSDMCP02-EM,,,,23,2023
B-PMT-MO11G,,,,23,2023
B-PT01-MO35G,,,,23,2023
B-PT02-MO35G,,,,23,2023
B-PT03-MO35G,,,,23,2023
B-PT04-MO35G,,,,23,2023
B-PT05-MO35G,,,,23,2023
B-PT06-MO35G,,,,23,2023
B-PT07-MO35G,,,,23,2023
B-R3L01LB-W,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
B-R3L02B-W,Supply,Material,,23,2023
B-R3L03I-W,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
B-R3L04N-W,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
B-R4L01LB-W,,,,23,2023
B-R4L02B-W,,,,23,2023
B-R4L03I-W,,,,23,2023
B-R4L04N-W,,,,23,2023
B-RBMLP01-EM,,,,23,2023
B-RBMLP02-EM,,,,23,2023
B-RBMLP03-EM,,,,23,2023
B-RBMLP04-EM,,,,23,2023
B-RBSLP-EM,,,,23,2023
B-SFLP-EM8G,,,,23,2023
B-SPB-MO13GR,,,,23,2023
B-SPC-MO13GR,,,,23,2023
B-SPG-MO13GR,,,,23,2023
B-SPQ-MO13GR,,,,23,2023
B-W3ELFP01-W30G,,,,23,2023
B-W3ELFP02-W30G,,,,23,2023
B-W3ELFP03-W30G,,,,23,2023
B-W3ELFP04-W30G,,,,23,2023
BBC-EL-W15ML,,,,23,2023
BBC-EL-W30ML,,,,23,2023
BBC-EN-W15ML,,,,23,2023
BBC-EN-W30ML,,,,23,2023
BBC-HSBBC-EM,,,,23,2023
BBC-HSBBL-EM,,,,23,2023
BBC-HSBBN-EM,,,,23,2023
BBC-L03N1-W,,,,23,2023
BBC-L03N2-W,,,,23,2023
BBC-L04N1-W,,,,23,2023
BBC-L04N2-W,,,,23,2023
BBC-LL-W15ML,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
BBC-LL-W30ML,,,,23,2023
BBC-LN-W15ML,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
BBC-LN-W30ML,,,,23,2023
BBC-RL01N1-W,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
BBC-RL01N2-W,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
BBC-RL02N1-W,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
BBC-RL02N2-W,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
BL-BSEG01-B,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
BL-BSMT01-B,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
BO-BSA-MO,,,,23,2023
BO-BSB-MO,,,,23,2023
BO-BSC-MO,,,,23,2023
BO-CLBSNT-EM,,,,23,2023
BO-CLBSPE-EM,,,,23,2023
BO-CLBSPI-EM,,,,23,2023
BO-CLCNB-EM10ML,,,,23,2023
BO-CLCPE-EM10ML,,,,23,2023
BO-CLCPI-EM10ML,,,,23,2023
BO-CLCVI-EM10ML,,,,23,2023
BO-CLPBAC-EM,Order Management,Alignment NPD/PIPO,Alignment NPD/PIPO,23,2023
