Kode Unik,Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Material Type,BoM Lines/Quantity,BoM Lines/Product Unit of Measure
"L-IMC020-MO6,5G/6","L-IMC020-MO6,5G",CAPA-IMLCR0-MO,Packaging Material,1.000000,Pc(s)
"L-IMC020-MO6,5G/6","L-IMC020-MO6,5G",BOTO-PIMLCR1-MO,Packaging Material,1.000000,Pc(s)
"L-IMC020-MO6,5G/6","L-IMC020-MO6,5G",DUS-IMLC1520R1-MOILD,Packaging Material,1.000000,Pc(s)
"L-IMC020-MO6,5G/6","L-IMC020-MO6,5G",STIC-BIMLC20R1-MOMSF,Packaging Material,1.000000,Pc(s)
"L-IMC020-MO6,5G/6","L-IMC020-MO6,5G",STIC-BCIMLC20R0-MOPP,Packaging Material,1.000000,Pc(s)
"L-IMC020-MO6,5G/6","L-IMC020-MO6,5G",IBOX-12IMLCR0-MODNF,Packaging Material,0.083330,Pc(s)
CON-CPADC01-W/2,CON-CPADC01-W,CONT-CCC01R0-W,Packaging Material,1.000000,Pc(s)
CON-CPADC01-W/2,CON-CPADC01-W,BRUS-CPCCC01R0-W,Packaging Material,1.000000,Pc(s)
CON-CPADC01-W/2,CON-CPADC01-W,CAP-CPCCC01R0-W,Packaging Material,1.000000,Pc(s)
CON-CPADC01-W/2,CON-CPADC01-W,DUS-CPADCCR0-W,Packaging Material,1.000000,Pc(s)
CON-CPADC01-W/2,CON-CPADC01-W,STIC-VCPADCC11R0-W,Packaging Material,1.000000,Pc(s)
CON-CPADC01-W/2,CON-CPADC01-W,IBOX-CPADCC-W,Packaging Material,0.083330,Pc(s)
CON-CPADC02-W/2,CON-CPADC02-W,CONT-CCC02R0-W,Packaging Material,1.000000,Pc(s)
CON-CPADC02-W/2,CON-CPADC02-W,BRUS-CPCCC02R0-W,Packaging Material,1.000000,Pc(s)
CON-CPADC02-W/2,CON-CPADC02-W,CAP-CPCCC02R0-W,Packaging Material,1.000000,Pc(s)
CON-CPADC02-W/2,CON-CPADC02-W,DUS-CPADCCR0-W,Packaging Material,1.000000,Pc(s)
CON-CPADC02-W/2,CON-CPADC02-W,STIC-VCPADCC12R0-W,Packaging Material,1.000000,Pc(s)
CON-CPADC02-W/2,CON-CPADC02-W,IBOX-CPADCC-W,Packaging Material,0.083330,Pc(s)
L-EMC13DP-W/6,L-EMC13DP-W,BOTP-EMLCR0-W,Intermediate,1.000000,Pc(s)
L-EMC13DP-W/6,L-EMC13DP-W,CAPA-WEMLNSR0-W,Packaging Material,1.000000,Pc(s)
L-EMC13DP-W/6,L-EMC13DP-W,STIC-BOTEMLC13R2-W,Packaging Material,1.000000,Pc(s)
L-EMC13DP-W/6,L-EMC13DP-W,DUS-EMLC13R1-W,Packaging Material,1.000000,Pc(s)
L-EMC13DP-W/6,L-EMC13DP-W,STIC-HEMLCR1-W,Packaging Material,1.000000,Pc(s)
L-EMC13DP-W/6,L-EMC13DP-W,STIC-PEMLC13R0-W,Packaging Material,1.000000,Pc(s)
L-EMC13DP-W/6,L-EMC13DP-W,IBOX-RRPEMLCR0-W,Packaging Material,0.083330,Pc(s)
L-EMC13DP-W/6,L-EMC13DP-W,KB-WIOTAR1-W,Packaging Material,0.006940,Pc(s)
BBC-EL-W15ML/5,BBC-EL-W15ML,DUSS-EBBCL15C-W,Intermediate,1.000000,Pc(s)
BBC-EL-W15ML/5,BBC-EL-W15ML,TUBE-EBBCL15-W2580,Packaging Material,1.000000,Set
BBC-EL-W15ML/5,BBC-EL-W15ML,KB-WBBC15-KMK150BF,Packaging Material,0.020830,Pc(s)
BBC-EL-W30ML/10,BBC-EL-W30ML,DUSS-EBBCL30C-W,Intermediate,1.000000,Pc(s)
BBC-EL-W30ML/10,BBC-EL-W30ML,TUBE-EBBCL30R3-W3095,Packaging Material,1.000000,Pc(s)
BBC-EL-W30ML/10,BBC-EL-W30ML,KB-WBBC30-KMK150BF,Packaging Material,0.027780,Pc(s)
