Kode Unik,Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Material Type,BoM Lines/Quantity,BoM Lines/Product Unit of Measure,,Tidak ada BOM
A-BPCB-W20G/5,A-BPCB-W20G,CAP-CABPCB-WASABS,Packaging Material,1.00,Pc(s),,2PR--MO100ML
A-BPCB-W20G/5,A-BPCB-W20G,CONT-ABPCB-WASABS,Packaging Material,1.00,Pc(s),,A-DM-W40ML
A-BPCB-W20G/5,A-BPCB-W20G,STIC-BOTAPBBR1-WCNF,Packaging Material,1.00,Pc(s),,A-FP-W20G
A-BPCB-W20G/5,A-BPCB-W20G,DUS-APBBR1-WACLG,Packaging Material,1.00,Pc(s),,A-NTM-W40ML
A-BPCB-W20G/5,A-BPCB-W20G,KB-W100BR2-KMM125BF,Packaging Material,0.02,Pc(s),,A-PFC-W60ML
B-BSLP-EM/7,B-BSLP-EM,BOTO-SBSLPR4-E,Intermediate,1.00,Pc(s),,A-PRT-W100ML
B-BSLP-EM/7,B-BSLP-EM,CAPS-BSLPR2-EM,Packaging Material,1.00,Pc(s),,A-SATG-W15ML
B-BSLP-EM/7,B-BSLP-EM,SHIF-STBSLPR1-EBS,Packaging Material,1.00,Pc(s),,B-CPGR01-W
B-BSLP-EM/7,B-BSLP-EM,KB-ECR1-KMK125CF,Packaging Material,0.03,Pc(s),,B-CPGR02-W
B-CLCLPA-W/4,B-CLCLPA-W,POT-CMPR0-W,Packaging Material,1.00,Pc(s),,B-DMLP01-EM
B-CLCLPA-W/4,B-CLCLPA-W,SHIF-CMPR0-W,Packaging Material,1.00,Pc(s),,B-DMLP02-EM
B-CLCLPA-W/4,B-CLCLPA-W,CAPP-CMPR0-W,Packaging Material,1.00,Pc(s),,B-EL01-W
B-CLCLPA-W/4,B-CLCLPA-W,PUFF-CMPR0-W,Packaging Material,1.00,Pc(s),,B-EL02-W
B-CLCLPA-W/4,B-CLCLPA-W,STIC-BCMP22NR1-W,Packaging Material,1.00,Pc(s),,B-EL03-W
B-CLCLPA-W/4,B-CLCLPA-W,DUS-CMPR2-W,Packaging Material,1.00,Pc(s),,B-EL04-W
B-CLCLPA-W/4,B-CLCLPA-W,STIC-VCMP22NR1-W,Packaging Material,1.00,Pc(s),,B-EXLP-MO
B-CLCLPA-W/4,B-CLCLPA-W,KB-GKMK-W,Packaging Material,0.02,Pc(s),,B-IPQSP11-W
B-CLCLPB-W/4,B-CLCLPB-W,POT-CMPR0-W,Packaging Material,1.00,Pc(s),,B-IPQSP12-W
B-CLCLPB-W/4,B-CLCLPB-W,SHIF-CMPR0-W,Packaging Material,1.00,Pc(s),,B-IPQSP13-W
B-CLCLPB-W/4,B-CLCLPB-W,CAPP-CMPR0-W,Packaging Material,1.00,Pc(s),,B-IPQSP14-W
B-CLCLPB-W/4,B-CLCLPB-W,PUFF-CMPR0-W,Packaging Material,1.00,Pc(s),,B-IPQSP15-W
B-CLCLPB-W/4,B-CLCLPB-W,STIC-BCMP23WR1-W,Packaging Material,1.00,Pc(s),,B-IPQSP16-W
B-CLCLPB-W/4,B-CLCLPB-W,DUS-CMPR2-W,Packaging Material,1.00,Pc(s),,B-NFSDMCP02-EM
B-CLCLPB-W/4,B-CLCLPB-W,STIC-VCMP23WR1-W,Packaging Material,1.00,Pc(s),,B-OMGL-OMG
B-CLCLPB-W/4,B-CLCLPB-W,KB-GKMK-W,Packaging Material,0.02,Pc(s),,B-OMGM-OMG
B-CLCLPC-W/4,B-CLCLPC-W,POT-CMPR0-W,Packaging Material,1.00,Pc(s),,B-PMT-MO11G
B-CLCLPC-W/4,B-CLCLPC-W,SHIF-CMPR0-W,Packaging Material,1.00,Pc(s),,B-R3L03I-W
B-CLCLPC-W/4,B-CLCLPC-W,CAPP-CMPR0-W,Packaging Material,1.00,Pc(s),,B-R4L01LB-W
B-CLCLPC-W/4,B-CLCLPC-W,PUFF-CMPR0-W,Packaging Material,1.00,Pc(s),,B-R4L02B-W
B-CLCLPC-W/4,B-CLCLPC-W,STIC-BCMP32NR1-W,Packaging Material,1.00,Pc(s),,B-R4L03I-W
B-CLCLPC-W/4,B-CLCLPC-W,DUS-CMPR2-W,Packaging Material,1.00,Pc(s),,B-R4L04N-W
B-CLCLPC-W/4,B-CLCLPC-W,STIC-VCMP32NR1-W,Packaging Material,1.00,Pc(s),,B-RBSLP-EM
B-CLCLPC-W/4,B-CLCLPC-W,KB-GKMK-W,Packaging Material,0.02,Pc(s),,B-SFLP-EM8G
