Kode Item Baru,Nama Item,MPQ Olah,MPQ Kemas,MPQ Supply,W06,W07,W08,W09,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52,W01,W02,W03,W04,W05,W06,W07,W08,W09,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,Sum,MPQ Kemas,MPQ Supply
2PR--MO100ML,MAKE OVER Make Up Remover 100 ml (Pc(s)),100,1236,1436,1236,0,0,1236,0,0,1236,0,1236,0,0,1236,0,0,1236,0,1236,0,0,1236,0,0,1236,0,0,1236,0,1236,0,0,1236,0,0,1236,0,0,1236,0,1236,0,0,1236,0,0,1236,0,1236,0,0,1236,0,0,1236,0,0,1236,0,1236,0,0,1236,0,0,1236,0,1236,0,0,0,30900,1236,1436
A-BPCB-W20G,Wardah Acnederm Pore Blackhead Balm 20 g (Pc(s)),120,5808,5840,5808,0,0,0,0,5808,0,0,0,5808,0,0,0,0,5808,0,0,0,5808,0,0,0,0,5808,0,0,0,5808,0,0,0,0,5808,0,0,0,5808,0,0,0,0,5808,0,0,0,5808,0,0,0,0,5808,0,0,0,5808,0,0,0,0,5808,0,0,0,5808,0,0,0,0,0,87120,5808,5840
A-DM-W40ML,Wardah Acnederm Day Moisturizer 40 ml (Pc(s)),600,13230,13627,26460,13230,13230,13230,0,13230,13230,13230,0,13230,13230,0,13230,13230,0,13230,0,13230,13230,0,13230,13230,0,13230,13230,0,13230,13230,0,13230,13230,0,13230,13230,0,13230,13230,0,13230,13230,0,13230,13230,0,13230,13230,0,13230,0,13230,13230,0,13230,13230,0,13230,13230,0,13230,13230,0,13230,13230,0,13230,13230,0,0,0,608580,13230,13627
A-FP-W20G,Wardah Acnederm Face Powder 20 g (Pc(s)),100,4896,4906,4896,0,4896,4896,0,4896,0,4896,0,4896,0,0,4896,0,4896,0,4896,0,4896,0,4896,0,4896,0,4896,0,4896,0,4896,0,4896,0,4896,0,4896,0,4896,0,4896,0,4896,0,4896,0,4896,0,4896,0,4896,0,4896,0,4896,0,4896,0,4896,0,4896,0,4896,0,4896,0,4896,0,0,4896,0,166464,4896,4906
A-NTM-W40ML,Wardah Acnederm Night Treatment Moisturizer 40 ml (Pc(s)),1000,22980,23670,22980,22980,0,0,0,22980,0,0,22980,0,0,22980,0,0,0,22980,0,0,22980,0,0,0,22980,0,0,22980,0,0,22980,0,0,0,22980,0,0,22980,0,0,0,22980,0,0,22980,0,0,22980,0,0,0,22980,0,0,22980,0,0,0,22980,0,0,22980,0,0,22980,0,0,0,22980,0,0,482580,22980,23670
A-PFC-W60ML,Wardah Acnederm Pure Foaming Cleanser 60 ml (Pc(s)),3000,47102,48102,94204,47102,47102,47102,0,47102,47102,0,47102,47102,47102,0,47102,47102,0,47102,47102,0,47102,47102,0,47102,47102,0,47102,47102,47102,0,47102,47102,0,47102,47102,0,47102,47102,0,47102,47102,47102,0,47102,47102,0,47102,47102,0,47102,47102,0,47102,47102,47102,0,47102,47102,0,47102,47102,0,47102,47102,0,47102,47102,0,47102,0,0,2260896,47102,48102
A-PRT-W100ML,Wardah Acnederm Pore Refining Toner 100 ml (Pc(s)),1000,7929,8170,7929,15858,7929,7929,7929,7929,7929,7929,15858,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,15858,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,15858,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,15858,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,0,7929,0,570888,7929,8170
A-SATG-W15ML,Wardah Acnederm Acne Spot Treatment Gel 15 ml (Pc(s)),300,17680,18211,0,17680,17680,0,17680,0,17680,0,17680,0,17680,0,17680,0,17680,0,17680,0,17680,0,17680,0,17680,0,17680,0,0,17680,0,17680,0,17680,0,17680,0,17680,0,17680,0,17680,0,17680,0,17680,0,17680,0,17680,0,17680,0,17680,0,17680,0,0,17680,0,17680,0,17680,0,17680,0,17680,0,0,0,17680,583440,17680,18211
B-BSLP-EM,Emina Bright Stuff Loose Powder 55 g,300,5364,5374,42912,37548,42912,42912,42912,42912,42912,42912,42912,32184,0,0,32184,37548,32184,32184,32184,37548,32184,32184,32184,37548,32184,32184,37548,32184,32184,32184,37548,32184,32184,32184,37548,32184,32184,32184,37548,32184,32184,37548,32184,32184,32184,16092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1469736,5364,5374
B-CLCLPA-W,Wardah Colorfit Mattifying Powder 22N Light Ivory 15 g,20,1290,1300,3792,0,5160,1290,2580,2580,2580,2580,2580,3870,2580,0,1290,2580,2580,1290,3870,2580,3870,2580,2580,2580,1290,2580,2580,1290,2580,2580,1290,2580,2580,1290,2580,1290,2580,1290,2580,2580,1290,2580,1290,2580,1290,2580,2580,1290,2580,1290,2580,2580,1290,2580,1290,2580,2580,1290,2580,1290,2580,1290,1290,2580,1290,2580,1290,1290,1290,0,1290,145692,1290,1300
B-CLCLPB-W,Wardah Colorfit Mattifying Powder 23W Warm Ivory 15 g,20,1290,1300,3744,3744,6450,2580,2580,2580,2580,3870,2580,2580,2580,0,1290,2580,2580,2580,2580,3870,3870,2580,2580,2580,2580,1290,2580,2580,2580,2580,1290,2580,2580,1290,2580,2580,1290,2580,2580,1290,2580,2580,2580,1290,2580,2580,1290,2580,2580,1290,2580,2580,2580,1290,2580,2580,1290,2580,2580,1290,2580,1290,1290,2580,1290,2580,2580,1290,1290,0,1290,159708,1290,1300
B-CLCLPC-W,Wardah Colorfit Mattifying Powder 32N Neutral Beige 15 g,20,1290,1300,3696,3696,0,0,0,0,0,2580,2580,3870,3870,0,2580,1290,2580,2580,3870,3870,2580,3870,2580,2580,2580,2580,2580,2580,1290,2580,2580,2580,2580,2580,1290,2580,2580,2580,2580,1290,2580,2580,2580,2580,1290,2580,2580,2580,1290,2580,2580,2580,2580,1290,2580,2580,2580,1290,2580,2580,2580,1290,1290,2580,2580,1290,2580,1290,1290,0,1290,150582,1290,1300
B-CLCLPD-W,Wardah Colorfit Mattifying Powder 43W Golden Sand 15 g,10,645,655,0,0,0,645,0,1290,645,645,1290,645,1290,0,1290,645,645,1290,1935,1935,1290,1935,645,1290,645,645,645,1290,645,645,1290,645,1290,645,1290,645,645,645,1290,645,645,1290,645,645,645,1290,645,645,645,1290,645,645,645,1290,645,645,1290,645,645,645,1290,0,645,645,645,645,1290,645,0,0,645,55470,645,655
B-CPGR01-W,WARDAH CRYSTALLURE Precious Glow Radiance Powder 12 IVORY 18 g,7,378,388,0,0,0,0,0,0,0,0,0,0,0,0,0,378,0,0,378,0,0,378,0,378,0,0,378,0,0,378,0,0,378,0,378,0,0,378,0,0,378,0,0,378,0,0,378,0,378,0,0,378,0,0,378,0,0,378,0,378,0,0,378,0,0,378,0,0,0,378,0,7560,378,388
B-CPGR02-W,WARDAH CRYSTALLURE Precious Glow Radiance Powder 13 BEIGE 18 g,7,378,388,0,672,0,0,0,0,0,0,0,378,0,0,0,0,0,378,0,0,378,0,0,378,0,0,378,0,0,378,0,0,378,0,0,378,0,0,378,0,0,378,0,0,378,0,0,378,0,0,378,0,0,378,0,0,378,0,0,378,0,0,378,0,0,378,0,0,0,0,378,7854,378,388
B-DMCP01-EM,Emina Daily Matte Compact Powder 01 Light 11 g,60,4968,4978,4968,4968,0,4968,4968,4968,4968,4968,4968,0,0,0,4968,4968,0,4968,4968,0,4968,4968,4968,0,4968,4968,0,4968,4968,0,4968,4968,0,4968,4968,0,4968,4968,0,4968,4968,0,4968,4968,4968,0,4968,4968,0,4968,4968,0,4968,4968,0,4968,4968,0,4968,4968,0,4968,4968,4968,0,4968,4968,0,0,4968,0,228528,4968,4978
B-DMCP02-EM,Emina Daily Matte Compact Powder 02 Natural 11 g,60,4968,4978,9936,0,9936,9936,9936,9936,4968,4968,4968,0,0,0,9936,4968,4968,4968,9936,4968,4968,4968,9936,4968,4968,4968,9936,4968,4968,4968,9936,4968,4968,4968,9936,4968,4968,4968,9936,4968,4968,4968,9936,4968,4968,4968,9936,4968,4968,4968,9936,4968,4968,4968,9936,4968,4968,4968,9936,4968,4968,4968,9936,4968,4968,4968,9936,4968,0,0,4968,407376,4968,4978
B-DMCP03-EM,Emina Daily Matte Compact Powder 03 Caramel 11 g,60,4788,4798,4788,0,4788,0,4788,0,4788,0,4788,4788,4788,0,0,4788,0,4788,0,4788,0,4788,0,4788,0,4788,0,4788,0,4788,4788,0,4788,0,4788,0,4788,0,4788,0,4788,0,4788,0,4788,0,4788,4788,0,4788,0,4788,0,4788,0,4788,0,4788,0,4788,4788,0,4788,0,4788,0,4788,0,0,0,4788,172368,4788,4798
B-DMCP04-EM,Emina Daily Matte Compact Powder 04 Mocca 11 g,10,864,874,0,864,1728,1728,1728,0,0,0,0,1728,1728,0,0,0,864,864,864,864,864,0,864,864,864,864,864,0,864,864,864,864,864,864,0,864,864,864,864,864,0,864,864,864,864,864,864,0,864,864,864,864,864,0,864,864,864,864,864,864,0,864,864,864,864,864,0,864,0,0,864,48384,864,874
B-DMLP01-EM,Emina Daily Matte Loose Powder 01 Light Beige 20 g,60,2927,2937,4576,0,2927,2927,2927,2927,2927,2927,2927,5854,5854,0,0,2927,2927,2927,2927,0,2927,2927,2927,2927,2927,2927,2927,2927,2927,2927,2927,0,2927,2927,2927,2927,2927,2927,2927,2927,2927,2927,2927,2927,0,2927,2927,2927,2927,2927,2927,2927,2927,2927,2927,2927,0,2927,2927,2927,2927,2927,2927,2927,2927,2927,2927,2927,0,0,2927,183123,2927,2937
B-DMLP02-EM,Emina Daily Matte Loose Powder 02 Natural Beige 20 g,100,4960,4970,4960,4960,0,4960,4960,4960,4960,9920,4960,9920,9920,0,0,0,4960,4960,4960,4960,4960,4960,4960,4960,4960,4960,0,4960,4960,4960,4960,4960,4960,4960,4960,4960,4960,4960,0,4960,4960,4960,4960,4960,4960,4960,4960,4960,4960,4960,4960,0,4960,4960,4960,4960,4960,4960,4960,4960,4960,4960,4960,0,4960,4960,4960,4960,0,4960,0,307520,4960,4970
B-EL01-W,Wardah Elevate Loose Powder 01 15 g,100,6421,6614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6421,6421,6614
B-EL02-W,Wardah Elevate Loose Powder 02 15 g,100,6421,6614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6421,6421,6614
B-EL03-W,Wardah Elevate Loose Powder 03 15 g,100,6421,6614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6421,6421,6614
B-EL04-W,Wardah Elevate Loose Powder 04 15 g,60,2890,2977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2890,2890,2977
B-EXLP-MO,MAKE OVER Expert Loose Powder 15 g,100,3820,3934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3820,0,0,3820,0,0,0,0,0,0,3820,0,0,0,0,0,11460,3820,3934
B-HRFP-MO,MAKE OVER Hydrastay Radiant Finishing Powder 8 gr,10,1176,1186,1152,0,0,0,1176,1176,0,1176,1176,2352,2352,0,0,0,1176,0,1176,1176,1176,0,1176,1176,1176,0,1176,1176,1176,1176,0,1176,1176,1176,0,1176,1176,1176,0,1176,1176,1176,1176,0,1176,1176,1176,0,1176,1176,1176,0,1176,1176,1176,1176,0,1176,1176,1176,0,1176,1176,1176,0,1176,1176,1176,0,0,1176,58776,1176,1186
B-IPQSP11-W,Instaperfect QUICKMATTE Loose Powder 11 Fair Pink 9 g,7,738,748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,738,0,0,0,738,0,0,0,738,0,0,0,738,0,0,738,0,0,0,738,0,0,0,738,0,0,0,738,0,0,738,0,0,0,738,0,0,0,738,0,0,0,738,0,0,738,0,0,0,738,0,0,0,10332,738,748
B-IPQSP12-W,Instaperfect QUICKMATTE Loose Powder 22 Light Ivory 9 g,7,738,748,0,2016,0,0,0,738,0,738,0,738,738,0,0,738,0,738,738,0,738,0,738,0,738,0,738,0,738,0,738,0,738,738,0,738,0,738,0,738,0,738,0,738,738,0,738,0,738,0,738,0,738,0,738,0,738,738,0,738,0,0,738,0,738,0,738,0,0,738,0,26370,738,748
B-IPQSP13-W,Instaperfect QUICKMATTE Loose Powder 32 True Beige 9 g,7,738,748,0,0,1476,0,738,0,738,738,0,738,738,0,0,738,0,738,738,0,738,0,738,0,738,0,738,0,738,738,0,738,0,738,0,738,0,738,738,0,738,0,738,0,738,0,738,738,0,738,0,738,0,738,0,738,738,0,738,0,738,0,0,738,738,0,738,0,0,0,738,27306,738,748
B-IPQSP14-W,Instaperfect QUICKMATTE Loose Powder 33 Warm Olive 9 g,7,738,748,"2,016",0,0,0,738,0,0,738,0,738,738,0,0,738,0,738,0,0,738,0,738,0,738,0,738,0,738,0,0,738,0,738,0,738,0,738,0,738,0,0,738,0,738,0,738,0,738,0,0,738,0,738,0,738,0,738,0,738,0,0,738,0,0,738,0,738,0,0,0,"22,680",738,748
B-IPQSP15-W,Instaperfect QUICKMATTE Loose Powder 43 Creme Sand 9 g,7,738,748,0,0,738,738,0,738,0,0,738,0,738,0,0,738,0,738,0,0,738,0,738,0,0,738,0,738,0,0,738,0,738,0,0,738,0,738,0,738,0,0,738,0,738,0,0,738,0,738,0,0,738,0,0,738,0,738,0,738,0,0,0,738,0,0,738,0,0,0,0,19188,738,748
B-IPQSP16-W,Instaperfect QUICKMATTE Loose Powder 52 Almond 9 g,7,738,748,0,0,738,0,0,738,0,0,738,738,0,0,0,0,738,0,0,738,0,0,738,0,0,738,0,0,738,0,0,738,0,0,738,0,0,738,0,0,738,0,0,738,0,0,738,0,0,738,0,0,738,0,0,738,0,0,738,0,0,738,0,0,0,738,0,0,0,0,0,15498,738,748
B-NFSDMCP02-EM,Emina NFS Daily Matte Compact Powder 02 Natural 4 g,80,15300,15300,0,0,0,0,0,0,0,0,0,0,0,0,15300,15300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30600,15300,15300
B-OMGL-OMG,OMG Loose Powder Light 20 g,300,14560,14570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14560,14570
B-OMGM-OMG,OMG Loose Powder Medium 20 g,300,14560,14570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14560,14570
B-PBTUBB-W,Wardah Perfect Bright BB Powder 50 g,300,5950,5960,0,0,"4,745",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4745,5950,5960
B-PMT-MO11G,MAKE OVER Powerstay Mattifying Transparent Powder 11 g,10,870,880,0,"1,302",0,0,0,0,870,0,870,870,870,0,0,870,870,0,870,0,870,870,0,870,0,870,870,0,870,0,870,870,0,870,0,870,870,0,870,0,870,870,0,870,0,870,870,0,870,0,870,0,870,870,0,870,0,870,870,0,870,0,870,870,0,870,0,870,0,0,870,"33,492",870,880
B-PT01-MO35G,MAKE OVER Silky Smooth Translucent Powder 01 Porcelain 35 g (Pc(s)),100,2754,2764,0,5100,0,"2,754",2754,5508,2754,"2,754",2754,2754,0,0,"2,754",2754,5508,2754,2754,"2,754","2,754","2,754","5,508","2,754","2,754","2,754","2,754","2,754","5,508","2,754","2,754","2,754","2,754","2,754","5,508","2,754","2,754","2,754","2,754","2,754","5,508","2,754","2,754","2,754","2,754","2,754","5,508","2,754","2,754","2,754","2,754","2,754","5,508","2,754","2,754","2,754","2,754","2,754","2,754","5,508","2,754","2,754","2,754","2,754","2,754","5,508","2,754",2754,0,2754,2754,206142,2754,2764
B-PT02-MO35G,MAKE OVER Silky Smooth Translucent Powder 02 Rosy 35 g (Pc(s)),100,"2,686","2,696",0,"1,632",0,"2,686","2,686","2,686","2,686","2,686","2,686","2,686",0,0,"2,686",0,"2,686","2,686","2,686","2,686","2,686","2,686",0,"2,686","2,686","2,686","2,686","2,686","2,686","2,686",0,"2,686","2,686","2,686","2,686","2,686","2,686",0,"2,686","2,686","2,686","2,686","2,686","2,686",0,"2,686","2,686","2,686","2,686","2,686","2,686",0,"2,686","2,686","2,686","2,686","2,686","2,686",0,"2,686","2,686","2,686","2,686","2,686","2,686","2,686",0,"2,686",0,"2,686",0,"146,676","2,686","2,696"
B-PT03-MO35G,MAKE OVER Silky Smooth Translucent Powder 03 Champagne 35 g (Pc(s),60,"1,598","1,608",0,"1,598",0,0,"1,598",0,0,"1,598",0,0,"1,598",0,"1,598",0,0,"1,598",0,0,"1,598",0,"1,598",0,0,"1,598",0,0,"1,598",0,"1,598",0,0,"1,598",0,"1,598",0,0,"1,598",0,0,"1,598",0,"1,598",0,0,"1,598",0,0,"1,598",0,"1,598",0,0,"1,598",0,0,"1,598",0,"1,598",0,0,"1,598",0,"1,598",0,0,"1,598",0,0,0,"39,950","1,598","1,608"
B-PT04-MO35G,MAKE OVER Silky Smooth Translucent Powder 04 Toffee 35 g (Pc(s)),20,510,520,0,"2,040",0,510,510,510,0,510,0,510,510,0,510,510,510,0,510,510,0,510,510,510,0,510,510,0,510,510,510,0,510,510,0,510,510,510,0,510,510,0,510,510,510,0,510,510,0,510,510,510,0,510,510,0,510,510,510,0,510,510,0,510,510,510,0,510,0,0,0,"24,990",510,520
B-PT05-MO35G,MAKE OVER Silky Smooth Translucent Powder 05 Snow 35 g (Pc(s)),60,1598,1608,0,0,0,1598,0,1598,0,1598,0,1598,1598,0,0,1598,0,1598,0,1598,0,1598,0,1598,0,1598,0,1598,0,1598,0,1598,0,1598,0,1598,0,1598,0,1598,0,1598,0,1598,0,1598,0,1598,0,1598,0,1598,0,1598,0,1598,0,1598,0,1598,0,1598,0,1598,0,1598,0,1598,0,0,0,51136,1598,1608
B-PT06-MO35G,MAKE OVER Silky Smooth Translucent Powder 06 Buttermilk 35 g,100,2754,2764,0,3196,0,2754,0,2754,2754,2754,2754,0,2754,0,2754,2754,0,2754,2754,2754,0,2754,2754,2754,0,2754,2754,2754,2754,0,2754,2754,2754,0,2754,2754,2754,0,2754,2754,2754,0,2754,2754,2754,0,2754,2754,2754,0,2754,2754,2754,2754,0,2754,2754,2754,0,2754,2754,2754,0,2754,2754,2754,0,2754,0,0,2754,135388,2754,2764
B-PT07-MO35G,MAKE OVER Silky Smooth Translucent Powder 07 Vanilla 35 g,60,1700,1710,0,5100,0,0,0,1700,1700,1700,1700,1700,3400,0,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,0,1700,112200,1700,1710
B-R3L01LB-W,Wardah Lightening Matte Powder 01 Light Beige 20 g,100,"4,878","4,888","4,872","9,744","4,878","9,756","4,878","9,756","9,756","4,878","9,756","14,634","14,634",0,"4,878","4,878","9,756","4,878","9,756","9,756","2,196",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"143,640","4,878","4,888"
