"Product Korporat Code","Reference","BoM Lines/Product Template/Korporat Code","BoM Lines/Product Template/Material Type","BoM Lines/Quantity","BoM Lines/Product Unit of Measure"
"L-TLTC-OMG","2'","L-LTC-BULK","Semi Finished Goods","0.0053","kg"
"","","BOTO-JKLTSR0-OMG","Packaging Material","1.0","Pc(s)"
"","","CAPA-JKLTS03R1-OMG","Packaging Material","1.0","Pc(s)"
"","","STIC-BJKLTS03R0-OMG","Packaging Material","1.0","Pc(s)"
"L-TLTA-OMG","2'","L-LTA-BULK","Semi Finished Goods","0.0053","kg"
"","","BOTO-JKLTSR0-OMG","Packaging Material","1.0","Pc(s)"
"","","CAPA-JKLTS01R1-OMG","Packaging Material","1.0","Pc(s)"
"","","STIC-BJKLTS01R0-OMG","Packaging Material","1.0","Pc(s)"
"L-TLTD-OMG","2'","L-LTD-BULK","Semi Finished Goods","0.0053","kg"
"","","BOTO-JKLTSR0-OMG","Packaging Material","1.0","Pc(s)"
"","","CAPA-JKLTS04R1-OMG","Packaging Material","1.0","Pc(s)"
"","","STIC-BJKLTS04R0-OMG","Packaging Material","1.0","Pc(s)"
"L-TLTB-OMG","2'","L-LTB-BULK","Semi Finished Goods","0.0053","kg"
"","","BOTO-JKLTSR0-OMG","Packaging Material","1.0","Pc(s)"
"","","CAPA-JKLTS02R1-OMG","Packaging Material","1.0","Pc(s)"
"","","STIC-BJKLTS02R0-OMG","Packaging Material","1.0","Pc(s)"
"L-TLTD-OMG","2","L-LTD-BULK","Semi Finished Goods","0.0053","kg"
"","","BOTO-JKLTSR0-OMG","Packaging Material","1.0","Pc(s)"
"","","CAPA-JKLTS04R1-OMG","Packaging Material","1.0","Pc(s)"
"","","STIC-BJKLTS04R0-OMG","Packaging Material","1.0","Pc(s)"
"BOTP-CVMPB10R0-W","2","BOTO-CVML10R1-W","Packaging Material","1.0","Pc(s)"
"L-TLTA-OMG","2","L-LTA-BULK","Semi Finished Goods","0.0053","kg"
"","","BOTO-JKLTSR0-OMG","Packaging Material","1.0","Pc(s)"
"","","CAPA-JKLTS01R1-OMG","Packaging Material","1.0","Pc(s)"
"","","STIC-BJKLTS01R0-OMG","Packaging Material","1.0","Pc(s)"
"L-TLTC-OMG","2","L-LTC-BULK","Semi Finished Goods","0.0053","kg"
"","","BOTO-JKLTSR0-OMG","Packaging Material","1.0","Pc(s)"
"","","CAPA-JKLTS03R1-OMG","Packaging Material","1.0","Pc(s)"
"","","STIC-BJKLTS03R0-OMG","Packaging Material","1.0","Pc(s)"
"L-TLTB-OMG","2","L-LTB-BULK","Semi Finished Goods","0.0053","kg"
"","","BOTO-JKLTSR0-OMG","Packaging Material","1.0","Pc(s)"
"","","CAPA-JKLTS02R1-OMG","Packaging Material","1.0","Pc(s)"
"","","STIC-BJKLTS02R0-OMG","Packaging Material","1.0","Pc(s)"
"TUBS-CMSS-EM","2","STIC-PALR1-EM","Packaging Material","1.0","Pc(s)"
"","","TUBE-CMSSR0-E","Packaging Material","1.0","Pc(s)"
"TUBS-SBBUFW-EM","1","TUBE-SBBUFWR0-E","Packaging Material","1.0","Pc(s)"
"","","STIC-PANR0-EM","Packaging Material","1.0","Pc(s)"
"TUBS-SBBUFW-EM","2","TUBE-SBBUFWR0-E","Packaging Material","1.0","Pc(s)"
"","","STIC-PANR1-EM","Packaging Material","1.0","Pc(s)"
"TUBS-SBDBFW-EM","1","STIC-PANR0-EM","Packaging Material","1.0","Pc(s)"
"","","TUBE-SBDBFWR0-E","Packaging Material","1.0","Pc(s)"
"TUBS-BSAPFW100-EM","2","STIC-PAHR1-EM","Packaging Material","1.0","Pc(s)"
"","","TUBE-BSAPFW100-EPBL","Packaging Material","1.0","Pc(s)"
"DUSS-PMFC41R0-MO","1","STIC-BCPPFC41R0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-VPPFC41R0-MO","Packaging Material","1.0","Pc(s)"
"","","DUS-PPFR0-MO","Packaging Material","1.0","Pc(s)"
"DUSS-PMFC31R0-MO","1","DUS-PPFR0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-VPPFC31R0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-BCPPFC31R0-MO","Packaging Material","1.0","Pc(s)"
"DUSS-PMFC51R0-MO","1","DUS-PPFR0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-BCPPFC51R0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-VPPFC51R0-MO","Packaging Material","1.0","Pc(s)"
"DUSS-PMFW12R0-MO","1","STIC-VPPFW12R0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-BCPPFW12R0-MO","Packaging Material","1.0","Pc(s)"
"","","DUS-PPFR0-MO","Packaging Material","1.0","Pc(s)"
"DUSS-PMFW21R0-MO","1","STIC-VPPFW21R0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-BCPPFW21R0-MO","Packaging Material","1.0","Pc(s)"
"","","DUS-PPFR0-MO","Packaging Material","1.0","Pc(s)"
"DUSS-PMFW32R0-MO","1","DUS-PPFR0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-VPPFW32R0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-BCPPFW32R0-MO","Packaging Material","1.0","Pc(s)"
"DUSS-PMFW50R0-MO","1","STIC-BCPPFW50R0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-VPPFW50R0-MO","Packaging Material","1.0","Pc(s)"
"","","DUS-PPFR0-MO","Packaging Material","1.0","Pc(s)"
"DUSS-PMFW60R0-MO","1","STIC-VPPFW60R0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-BCPPFW60R0-MO","Packaging Material","1.0","Pc(s)"
"","","DUS-PPFR0-MO","Packaging Material","1.0","Pc(s)"
"BOTS-SCBMPC100-W","1 (Subt. Botol)","BOTO-PET100ML39-X","Packaging Material","1.0","Pc(s)"
"","","STIC-SBMPC100-WGCC","Packaging Material","1.0","Pc(s)"
"TUBS-BSFW100-EM","1","STIC-PAHR0-EM","Packaging Material","1.0","Pc(s)"
"","","TUBE-BSFW100R1-EPBL","Packaging Material","1.0","Pc(s)"
"FA-CLFLMHCP-RP-W4GR","PS1","GODE-PSCHCPROR0-W","Packaging Material","1.0","Pc(s)"
"","","FA-CLFLMHCP-BULK","Semi Finished Goods","0.004","kg"
"DUSS-PMFW33R0-MO","1","STIC-VPPFW33R0-MO","Packaging Material","1.0","Pc(s)"
"","","DUS-PPFR0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-BCPPFW33R0-MO","Packaging Material","1.0","Pc(s)"
"DUSS-PMFN30R0-MO","1","DUS-PPFR0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-VPPFN30R0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-BCPPFN30R0-MO","Packaging Material","1.0","Pc(s)"
"DUSS-PMFW42R0-MO","1","STIC-VPPFW42R0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-BCPPFW42R0-MO","Packaging Material","1.0","Pc(s)"
"","","DUS-PPFR0-MO","Packaging Material","1.0","Pc(s)"
"DUSS-PMFW41R0-MO","1","DUS-PPFR0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-BCPPFW41R0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-VPPFW41R0-MO","Packaging Material","1.0","Pc(s)"
"DUSS-PMFN40R0-MO","1","DUS-PPFR0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-VPPFN40R0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-BCPPFN40R0-MO","Packaging Material","1.0","Pc(s)"
"BOTS-PRTM40R0-MO","2","BOTO-GA1302R1-MOF","Packaging Material","1.0","Pc(s)"
"","","STIC-SPRTMR0-MOMDO","Packaging Material","1.0","Pc(s)"
"BOTS-SCBMB100-W","1 (Subt. Botol)","STIC-SBMB100-WGCC","Packaging Material","1.0","Pc(s)"
"","","BOTO-PET100ML39-X","Packaging Material","1.0","Pc(s)"
"BOTS-SCBMJF100-W","1 (Subt. Botol)","BOTO-PET100ML39-X","Packaging Material","1.0","Pc(s)"
"","","STIC-SBMJ100-WGCC","Packaging Material","1.0","Pc(s)"
"BOTS-SCBMPR100-W","1 (Subt. Botol)","BOTO-PET100ML39-X","Packaging Material","1.0","Pc(s)"
"","","STIC-SBMPR100-WGCC","Packaging Material","1.0","Pc(s)"
"DUSS-PMFN20R0-MO","1","DUS-PPFR0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-BCPPFN20R0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-VPPFN20R0-MO","Packaging Material","1.0","Pc(s)"
"DUSS-PMFW30R0-MO","1","STIC-VPPFW30R0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-BCPPFW30R0-MO","Packaging Material","1.0","Pc(s)"
"","","DUS-PPFR0-MO","Packaging Material","1.0","Pc(s)"
"DUSS-PMFN10R0-MO","1","STIC-VPPFN10R0-MO","Packaging Material","1.0","Pc(s)"
"","","DUS-PPFR0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-BCPPFN10R0-MO","Packaging Material","1.0","Pc(s)"
"DUSS-PMFW22R0-MO","1","STIC-VPPFW22R0-MO","Packaging Material","1.0","Pc(s)"
"","","DUS-PPFR0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-BCPPFW22R0-MO","Packaging Material","1.0","Pc(s)"
"DUSS-PMFC21R0-MO","1","STIC-BCPPFC21R0-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-VPPFC21R0-MO","Packaging Material","1.0","Pc(s)"
"","","DUS-PPFR0-MO","Packaging Material","1.0","Pc(s)"
"LCBP-MFTPQ-E","1","LCB-MFTPQ-E08","Packaging Material","1.0","Pc(s)"
"ES-SGBV2GRNFS-MO","3","ES-BV-MO-BULK","Semi Finished Goods","0.002","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
"ES-SGC12GRNFS-MO","3","ES-CP-MO BULK","Semi Finished Goods","0.00133","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
"ES-SGM12GRNFS-MO","3","ES-MS-BULK","Semi Finished Goods","0.00133","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
"ES-SGMN2GRNFS-MO","2","ES-M-BULK","Semi Finished Goods","0.00133","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
"ES-SGPL2GRNFS-MO","3","ES-PL-BULK","Semi Finished Goods","0.00133","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
"ES-SGT2GRNFS-MO","3","ES-TQ-BULK","Semi Finished Goods","0.002","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
"ES-TPMC2GRRNFS-MO","3","ES-C-BULK","Semi Finished Goods","0.00133","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
"ES-TPMHS2GRRNFS-MO","1","ES-H-X","Semi Finished Goods","0.002","kg"
"","","GODE-ESMOR2A4-261944","Packaging Material","1.0","Pc(s)"
"ES-W0H-01-RP-W1,1GR","2","GODE-ESSWA33-178538","Packaging Material","1.3","Pc(s)"
"","","ES-W0H-01 BULK","Semi Finished Goods","0.0011","kg"
"ES-W0H-03-RP-W1,1GR","2","GODE-ESSWA33-178538","Packaging Material","1.3","Pc(s)"
"","","ES-W0H-03 BULK","Semi Finished Goods","0.0011","kg"
"ES-W0H01RNFS1,3-W","2","ES-W0H-01 BULK","Semi Finished Goods","0.00133","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
"ES-W0H3RNFS1,3W-W","2","ES-W0H-03 BULK","Semi Finished Goods","0.00133","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
"ES-W0I-01-RP-W1,1GR","2","GODE-ESSWA33-178538","Packaging Material","1.3","Pc(s)"
"","","ES-W0I-01 BULK","Semi Finished Goods","0.0011","kg"
"ES-W0I-02-RP-W1,1GR","2","GODE-ESSWA33-178538","Packaging Material","1.3","Pc(s)"
"","","ES-W0I-02 BULK","Semi Finished Goods","0.0011","kg"
"ES-W0I-03-RP-W1,1GR","2","GODE-ESSWA33-178538","Packaging Material","1.3","Pc(s)"
"","","ES-W0I-03 BULK","Semi Finished Goods","0.0011","kg"
"ES-W0I01RNFS1,3-W","3","ES-W0I-01 BULK","Semi Finished Goods","0.00146","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
"ES-W0I02RNFS1,3-W","3","ES-W0I-02 BULK","Semi Finished Goods","0.00146","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
"ES-W0J-01-RP-W1,1GR","2","GODE-ESSWA33-178538","Packaging Material","1.3","Pc(s)"
"","","ES-W0J-01 BULK","Semi Finished Goods","0.0011","kg"
"ES-W0J-02-RP-W1,1GR","2","GODE-ESSWA33-178538","Packaging Material","1.3","Pc(s)"
"","","ES-W0J-02 BULK","Semi Finished Goods","0.0011","kg"
"ES-W0K-01-RP-W1,1GR","2","GODE-ESSWA33-178538","Packaging Material","1.3","Pc(s)"
"","","ES-W0K-01 BULK","Semi Finished Goods","0.0011","kg"
"ES-W0K-02-RP-W1,1GR","2","GODE-ESSWA33-178538","Packaging Material","1.3","Pc(s)"
"","","ES-W0K-02 BULK","Semi Finished Goods","0.0011","kg"
"ES-W0K-03-RP-W1,1GR","2","GODE-ESSWA33-178538","Packaging Material","1.3","Pc(s)"
"","","ES-W0K-03 BULK","Semi Finished Goods","0.0011","kg"
"ES-W0L-01-RP-W1,1GR","2","ES-W0L-01 BULK","Semi Finished Goods","0.0011","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.3","Pc(s)"
"ES-W0L-02-RP-W1,1GR","2","GODE-ESSWA33-178538","Packaging Material","1.3","Pc(s)"
"","","ES-W0L-02 BULK","Semi Finished Goods","0.0011","kg"
"ES-W0L-03-RP-W1,1GR","2","GODE-ESSWA33-178538","Packaging Material","1.3","Pc(s)"
"","","ES-W0L-03 BULK","Semi Finished Goods","0.0011","kg"
"ES-W0M-01-RP-W1,1GR","2","GODE-ESSWA33-178538","Packaging Material","1.3","Pc(s)"
"","","ES-W0M-01 BULK","Semi Finished Goods","0.0011","kg"
"ES-W0M-03-RP-W1,1GR","2","GODE-ESSWA33-178538","Packaging Material","1.3","Pc(s)"
"","","ES-W0M-03 BULK","Semi Finished Goods","0.0011","kg"
"ES-W0M01RNFS1,3-W","3","ES-W0M-01 BULK","Semi Finished Goods","0.00133","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
"ES-W0M02RNFS1,3-W","3","ES-W0M-02 BULK","Semi Finished Goods","0.00133","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
"ES-W0M3RNFS1,3-W","3","ES-W0M-03 BULK","Semi Finished Goods","0.00133","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
"ES-W0N-01-RP-W1,1GR","2","ES-W0N-01 BULK","Semi Finished Goods","0.0011","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.3","Pc(s)"
"ES-W0N-02-RP-W1,1GR","2","GODE-ESSWA33-178538","Packaging Material","1.3","Pc(s)"
"","","ES-W0N-02 BULK","Semi Finished Goods","0.0011","kg"
"ES-W0N-03-RP-W1,1GR","2","GODE-ESSWA33-178538","Packaging Material","1.3","Pc(s)"
"","","ES-W0N-03 BULK","Semi Finished Goods","0.0011","kg"
"ES-W0N01RNFS1,3-W","2","ES-W0N-01 BULK","Semi Finished Goods","0.00133","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
"ES-W0N02RNFS1,3-W","2","ES-W0N-02 BULK","Semi Finished Goods","0.00133","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
"ES-W0R101RNFS1,-W","2","ES-W0R-01 BULK","Semi Finished Goods","0.00133","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
"ES-W1A-01-RP-W1,1GR","2","GODE-ESSWA33-178538","Packaging Material","1.3","Pc(s)"
"","","ES-W1A-01 BULK","Semi Finished Goods","0.0011","kg"
"ES-W1A-02-RP-W1,1GR","2","GODE-ESSWA33-178538","Packaging Material","1.3","Pc(s)"
"","","ES-W1A-02 BULK","Semi Finished Goods","0.0011","kg"
"ES-W1A-03-RP-W1,1GR","2","GODE-ESSWA33-178538","Packaging Material","1.3","Pc(s)"
"","","ES-W1A-03 BULK","Semi Finished Goods","0.0011","kg"
"ES-W1A01RNFS1,3-W","3","ES-W1A-01 BULK","Semi Finished Goods","0.00153","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
"ES-W1A02RNFS1,3-W","3","ES-W1A-02 BULK","Semi Finished Goods","0.00133","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
"ES-W1A3RNFS1,3W-W","3","ES-W1A-03 BULK","Semi Finished Goods","0.00133","kg"
"","","GODE-ESSWA33-178538","Packaging Material","1.05","Pc(s)"
