"Product Korporat Code","Reference","BoM Lines/Product Template/Korporat Code","BoM Lines/Product Template/General Subcategory","BoM Lines/Quantity","BoM Lines/Product Unit of Measure"
"L-TLTB-OMG","2","L-LTB-BULK","Bulk","0.0053","kg"
"","","BOTO-JKLTSR0-OMG","Regular","1.0","Pc(s)"
"","","CAPA-JKLTS02R1-OMG","Regular","1.0","Pc(s)"
"","","STIC-BJKLTS02R0-OMG","Regular","1.0","Pc(s)"
"L-TLTA-OMG","2","L-LTA-BULK","Bulk","0.0053","kg"
"","","BOTO-JKLTSR0-OMG","Regular","1.0","Pc(s)"
"","","CAPA-JKLTS01R1-OMG","Regular","1.0","Pc(s)"
"","","STIC-BJKLTS01R0-OMG","Regular","1.0","Pc(s)"
"L-TLTC-OMG","2","L-LTC-BULK","Bulk","0.0053","kg"
"","","BOTO-JKLTSR0-OMG","Regular","1.0","Pc(s)"
"","","CAPA-JKLTS03R1-OMG","Regular","1.0","Pc(s)"
"","","STIC-BJKLTS03R0-OMG","Regular","1.0","Pc(s)"
"L-TLTD-OMG","2","L-LTD-BULK","Bulk","0.0053","kg"
"","","BOTO-JKLTSR0-OMG","Regular","1.0","Pc(s)"
"","","CAPA-JKLTS04R1-OMG","Regular","1.0","Pc(s)"
"","","STIC-BJKLTS04R0-OMG","Regular","1.0","Pc(s)"
"L-TLTC-OMG","2'","L-LTC-BULK","Bulk","0.0053","kg"
"","","BOTO-JKLTSR0-OMG","Regular","1.0","Pc(s)"
"","","CAPA-JKLTS03R1-OMG","Regular","1.0","Pc(s)"
"","","STIC-BJKLTS03R0-OMG","Regular","1.0","Pc(s)"
"L-TLTA-OMG","2'","L-LTA-BULK","Bulk","0.0053","kg"
"","","BOTO-JKLTSR0-OMG","Regular","1.0","Pc(s)"
"","","CAPA-JKLTS01R1-OMG","Regular","1.0","Pc(s)"
"","","STIC-BJKLTS01R0-OMG","Regular","1.0","Pc(s)"
"L-TLTD-OMG","2'","L-LTD-BULK","Bulk","0.0053","kg"
"","","BOTO-JKLTSR0-OMG","Regular","1.0","Pc(s)"
"","","CAPA-JKLTS04R1-OMG","Regular","1.0","Pc(s)"
"","","STIC-BJKLTS04R0-OMG","Regular","1.0","Pc(s)"
"L-TLTB-OMG","2'","L-LTB-BULK","Bulk","0.0053","kg"
"","","BOTO-JKLTSR0-OMG","Regular","1.0","Pc(s)"
"","","CAPA-JKLTS02R1-OMG","Regular","1.0","Pc(s)"
"","","STIC-BJKLTS02R0-OMG","Regular","1.0","Pc(s)"
"ES-TPMHS2GRRNFS-MO","1","ES-H-X","Bulk","0.002","kg"
"","","GODE-ESMOR2A4-261944","Regular","1.0","Pc(s)"
"ES-W0H-01-RP-W1,1GR","2","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","ES-W0H-01 BULK","Bulk","0.0011","kg"
"ES-W0H-03-RP-W1,1GR","2","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","ES-W0H-03 BULK","Bulk","0.0011","kg"
"ES-W0H01RNFS1,3-W","2","ES-W0H-01 BULK","Bulk","0.00133","kg"
"","","GODE-ESSWA33-178538","Regular","1.05","Pc(s)"
"ES-W0H3RNFS1,3W-W","2","ES-W0H-03 BULK","Bulk","0.00133","kg"
"","","GODE-ESSWA33-178538","Regular","1.05","Pc(s)"
"ES-W0I-01-RP-W1,1GR","2","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","ES-W0I-01 BULK","Bulk","0.0011","kg"
"ES-W0I-02-RP-W1,1GR","2","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","ES-W0I-02 BULK","Bulk","0.0011","kg"
"ES-W0I-03-RP-W1,1GR","2","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","ES-W0I-03 BULK","Bulk","0.0011","kg"
"ES-W0I01RNFS1,3-W","3","ES-W0I-01 BULK","Bulk","0.00146","kg"
"","","GODE-ESSWA33-178538","Regular","1.05","Pc(s)"
"ES-W0I02RNFS1,3-W","3","ES-W0I-02 BULK","Bulk","0.00146","kg"
"","","GODE-ESSWA33-178538","Regular","1.05","Pc(s)"
"ES-W0J-01-RP-W1,1GR","2","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","ES-W0J-01 BULK","Bulk","0.0011","kg"
"ES-W0J-02-RP-W1,1GR","2","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","ES-W0J-02 BULK","Bulk","0.0011","kg"
"ES-W0K-01-RP-W1,1GR","2","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","ES-W0K-01 BULK","Bulk","0.0011","kg"
"ES-W0K-02-RP-W1,1GR","2","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","ES-W0K-02 BULK","Bulk","0.0011","kg"
"ES-W0K-03-RP-W1,1GR","2","GODE-ESSWA33-178538","Regular","1.3","Pc(s)"
"","","ES-W0K-03 BULK","Bulk","0.0011","kg"
"ES-W0L-01-RP-W1,1GR","2","ES-W0L-01 BULK","Bulk","0.0011","kg"
