"Product Korporat Code","Reference","BoM Lines/Product Template/Korporat Code","BoM Lines/Product Template/Material Type","BoM Lines/Quantity","BoM Lines/Product Unit of Measure"
"FW-RRYAG-W","2","FW-RRYAG-BULK","Semi Finished Goods","0.1","kg"
"","","KB-WT100R1-KMM125BF","Packaging Material","0.03333","Pc(s)"
"","","TUBE-RYFW100R0-WPBL","Packaging Material","1.0","Pc(s)"
"FW-RWSABHA-W","4","FW-RWSABHA-BULK","Semi Finished Goods","0.1","kg"
"","","KB-WT100R1-KMM125BF","Packaging Material","0.03333","Pc(s)"
"","","TUBE-CSFCNAP100R1-W","Packaging Material","1.0","Pc(s)"
"ES-TENS-MO6G","7","ES-SGS32GRNFS-MO","Semi Finished Goods","1.0","Pc(s)"
"","","PO-TWCMOC105-9288T1P","Packaging Material","1.0","Pc(s)"
"","","DUS-TESR2-MO","Packaging Material","1.0","Pc(s)"
"","","STIC-BCESTENMO-PW1W3","Packaging Material","1.0","Pc(s)"
"","","KB-MOTWC3252-K150M12","Packaging Material","0.02778","Pc(s)"
"","","KUAS-ESMO2KSNBR-THG","Packaging Material","1.0","Pc(s)"
"","","ES-TPMB12GRRNFS-MO","Semi Finished Goods","1.0","Pc(s)"
"","","STIC-BTESENR1-MOMSF","Packaging Material","1.0","Pc(s)"
"","","ES-TPME22GRRNFS-MO","Semi Finished Goods","1.0","Pc(s)"
"","","PLAS-DMESBOR0-MO","Packaging Material","1.0","Pc(s)"
"","","CONT-ESLB3MOASA-2PSC","Packaging Material","1.0","Pc(s)"
"CM-WSOG-W","3","BOTO-PETRF100C-X","Packaging Material","1.0","Pc(s)"
"","","PU-CSMCG95R0-W","Packaging Material","1.0","Pc(s)"
"","","STIC-BCSMCGR1-W","Packaging Material","1.0","Pc(s)"
"","","STIC-FCSMCGR1-W","Packaging Material","1.0","Pc(s)"
"","","KB-WLS60R1-KMM125","Packaging Material","0.0357","Pc(s)"
"","","CM-WSOG-BULK","Semi Finished Goods","0.095","kg"
"TC-FC-MO14G","6","TC-FCK1&214GRRN-MO","Semi Finished Goods","1.0","Pc(s)"
"","","CONT-MOCM10R2AS-C2PP","Packaging Material","1.0","Pc(s)"
"","","STIC-BFCKR4-MO","Packaging Material","1.0","Pc(s)"
