Kode Unik,Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Material Type,BoM Lines/Quantity,BoM Lines/Product Unit of Measure
ES-W0I-01 BULK/39,ES-W0I-01 BULK,MICA--SIOI2-K,Raw Material,0.200000,kg
ES-W0I-01 BULK/39,ES-W0I-01 BULK,POWD-TDMS-,Raw Material,0.107540,kg
ES-W0I-01 BULK/39,ES-W0I-01 BULK,ZINC-M-KJZ10-K,Raw Material,0.040000,kg
ES-W0I-01 BULK/39,ES-W0I-01 BULK,POLY-M-MP27-K,Raw Material,0.030000,kg
ES-W0I-01 BULK/39,ES-W0I-01 BULK,PENG-PNX-X,Raw Material,0.008000,kg
ES-W0I-01 BULK/39,ES-W0I-01 BULK,WARN-TOA403-KF,Raw Material,0.004000,kg
ES-W0I-01 BULK/39,ES-W0I-01 BULK,WARN-CSW-9000S-K,Raw Material,0.219800,kg
ES-W0I-01 BULK/39,ES-W0I-01 BULK,WARN-RED3AS-X,Raw Material,0.009999,kg
ES-W0I-01 BULK/39,ES-W0I-01 BULK,WARN-C338--K,Raw Material,0.006063,kg
ES-W0I-01 BULK/39,ES-W0I-01 BULK,WARN-IRGLS-X,Raw Material,0.040000,kg
ES-W0I-01 BULK/39,ES-W0I-01 BULK,WARN-GZ0075-X,Raw Material,0.002300,kg
ES-W0I-01 BULK/39,ES-W0I-01 BULK,NT---K,Raw Material,0.040000,kg
ES-W0I-01 BULK/39,ES-W0I-01 BULK,COSM-222--K,Raw Material,0.080000,kg
ES-W0I-01 BULK/39,ES-W0I-01 BULK,SERI-790-,Raw Material,0.105478,kg
ES-W0I-01 BULK/39,ES-W0I-01 BULK,WARN-CLOG222--K,Raw Material,0.105000,kg
ES-W0I-01 BULK/39,ES-W0I-01 BULK,WARN-RED6LM4-X,Raw Material,0.001820,kg
L-RIPEI08-BULK/1,L-RIPEI08-BULK,BENT-BGISDV-X,Raw Material,0.257479,kg
L-RIPEI08-BULK/1,L-RIPEI08-BULK,SILI-AXU3-X,Raw Material,0.162827,kg
L-RIPEI08-BULK/1,L-RIPEI08-BULK,SILI-DC-PSFCS-X,Raw Material,0.112351,kg
L-RIPEI08-BULK/1,L-RIPEI08-BULK,PURO-IDD-X,Raw Material,0.172002,kg
L-RIPEI08-BULK/1,L-RIPEI08-BULK,SILI-BEL803-X,Raw Material,0.102349,kg
L-RIPEI08-BULK/1,L-RIPEI08-BULK,SILC-SP500LS-X,Raw Material,0.059140,kg
L-RIPEI08-BULK/1,L-RIPEI08-BULK,COSM-222--K,Raw Material,0.040000,kg
L-RIPEI08-BULK/1,L-RIPEI08-BULK,SILI-1202-,Raw Material,0.018609,kg
L-RIPEI08-BULK/1,L-RIPEI08-BULK,ALUM-MN10D-X,Raw Material,0.009304,kg
L-RIPEI08-BULK/1,L-RIPEI08-BULK,PEN-PRSVPE-X,Raw Material,0.007444,kg
L-RIPEI08-BULK/1,L-RIPEI08-BULK,PEN-SENSC50-X,Raw Material,0.003722,kg
L-RIPEI08-BULK/1,L-RIPEI08-BULK,VIT-ATCAT-X,Raw Material,0.000930,kg
L-RIPEI08-BULK/1,L-RIPEI08-BULK,ACTI-ECTNOL-X,Raw Material,0.003000,kg
L-RIPEI08-BULK/1,L-RIPEI08-BULK,PARF-VMR-X,Raw Material,0.000093,kg
L-RIPEI08-BULK/1,L-RIPEI08-BULK,WARN-CLRG-X,Raw Material,0.057233,kg
L-RIPEI08-BULK/1,L-RIPEI08-BULK,WARN-C19012-DCR6-K,Raw Material,0.059038,kg
