Kode Unik,Product Korporat Code,BoM Lines/Product Template/Korporat Code,BoM Lines/Product Template/Material Type,BoM Lines/Quantity,BoM Lines/Product Unit of Measure
M-MP-BULK/Normal (odoo ref 11),M-MP-BULK,SILI-9546-EDC,Raw Material,0.12500,kg
M-MP-BULK/Normal (odoo ref 11),M-MP-BULK,OIL-W-GARRC-DRUM,Raw Material,0.22800,kg
M-MP-BULK/Normal (odoo ref 11),M-MP-BULK,VASE--BP-DRUM,Raw Material,0.42500,kg
M-MP-BULK/Normal (odoo ref 11),M-MP-BULK,MWAX-SP19-X,Raw Material,0.05000,kg
M-MP-BULK/Normal (odoo ref 11),M-MP-BULK,WAX-B-BR,Raw Material,0.05000,kg
M-MP-BULK/Normal (odoo ref 11),M-MP-BULK,WAX-WHPRWT-X,Raw Material,0.07500,kg
M-MP-BULK/Normal (odoo ref 11),M-MP-BULK,NIPA-S--K,Raw Material,0.00100,kg
M-MP-BULK/Normal (odoo ref 11),M-MP-BULK,WAX-LNALWJ-X,Raw Material,0.03500,kg
M-MP-BULK/Normal (odoo ref 11),M-MP-BULK,BHT-CRTL-X,Raw Material,0.00100,kg
M-MP-BULK/Normal (odoo ref 11),M-MP-BULK,VITA-DL E-MS,Raw Material,0.01000,kg
CLN-WCHT-BULK/SMB,CLN-WCHT-BULK,TEGO-L7-1--K,Raw Material,0.04000,kg
CLN-WCHT-BULK/SMB,CLN-WCHT-BULK,ASAM-A-CAAH-K,Raw Material,0.00300,kg
CLN-WCHT-BULK/SMB,CLN-WCHT-BULK,GLYC--ECOS-K,Raw Material,0.05000,kg
CLN-WCHT-BULK/SMB,CLN-WCHT-BULK,KATH---K,Raw Material,0.00090,kg
CLN-WCHT-BULK/SMB,CLN-WCHT-BULK,TEXA---K,Raw Material,0.13000,kg
CLN-WCHT-BULK/SMB,CLN-WCHT-BULK,EDT-B--K,Raw Material,0.00100,kg
CLN-WCHT-BULK/SMB,CLN-WCHT-BULK,AJID--NL-K,Raw Material,0.02000,kg
CLN-WCHT-BULK/SMB,CLN-WCHT-BULK,POLY-MICOJ400-,Raw Material,0.00200,kg
CLN-WCHT-BULK/SMB,CLN-WCHT-BULK,MEDI-MDL-MGS,Raw Material,0.06000,kg
CLN-WCHT-BULK/SMB,CLN-WCHT-BULK,REWM-DC21-,Raw Material,0.02000,kg
CLN-WCHT-BULK/SMB,CLN-WCHT-BULK,GARA-VCNI-X,Raw Material,0.02600,kg
CLN-WCHT-BULK/SMB,CLN-WCHT-BULK,WARN-B-BULK,Intermediate,0.00004,kg
CLN-WCHT-BULK/SMB,CLN-WCHT-BULK,WARN-K-BULK,Intermediate,0.00008,kg
D-R1ADP-BULK/FF,D-R1ADP-BULK,ALAN--AK-K,Raw Material,0.00100,kg
D-R1ADP-BULK/FF,D-R1ADP-BULK,ALUM--ACH-K,Raw Material,0.17500,kg
D-R1ADP-BULK/FF,D-R1ADP-BULK,SILI-2005-DC-K,Raw Material,0.01000,kg
D-R1ADP-BULK/FF,D-R1ADP-BULK,SILI-1202-,Raw Material,0.02000,kg
D-R1ADP-BULK/FF,D-R1ADP-BULK,EMU-TEGE-,Raw Material,0.02750,kg
D-R1ADP-BULK/FF,D-R1ADP-BULK,EMUL-AL2-,Raw Material,0.02750,kg
D-R1ADP-BULK/FF,D-R1ADP-BULK,EMUL-AL21-,Raw Material,0.01750,kg
D-R1ADP-BULK/FF,D-R1ADP-BULK,PEN-PRSVPE-X,Raw Material,0.00800,kg
D-R1ADP-BULK/FF,D-R1ADP-BULK,BHT-CRTL-X,Raw Material,0.00100,kg
D-R1ADP-BULK/FF,D-R1ADP-BULK,PROP-PGESK-X,Raw Material,0.03000,kg
D-R1ADP-BULK/FF,D-R1ADP-BULK,ACTI-RNCC-X,Raw Material,0.00500,kg
SUNS-GS-30NP-BULK/SMB,SUNS-GS-30NP-BULK,PANT--DL-K,Raw Material,0.01000,kg
SUNS-GS-30NP-BULK/SMB,SUNS-GS-30NP-BULK,"CARB--94022,68-K",Raw Material,0.00100,kg
SUNS-GS-30NP-BULK/SMB,SUNS-GS-30NP-BULK,SEPI-305-SF-K,Raw Material,0.02800,kg
SUNS-GS-30NP-BULK/SMB,SUNS-GS-30NP-BULK,SILI-D2-TSFST-K,Raw Material,0.01000,kg
SUNS-GS-30NP-BULK/SMB,SUNS-GS-30NP-BULK,AQUA---K,Raw Material,0.02000,kg
SUNS-GS-30NP-BULK/SMB,SUNS-GS-30NP-BULK,TRI--DOW-K,Raw Material,0.00600,kg
SUNS-GS-30NP-BULK/SMB,SUNS-GS-30NP-BULK,EDT-B--K,Raw Material,0.00100,kg
SUNS-GS-30NP-BULK/SMB,SUNS-GS-30NP-BULK,SILI-9546-EDC,Raw Material,0.01000,kg
SUNS-GS-30NP-BULK/SMB,SUNS-GS-30NP-BULK,UVIN-MC80-BASF,Raw Material,0.07500,kg
SUNS-GS-30NP-BULK/SMB,SUNS-GS-30NP-BULK,PARS-5000-DSM,Raw Material,0.02500,kg
SUNS-GS-30NP-BULK/SMB,SUNS-GS-30NP-BULK,PARS-1789-,Raw Material,0.01000,kg
SUNS-GS-30NP-BULK/SMB,SUNS-GS-30NP-BULK,VITA-DL E-MS,Raw Material,0.00100,kg
SUNS-GS-30NP-BULK/SMB,SUNS-GS-30NP-BULK,PENG-IPEG-X,Raw Material,0.00800,kg
SUNS-GS-30NP-BULK/SMB,SUNS-GS-30NP-BULK,EXTR-ALVGE-X,Raw Material,0.01000,kg
SUNS-GS-30NP-BULK/SMB,SUNS-GS-30NP-BULK,PROP-PGESK-X,Raw Material,0.02000,kg
A-BPCB-BULK/FF.RND.W399.03,A-BPCB-BULK,OIL-BLWHMO-X,Raw Material,0.81450,kg
A-BPCB-BULK/FF.RND.W399.03,A-BPCB-BULK,ACTI-VEAC-X,Raw Material,0.00100,kg
A-BPCB-BULK/FF.RND.W399.03,A-BPCB-BULK,ASAM-SCAD-X,Raw Material,0.00500,kg
A-BPCB-BULK/FF.RND.W399.03,A-BPCB-BULK,SNSP-SIH51-X,Raw Material,0.00100,kg
A-BPCB-BULK/FF.RND.W399.03,A-BPCB-BULK,OPT-ASH--X,Raw Material,0.00750,kg
A-BPCB-BULK/FF.RND.W399.03,A-BPCB-BULK,OIL-TTOIDS-X,Raw Material,0.00100,kg
A-BPCB-BULK/FF.RND.W399.03,A-BPCB-BULK,EMUL-TGI20-X,Raw Material,0.10000,kg
A-BPCB-BULK/FF.RND.W399.03,A-BPCB-BULK,WAX-PFRMSW-X,Raw Material,0.07000,kg
A-DM-BULK/Normal (ref 8),A-DM-BULK,PANT--DL-K,Raw Material,0.00500,kg
A-DM-BULK/Normal (ref 8),A-DM-BULK,TRI--DOW-K,Raw Material,0.00500,kg
A-DM-BULK/Normal (ref 8),A-DM-BULK,TITA--3328EW-K,Raw Material,0.00100,kg
A-DM-BULK/Normal (ref 8),A-DM-BULK,EXTR-ALVGE-X,Raw Material,0.00500,kg
A-DM-BULK/Normal (ref 8),A-DM-BULK,WARN-K-BULK,Intermediate,0.00054,kg
A-DM-BULK/Normal (ref 8),A-DM-BULK,EXTR-CNDWLHB-X,Raw Material,0.03000,kg
A-DM-BULK/Normal (ref 8),A-DM-BULK,ACTI-VEAC-X,Raw Material,0.00100,kg
A-DM-BULK/Normal (ref 8),A-DM-BULK,CRIL---K,Raw Material,0.00300,kg
A-DM-BULK/Normal (ref 8),A-DM-BULK,PARF-SILK-,Raw Material,0.00100,kg
A-DM-BULK/Normal (ref 8),A-DM-BULK,PEN-EUXK900-X,Raw Material,0.00800,kg
A-DM-BULK/Normal (ref 8),A-DM-BULK,"CARB--94022,68-K",Raw Material,0.00100,kg
A-DM-BULK/Normal (ref 8),A-DM-BULK,GLUC--MC,Raw Material,0.00100,kg
A-DM-BULK/Normal (ref 8),A-DM-BULK,WARN-B-BULK,Intermediate,0.00011,kg
A-DM-BULK/Normal (ref 8),A-DM-BULK,SILI-DC21-,Raw Material,0.01000,kg
A-DM-BULK/Normal (ref 8),A-DM-BULK,UVIN-MC80-BASF,Raw Material,0.07500,kg
