Code,Product,Quantity on Hand,Reserved,Available
01343,Malaysia Wardah Sunscreen Gel SPF 30 40 ml,21.0,0.0,21.0
01351,Malaysia Wardah Renew You Anti Aging Intensive Serum 17 ml,18.0,0.0,18.0
01741,Malaysia Wardah Longlasting Lipstick 14 Violet Pink 2.3 g (Pc(s)),12.0,0.0,12.0
01818,Malaysia Wardah Nature Daily Seaweed Balancing Facial Scrub 60 ml,12.0,0.0,12.0
01823,Malaysia Wardah Acnederm Pore Refining Toner 100 ml,69.0,0.0,69.0
01824,Malaysia Wardah Acnederm Pore Blackhead Balm 20 g,29.0,0.0,29.0
01848,Malaysia Wardah Lightening Face Toner 150 ml,79.0,0.0,79.0
01878,Malaysia Wardah Nature Daily Seaweed Balancing Facial Scrub 100 ml,55.0,0.0,55.0
01902,Malaysia Wardah Lightening Facial Scrub 60 ml,698.0,0.0,698.0
02264,Malaysia Wardah Exclusive Moist Lipstick 41 Charming Red 3.5 g,1.0,0.0,1.0
02265,Malaysia Wardah Exclusive Moist Lipstick 43 Magnificent Red 3.5 g,1.0,0.0,1.0
02272,Malaysia Wardah Exclusive Matte Lipstick 16 Summer Pink 3.5 g,1.0,0.0,1.0
02274,Malaysia Wardah Exclusive Matte Lipstick 18 Rosy Pink 3.5 g,53.0,0.0,53.0
02279,Malaysia Wardah Exclusive Liquid Foundation 05 Coffee Beige 20 ml,44.0,0.0,44.0
02283,Malaysia Wardah Exclusive Two Way Cake 04 Natural 12 g,1.0,0.0,1.0
02324,Malaysia Wardah Lightening Two Way Cake Light Feel 03 Sheer Pink 12 g,5.0,0.0,5.0
02481,Malaysia Wardah Colorfit Ultralight Matte Lipstick 01 Parfait Pink 3.6 g,739.0,108.0,631.0
02482,Malaysia Wardah Colorfit Ultralight Matte Lipstick 02 Summer Peach 3.6 g,1795.0,186.0,1609.0
02483,Malaysia Wardah Colorfit Ultralight Matte Lipstick 03 Caramel Nude 3.6 g,940.0,501.0,439.0
02484,Malaysia Wardah Colorfit Ultralight Matte Lipstick 04 Mocca Brown 3.6 g,139.0,139.0,0.0
02485,Malaysia Wardah Colorfit Ultralight Matte Lipstick 05 Blossom Pink 3.6 g,497.0,210.0,287.0
02486,Malaysia Wardah Colorfit Ultralight Matte Lipstick 06 Punch Fuchsia 3.6 g,850.0,75.0,775.0
02487,Malaysia Wardah Colorfit Ultralight Matte Lipstick 07 Crimson Red 3.6 g,738.0,465.0,273.0
02488,Malaysia Wardah Colorfit Ultralight Matte Lipstick 08 Woodsy Brown 3.6 g,595.0,150.0,445.0
02490,Malaysia Wardah Colorfit Velvet Matte Lip Mousse 09 Ombre Charmer 4 g,2492.0,309.0,2183.0
02491,Malaysia Wardah Colorfit Velvet Matte Lip Mousse 10 Lively Coral 4 g,255.0,204.0,51.0
02492,Malaysia Wardah Colorfit Velvet Matte Lip Mousse 11 Cherish Marmalade 4 g,977.0,279.0,698.0
02493,Malaysia Wardah Colorfit Velvet Matte Lip Mousse 12 Chic Terracotta 4 g,504.0,492.0,12.0
02494,Malaysia Wardah Colorfit Velvet Matte Lip Mousse 13 Sweet Cinnamon 4 g,1369.0,603.0,766.0
02495,Malaysia Wardah Colorfit Velvet Matte Lip Mousse 14 Dainty Caramel 4 g,566.0,536.0,30.0
02496,Malaysia Wardah Lightening Micellar Gentle Wash 100 ml,4560.0,4560.0,0.0
02497,Malaysia Wardah Lightening Whip Facial Foam 100 ml,3581.0,3552.0,29.0
02498,Malaysia Wardah Lightening Oil-Infused Micellar Water 100 ml,220.0,220.0,0.0
02499,Malaysia Wardah Lightening Day Cream Advanced Niacinamide 30 g,3824.0,3824.0,0.0
02500,Malaysia Wardah Lightening Night Cream Advanced Niacinamide 30 g,3840.0,3840.0,0.0
02501,Malaysia Wardah Lightening Gentle Exfoliator 50 ml,554.0,554.0,0.0
02502,Malaysia Wardah Lightening Face Toner 125 ml,8782.0,8592.0,190.0
02504,Malaysia Wardah Lightening Serum Ampoule 5x5 ml,195.0,0.0,195.0
02505,Malaysia Wardah Lightening Powder Foundation Light Feel 01 Light Beige 12 g,4568.0,351.0,4217.0
02506,Malaysia Wardah Lightening Powder Foundation Light Feel 02 Golden Beige 12 g,963.0,795.0,168.0
02507,Malaysia Wardah Lightening Powder Foundation Light Feel 03 Sheer Pink 12 g,5215.0,399.0,4816.0
02508,Malaysia Wardah Lightening Powder Foundation Light Feel 04 Natural 12 g,3623.0,948.0,2675.0
02509,Malaysia Wardah Lightening Powder Foundation Light Feel 05 Beige 12 g,877.0,0.0,877.0
02510,Malaysia Wardah Lightening Powder Foundation Light Feel 06 Ivory 12 g,980.0,0.0,980.0
02511,Malaysia Wardah Lightening Powder Foundation Light Feel 07 Honey Beige 12 g,790.0,0.0,790.0
02512,Malaysia Wardah Lightening Liquid Foundation 01. Light Beige 25 ml (Blister),633.0,564.0,69.0
02513,Malaysia Wardah Lightening Liquid Foundation 02. Beige 25 ml (Blister),614.0,514.0,100.0
02514,Malaysia Wardah Lightening Liquid Foundation 03. Ivory 25 ml (Blister),498.0,453.0,45.0
02515,Malaysia Wardah Lightening Liquid Foundation 04. Natural 25 ml (Blister),456.0,399.0,57.0
