Code,Product,Quantity on Hand,Reserved,Available
01351,Malaysia Wardah Renew You Anti Aging Intensive Serum 17 ml,3.0,3.0,0.0
02490,Malaysia Wardah Colorfit Velvet Matte Lip Mousse 09 Ombre Charmer 4 g,17979.0,630.0,17349.0
02491,Malaysia Wardah Colorfit Velvet Matte Lip Mousse 10 Lively Coral 4 g,11076.0,0.0,11076.0
02492,Malaysia Wardah Colorfit Velvet Matte Lip Mousse 11 Cherish Marmalade 4 g,3903.0,10.0,3893.0
02493,Malaysia Wardah Colorfit Velvet Matte Lip Mousse 12 Chic Terracotta 4 g,4671.0,384.0,4287.0
02494,Malaysia Wardah Colorfit Velvet Matte Lip Mousse 13 Sweet Cinnamon 4 g,10693.0,0.0,10693.0
02495,Malaysia Wardah Colorfit Velvet Matte Lip Mousse 14 Dainty Caramel 4 g,10211.0,1347.0,8864.0
02496,Malaysia Wardah Lightening Micellar Gentle Wash 100 ml,59062.0,1758.0,57304.0
02497,Malaysia Wardah Lightening Whip Facial Foam 100 ml,14649.0,4776.0,9873.0
02498,Malaysia Wardah Lightening Oil-Infused Micellar Water 100 ml,11770.0,294.0,11476.0
02499,Malaysia Wardah Lightening Day Cream Advanced Niacinamide 30 g,41884.0,1209.0,40675.0
02500,Malaysia Wardah Lightening Night Cream Advanced Niacinamide 30 g,48028.0,4634.0,43394.0
02501,Malaysia Wardah Lightening Gentle Exfoliator 50 ml,51391.0,897.0,50494.0
02502,Malaysia Wardah Lightening Face Toner 125 ml,239091.0,8093.0,230998.0
02503,Malaysia Wardah Lightening Essence Sheet Mask 20 ml,6334.0,0.0,6334.0
02504,Malaysia Wardah Lightening Serum Ampoule 5x5 ml,472.0,0.0,472.0
02505,Malaysia Wardah Lightening Powder Foundation Light Feel 01 Light Beige 12 g,7868.0,10.0,7858.0
02506,Malaysia Wardah Lightening Powder Foundation Light Feel 02 Golden Beige 12 g,14563.0,756.0,13807.0
02507,Malaysia Wardah Lightening Powder Foundation Light Feel 03 Sheer Pink 12 g,7626.0,6.0,7620.0
