Code,Product,Quantity on Hand,Reserved,Available
03222,Kahf Brightening and Texture Refining Face Serum 35 ml,4656.0,0.0,4656.0
03435,Wardah Crystallure Supreme Revitalizing Rich Cream 10 g <SFG>,2458.0,0.0,2458.0
03439,Earth Love Life East Balinese Bamboo & Oriental Mint Body Wash 450 ml,3718.0,0.0,3718.0
03440,Earth Love Life Javanese Moringa & Balinese Starfruit Body Wash 450 ml,12142.0,0.0,12142.0
03531,Earth Love Life Spanish Lavender & Javanese Rice Milk  Body Wash 250 ml,3432.0,0.0,3432.0
03729,Earth Love Life South Bali Frangipani & Tropical Coconut Water Body Wash 250 ml,3384.0,0.0,3384.0
03826,Wardah Lightening SuperSerum Mask 20 ml,90.0,0.0,90.0
03828,Wardah C-defense SuperSerum Mask 20 ml,18700.0,0.0,18700.0
03830,Wardah Nature Daily SuperSerum Mask 20 ml,5350.0,0.0,5350.0
03831,Wardah Crystal Secret Radiance Serum Mask 20 ml,11330.0,0.0,11330.0
03866,Wardah SuperSerum Mask x2 - C-defense & Perfect Bright,5860.0,0.0,5860.0
03927,Earth Love Life Spanish Lavender & Javanese Rice Milk Body Wash 450 ml,1807.0,0.0,1807.0
03928,Earth Love Life South Bali Frangipani & Tropical Coconut Water Body Wash 450 ml,1820.0,0.0,1820.0
03930,Earth Love Life Javanese Moringa & Balinese Starfruit Body Lotion Serum 250 ml,3650.0,0.0,3650.0
03931,Earth Love Life Bulgarian Rose & East Nusa Vanilla Body Lotion Serum 250 ml,3192.0,0.0,3192.0
03932,Earth Love Life Spanish Lavender & Javanese Rice Milk Body Lotion Serum 250 m,1248.0,0.0,1248.0
03933,Earth Love Life South Bali Frangipani & Tropical Coconut Water Body Gel Serum 250 ml,3552.0,0.0,3552.0
04071,Wardah Lightening Oil-Infused Micellar Water 55 ml,14480.0,0.0,14480.0
04072,Wardah Lightening Oil-Infused Micellar Water 105 ml,10020.0,0.0,10020.0
04198,Emina Cosmic Lash Volume Mascara 6 g,18000.0,0.0,18000.0
04227,Kahf All-in-One Power Toning Face Spray 100 ml,4500.0,156.0,4344.0
04747,Wardah Exclusive Matte Lip Cream 03 See You Latte 4 gr,2880.0,0.0,2880.0
04838,Make Over Festive 2023 - Gala of The Stars Festive Package (Warm Tone),48.0,0.0,48.0
04839,Make Over Festive 2023 - Gala of The Stars Festive Package (Cool Tone),36.0,0.0,36.0
04840,Make Over Festive 2023 - Fantasia Gleam Festive Package (Warm Tone),49.0,0.0,49.0
04841,Make Over Festive 2023 - Fantasia Gleam Festive Package (Cool Tone),48.0,0.0,48.0
N122,Emina NFS Poppin’ Matte 01 Lowkey 1.2 g,935.0,0.0,935.0
N136,NFS Bundling EARTH LOVE LIFE Bulgarian Rose & ENV Body Wash 12 ml & Body Lotion Serum 5 ml,19056.0,0.0,19056.0
N156,Biodef NFS Natural Protection Mint + Green Tea Body Wash Antiseptik Alami 15 ml,7981.0,0.0,7981.0
N157,Biodef NFS Natural Protection Mint + Yuzu Body Wash Antiseptik Alami 15 ml,7950.0,0.0,7950.0
P2024,Wardah NFS Crystal Secret Brightening Day Cream 3 ml Sachet,103.0,0.0,103.0
