Code,Product,Quantity on Hand,Reserved,Available
00125,"Wardah Double Function Kit 4,5 gr",336.0,0.0,336.0
00274,Wardah Creamy Body Butter With Rose 100 ml (pc(s)),24.0,0.0,24.0
00283,Wardah Pure Olive Oil 50 ml,1.0,0.0,1.0
00353,Putri Pure Clean Hair Conditioner Apple 5 L (Pc(s)),2.0,0.0,2.0
00375,Putri SPA Series Hair Mask 240 ml (Pc(s)),1.0,0.0,1.0
01557,MAKE OVER Color Stick Matte Crayon 102 Iris 2.6 g,9408.0,0.0,9408.0
01607,Wardah Nature Daily Witch Hazel Purifying Moisturizer Gel 40 ml ,2.0,0.0,2.0
01615,Wardah Renew You Hydrafirm Sleeping Mask 30 g,8.0,0.0,8.0
01696,Wardah Instaperfect MATTECENTRIC Lip Crayon 02 Morale 3 g,828.0,0.0,828.0
01760,Wardah Instaperfect MINERALIGHT MATTE BB Cushion 14. CRÉME 15 g,29.0,0.0,29.0
01761,Wardah Instaperfect CITY BLUSH Blusher Click 01. Bliss 5.6 g,198.0,0.0,198.0
01762,Wardah Instaperfect CITY BLUSH Blusher Click 02. Adore 5.6 g,1010.0,0.0,1010.0
01774,MAKE OVER Lip Amplify Contour Liner 05 Pin Up 0.2 g,204.0,0.0,204.0
01775,Wardah Scentsation Bliss Body Mist 100 ml (Pc(s)),11.0,0.0,11.0
01779,Wardah Scentsation Bliss Eau De Toilette 35 ml (Pc(s)),30.0,0.0,30.0
01782,Wardah Scentsation Passion Eau De Toilette 35 ml (Pc(s)),29.0,0.0,29.0
01802,Wardah Instaperfect DYNAMATIC Microsmooth Liner 0.2 g,3071.0,0.0,3071.0
01834,MAKE OVER Multifix Matte Blusher 01 Rose Hour 9 g,5346.0,0.0,5346.0
01835,MAKE OVER Multifix Matte Blusher 02 Quickpinker 9 g,47.0,0.0,47.0
01836,MAKE OVER Multifix Matte Blusher 03 Blush Rush 9 g,14202.0,0.0,14202.0
01837,MAKE OVER Multifix Matte Blusher 04 Peach Flash 9 g,5072.0,0.0,5072.0
01838,MAKE OVER Multifix Matte Blusher 05 Heatshot 9 g,72.0,0.0,72.0
01884,Wardah Scentsation Purity Eau De Toilette 35 ml (Pc(s)),6.0,0.0,6.0
01897,Wardah Refill Instaperfect MINERALIGHT MATTE BB Cushion 11. FAIR 15 g,372.0,0.0,372.0
01898,Wardah Refill Instaperfect MINERALIGHT MATTE BB Cushion 12. IVORY 15 g,7127.0,0.0,7127.0
01899,Wardah Refill Instaperfect MINERALIGHT MATTE BB Cushion 13. BEIGE 15 g,1263.0,0.0,1263.0
01956,MAKE OVER POWERSTAY Color Correcting Primer Peach 25 ml,60.0,0.0,60.0
01991,Wardah Refill Instaperfect MATTE FIT Powder Foundation 14. CRÉME13 g,5496.0,0.0,5496.0
02000,Wardah Instaperfect MATTESETTER Lip Matte Paint 09. ICON 5.5 g,1365.0,0.0,1365.0
02021,MAKE OVER Powerstay Brow Definer Mascara 02 Chocolate 6.5 g,1594.0,0.0,1594.0
02067,Wardah Exclusive Matte Lipstick 02 Magenta 3.5 g,4.0,0.0,4.0
02068,Wardah Exclusive Matte Lipstick 03 Red 3.5 g,3.0,0.0,3.0
02069,Wardah Exclusive Matte Lipstick 04 Orange 3.5 g,1.0,0.0,1.0
02070,Wardah Exclusive Matte Lipstick 05 Peach 3.5 g,1.0,0.0,1.0
02071,Wardah Exclusive Matte Lipstick 06 Dark Red 3.5 g,8.0,0.0,8.0
02074,Wardah Exclusive Matte Lipstick 13 Cocoa Look 3.5 g,5.0,0.0,5.0
03657,MAKE OVER Multifix Matte Blusher 02 Quickpinker 9 g,48.0,0.0,48.0
03660,MAKE OVER Multifix Matte Blusher 05 Heatshot 9 g,349.0,0.0,349.0
