Code,Product,Quantity on Hand,Reserved,Available
4,Acne Perfecting Moisurizer Gel Wardah 40 ml (Pc(s)),7,0,7
11,Wardah C-Defense DD Cream Light 20 ml (Pc(s)),26892,432,26460
12,Wardah C-Defense DD Cream Natural 20 ml (Pc(s)),17460,1404,16056
13,Wardah C-defense Serum 17 ml (Pc(s)),10650,210,10440
36,"Wardah Lipstick Exclusive 31 Rose Wood 3,8 gr",768,0,768
41,"Wardah Lipstick Exclusive 36 Sugary Pink 3,8 gr",2,0,2
59,Wardah Exclusive Liquid Foundation 04 Natural 20 ml,1,0,1
71,Wardah EyeXpert Aqua Lash Mascara 6 gr (Pc(s)),41136,2592,38544
72,Wardah EyeXpert Eye & Lip Makeup Remover 50 ml,8190,126,8064
73,Wardah EyeXpert Eye & Lip Makeup Remover 100 ml,7781,300,7481
76,Wardah EyeXpert Optimum Hi-Black Liner 1 gr (Pc(s)),113038,1200,111838
77,Wardah EyeXpert Perfectcurl Mascara 7 gr (Pc(s)),28950,2160,26790
79,"Wardah Eyexpert Staylast Liquid Eyeliner 3,5 gr (Pc(s))",9072,1584,7488
80,Wardah Lightening BB Cream Light 15 ml (pc(s)),9459,768,8691
81,Wardah Lightening BB Cream Light 30 ml (Pc(s)),4991,144,4847
82,Wardah Lightening BB Cream Natural 15 ml (pc(s)),31584,1632,29952
83,Wardah Lightening BB Cream Natural 30 ml (Pc(s)),7107,144,6963
117,Wardah Blush On A 4 gr,3000,480,2520
119,Wardah Blush On C 4 gr,9716,1200,8516
126,Wardah Everyday BB Cream Light 15 ml (pc(s)),32928,288,32640
127,Wardah Everyday BB Cream Light 30 ml (Pc(s)),2449,792,1657
128,Wardah Everyday BB Cream Natural 15 ml (Pc(s)),26448,432,26016
129,Wardah Everyday BB Cream Natural 30 ml (Pc(s)),18576,108,18468
133,"Wardah Evd Lum Creamy Foundation Extra Cover 04 Natural 8,5 g (Pc(s))",1,0,1
135,Wardah Evd Lum Creamy Foundation Light Feel 02 Light Beige 11 g (Pc(s)),6,0,6
138,Wardah Evd Lum Face Powder 01 Light Beige 30 g (Pc(s)),4646,432,4214
139,Wardah Evd Lum Face Powder 02 Beige 30 g (Pc(s)),3216,1008,2208
140,Wardah Evd Lum Face Powder 03 Ivory 30 g (Pc(s)),2736,336,2400
141,Wardah Evd Lum Face Powder 04 Natural 30 g (Pc(s)),3984,288,3696
146,Wardah Evd Lum Two Way Cake 01 Light Beige 12 g (Pc(s)),27,0,27
147,Wardah Evd Lum Two Way Cake 02 Beige 12 g (Pc(s)),70,36,34
148,Wardah Evd Lum Two Way Cake 03 Ivory 12 g (Pc(s)),8,0,8
149,Wardah Evd Lum Two Way Cake 04 Light Ivory 12 g (Pc(s)),32,0,32
217,Wardah Refill Evd Lum Two Way Cake 01 Light Beige 12 g (Pc(s)),7354,0,7354
218,Wardah Refill Evd Lum Two Way Cake 02 Beige 12 g (Pc(s)),4500,3600,900
219,Wardah Refill Evd Lum Two Way Cake 03 Ivory 12 g (Pc(s)),4460,3600,860
220,Wardah Refill Evd Lum Two Way Cake 04 Light Ivory 12 g (Pc(s)),4496,0,4496
244,Wardah Renew You Anti Aging Day Cream 17 ml (pc(s)),25,0,25
264,Wardah Creamy Body Butter With Lavender & Ginger 50 ml (Pc(s)),1120,64,1056
265,Wardah Creamy Body Butter With Milk & Pearl 50 ml (Pc(s)),3842,64,3778
266,Wardah Creamy Body Butter With Olive 50 ml (pc(s)),3636,96,3540
