Code,Product,Quantity on Hand,Reserved,Available
80001,OMG OH MY GLAM Matte Kiss Lip Cream 01 Dreamy 3.5 g,5340.0,0.0,5340.0
80002,OMG OH MY GLAM Matte Kiss Lip Cream 02 Juicy 3.5 g,4380.0,576.0,3804.0
80003,OMG OH MY GLAM Matte Kiss Lip Cream 03 Flame 3.5 g,828.0,288.0,540.0
80004,OMG OH MY GLAM Matte Kiss Lip Cream 04 Sunset 3.5 g,108.0,0.0,108.0
80005,OMG OH MY GLAM Matte Kiss Lip Cream 05 Punch 3.5 g,2076.0,432.0,1644.0
80006,OMG OH MY GLAM Matte Kiss Lip Cream 06 Sparkle 3.5 g,5028.0,432.0,4596.0
80007,OMG OH MY GLAM Matte Kiss Lip Cream 07 Delight 3.5 g,3888.0,432.0,3456.0
80008,OMG OH MY GLAM Matte Kiss Lip Cream 08 Skyfall 3.5 g,4430.0,720.0,3710.0
80009,OMG OH MY GLAM Matte Kiss Lip Cream 09 Charm 3.5 g,4368.0,1008.0,3360.0
80010,OMG OH MY GLAM Matte Kiss Lip Cream 10 Shell 3.5 g,8928.0,8928.0,0.0
80011,OMG OH MY GLAM Matte Kiss Lip Cream 11 Bumble 3.5 g,1872.0,0.0,1872.0
80012,OMG OH MY GLAM Matte Kiss Lip Cream 12 Scarlet 3.5 g,14208.0,7632.0,6576.0
80021,OMG Oh My Glam Juicy Kiss Lip Tint Serum – 01 Juicy Strawberry,1368.0,0.0,1368.0
80022,OMG Oh My Glam Juicy Kiss Lip Tint Serum – 02 Juicy Grapefruit,6804.0,96.0,6708.0
80023,OMG Oh My Glam Juicy Kiss Lip Tint Serum – 03 Juicy Peach,9168.0,96.0,9072.0
80024,OMG Oh My Glam Juicy Kiss Lip Tint Serum – 04 Juicy Plum,11052.0,96.0,10956.0
80027,OMG OH MY GLOW Peach Glowing Face Wash 9 g,13929.0,5344.0,8585.0
80028,OMG OH MY GLOW Peach Glowing Toner 100 ml,72466.0,1296.0,71170.0
80029,OMG OH MY GLOW Peach Glowing Face Wash 50 g,174160.0,896.0,173264.0
80030,OMG Oh My Glow Peach Glowing Cream 7.5 g,7656.0,2280.0,5376.0
80031,OMG Oh My Glow Peach Glowing Cream 25 g,174685.0,840.0,173845.0
80035,OMG Oh My Glam Coverlast Two Way Cake 21W Light 12 g,58176.0,72.0,58104.0
80036,OMG Oh My Glam Coverlast Two Way Cake 32N Natural 12 g,79380.0,72.0,79308.0
80037,OMG Oh My Glam Coverlast Two Way Cake 41W Sand 12 g,39456.0,144.0,39312.0
80044,OMG Oh My Glam Matte Kiss Lip Cream 13 Latte 3.5 g,4440.0,4320.0,120.0
80045,OMG Oh My Glam Matte Kiss Lip Cream 14 Cappuccino 3.5 g,5184.0,2160.0,3024.0
80046,OMG Oh My Glam Matte Kiss Lip Cream 15 Espresso 3.5 g,3348.0,3312.0,36.0
80048,OMG Oh My Glam Coverlast Liquid Foundation 21 W Light,4620.0,44.0,4576.0
80049,OMG Oh My Glam Coverlast Liquid Foundation 31 W Beige,1584.0,132.0,1452.0
80050,OMG Oh My Glam Coverlast Liquid Foundation 32 N Natural,15796.0,220.0,15576.0
80051,OMG Oh My Glam Coverlast Liquid Foundation 41 W Sand,1320.0,88.0,1232.0
80053,OMG Oh My Glam LASHTENTION Waterproof Mascara 6.5 g,2028.0,0.0,2028.0
80056,OMG Oh My Glow Mugwort Acne Serum 20 ml,9024.0,52.0,8972.0
80058,OMG Oh My Glow Peach Glowing Serum 20 ml,63792.0,144.0,63648.0
80059,OMG Oh My Glow Peach Glowing Serum 7.5 g,115437.0,144.0,115293.0
80104,OMG Oh My Glam Matte Kiss Lip Cream Cycle of Love Edition Si Paling Bucin 3.5 g,34224.0,0.0,34224.0
80105,OMG Oh My Glam Matte Kiss Lip Cream Cycle of Love Edition Si Paling In Love 3.5 g,15840.0,0.0,15840.0
80106,OMG Oh My Glam Matte Kiss Lip Cream Cycle of Love Edition Si Paling PDKT 3.5 g,24768.0,0.0,24768.0
80107,OMG Oh My Glam Matte Kiss Lip Cream Cycle of Love Edition Si Paling Move On 3.5 g,10476.0,0.0,10476.0
80108,OMG Oh My Glam Matte Kiss Lip Cream Cycle of Love Edition Si Paling Ambyar 3.5 g,8676.0,0.0,8676.0
