Code,Product,Quantity on Hand,Reserved,Available
00560,MAKE OVER Silky Smooth Translucent Powder 04 Toffee 35 g (Pc(s)),34.0,34.0,0.0
01695,Wardah Instaperfect MATTECENTRIC Lip Crayon 01 Pace 3 g,12.0,12.0,0.0
01858,Wardah Instaperfect MATTETITUDE Matte Stain Lipstick 04. BUZZ 3.5 g,12.0,12.0,0.0
01859,Wardah Instaperfect MATTETITUDE Matte Stain Lipstick 05. FLUX 3.5 g,24.0,24.0,0.0
02208x,Emina 2 in 1 Scrub Mask 50 ml,12.0,0.0,12.0
02809,Kahf Humbling Forest Eau de Toilette 35 ml,88.0,88.0,0.0
02811,Kahf Revered Oud Eau de Toilette 35 ml,528.0,528.0,0.0
02813,Kahf Oil and Acne Care Face Wash 100 ml,3480.0,3480.0,0.0
02967,Kahf Triple Protection Sunscreen Moisturizer 30 ml,828.0,828.0,0.0
03272,MAKE OVER POWERSKIN Bi-Phase Oil Micellar Water 200 ml,18.0,18.0,0.0
03367,Wardah Colorfit Cream Blush 03 SUMMER PEACH 3 g,120.0,0.0,120.0
03749,LABORÉ Sensitive Skin Care GentleBiome Thermal Soothing Mist 100 ml,96.0,96.0,0.0
03874,Kahf Relaxing and Acne Fight Body Wash 200 ml,960.0,960.0,0.0
03875,Kahf Cooling and Brightening Body Wash 200 ml,960.0,960.0,0.0
03893,Kahf Triple Action Oil and Comedo Defense Face Wash 100 ml,120.0,120.0,0.0
04038,Instaperfect Everlast Intense Matte Liquid 03 SURREAL 4.2 g,12.0,12.0,0.0
04136,Instaperfect Skincover Air Cushion 32 True Beige 11 g,144.0,144.0,0.0
04184,Instaperfect Matte Fit Powder Foundation 11 Fair Pink 13 g,96.0,96.0,0.0
04185,Instaperfect Matte Fit Powder Foundation 22 Light Ivory 13 g,96.0,96.0,0.0
04193,Instaperfect Refill Matte Fit Powder Foundation 33 Warm Olive 13 g,72.0,72.0,0.0
04592,Beyondly Lemon Single Essential Oil 10 ml,1656.0,0.0,1656.0
04603,Beyondly Calm Barrier Collagen Serum 20 ml,561.0,0.0,561.0
04604,Beyondly Youth Power Collagen Serum 20 ml,2076.0,0.0,2076.0
04606,Beyondly Terra Carrier Oil 100 ml,1.0,0.0,1.0
04607,Beyondly Essential Oil Kit Primary Three 3 x 10 ml,508.0,0.0,508.0
04608,Beyondly Glowlasting Collagen Cleanser 100 ml,957.0,0.0,957.0
04616,Beyondly Fitclair Collagen Drink 15 sachet @25mL,14313.0,0.0,14313.0
04631,Beyondly Peppermint Single Essential Oil 10 ml,132.0,0.0,132.0
04632,Beyondly Lavender Single Essential Oil 10 ml,552.0,0.0,552.0
04634,Beyondly Clove Bud Single Essential Oil 10 ml,1668.0,0.0,1668.0
04635,Beyondly Eucalyptus Single Essential Oil 10 ml,804.0,0.0,804.0
04636,Beyondly Tea Tree Single Essential Oil 10 ml,1548.0,0.0,1548.0
04637,Beyondly Orange Single Essential Oil 10 ml,1524.0,0.0,1524.0
04638,Beyondly Shield Up Blend Essential Oil 10 ml,348.0,0.0,348.0
04639,Beyondly Rain Away Blend Essential Oil 10 ml,432.0,0.0,432.0
04640,Beyondly Gentle Breeze Blend Essential Oil 10 ml,360.0,0.0,360.0
04641,Beyondly Roomify Blend Essential Oil 10 ml,1680.0,0.0,1680.0
04642,Beyondly Balancia Blend Essential Oil 10 ml,1140.0,0.0,1140.0
04643,Beyondly Tum Tum Buddy Blend Essential Oil 10 ml,696.0,0.0,696.0
04644,Beyondly Ignite Up Blend Essential Oil 10 ml,1596.0,0.0,1596.0
04646,Beyondly Serenity Blend Essential Oil 10 ml,1392.0,0.0,1392.0
04648,Beyondly Essential Oil Kit Daily Synergy 3 x 10 ml,1158.0,0.0,1158.0
04650,Beyondly Eternal Ultrasonic Nano Diffuser 230 ml,364.0,0.0,364.0
04777,Beyondly Hocus Focus Blend Essential Oil 10 ml,360.0,0.0,360.0
04939,Kahf Humbling Forest Essential Package,23.0,0.0,23.0
80027,OMG OH MY GLOW Peach Glowing Face Wash 9 g,111.0,0.0,111.0
80029,OMG OH MY GLOW Peach Glowing Face Wash 50 g,56.0,56.0,0.0
80044,OMG Oh My Glam Matte Kiss Lip Cream 13 Latte 3.5 g,144.0,144.0,0.0
80046,OMG Oh My Glam Matte Kiss Lip Cream 15 Espresso 3.5 g,144.0,144.0,0.0
80059,OMG Oh My Glow Peach Glowing Serum 7.5 g,3.0,0.0,3.0
,Kursi Chairman SC 2208,16.0,0.0,16.0
