Code,Product,Quantity on Hand,Reserved,Available
80001,OMG OH MY GLAM Matte Kiss Lip Cream 01 Dreamy 3.5 g,2268.0,0.0,2268.0
80002,OMG OH MY GLAM Matte Kiss Lip Cream 02 Juicy 3.5 g,4428.0,144.0,4284.0
80003,OMG OH MY GLAM Matte Kiss Lip Cream 03 Flame 3.5 g,3528.0,432.0,3096.0
80004,OMG OH MY GLAM Matte Kiss Lip Cream 04 Sunset 3.5 g,636.0,576.0,60.0
80005,OMG OH MY GLAM Matte Kiss Lip Cream 05 Punch 3.5 g,3780.0,432.0,3348.0
80006,OMG OH MY GLAM Matte Kiss Lip Cream 06 Sparkle 3.5 g,3048.0,288.0,2760.0
80007,OMG OH MY GLAM Matte Kiss Lip Cream 07 Delight 3.5 g,4740.0,144.0,4596.0
80008,OMG OH MY GLAM Matte Kiss Lip Cream 08 Skyfall 3.5 g,3854.0,144.0,3710.0
80009,OMG OH MY GLAM Matte Kiss Lip Cream 09 Charm 3.5 g,5076.0,432.0,4644.0
80010,OMG OH MY GLAM Matte Kiss Lip Cream 10 Shell 3.5 g,6696.0,6624.0,72.0
80011,OMG OH MY GLAM Matte Kiss Lip Cream 11 Bumble 3.5 g,12108.0,0.0,12108.0
80012,OMG OH MY GLAM Matte Kiss Lip Cream 12 Scarlet 3.5 g,41112.0,4032.0,37080.0
80021,OMG Oh My Glam Juicy Kiss Lip Tint Serum – 01 Juicy Strawberry,4044.0,0.0,4044.0
80022,OMG Oh My Glam Juicy Kiss Lip Tint Serum – 02 Juicy Grapefruit,6228.0,0.0,6228.0
80023,OMG Oh My Glam Juicy Kiss Lip Tint Serum – 03 Juicy Peach,8880.0,0.0,8880.0
80024,OMG Oh My Glam Juicy Kiss Lip Tint Serum – 04 Juicy Plum,10572.0,0.0,10572.0
80027,OMG OH MY GLOW Peach Glowing Face Wash 9 g,4145.0,120.0,4025.0
80028,OMG OH MY GLOW Peach Glowing Toner 100 ml,86362.0,1656.0,84706.0
80029,OMG OH MY GLOW Peach Glowing Face Wash 50 g,175784.0,1680.0,174104.0
80030,OMG Oh My Glow Peach Glowing Cream 7.5 g,19896.0,360.0,19536.0
80031,OMG Oh My Glow Peach Glowing Cream 25 g,157405.0,1380.0,156025.0
80035,OMG Oh My Glam Coverlast Two Way Cake 21W Light 12 g,79632.0,72.0,79560.0
80036,OMG Oh My Glam Coverlast Two Way Cake 32N Natural 12 g,102996.0,288.0,102708.0
80037,OMG Oh My Glam Coverlast Two Way Cake 41W Sand 12 g,61452.0,108.0,61344.0
80044,OMG Oh My Glam Matte Kiss Lip Cream 13 Latte 3.5 g,3528.0,3456.0,72.0
80045,OMG Oh My Glam Matte Kiss Lip Cream 14 Cappuccino 3.5 g,17340.0,0.0,17340.0
80046,OMG Oh My Glam Matte Kiss Lip Cream 15 Espresso 3.5 g,43008.0,3600.0,39408.0
80047,OMG Oh My Glam Coverlast Liquid Foundation 13 C Ivory,660.0,132.0,528.0
80048,OMG Oh My Glam Coverlast Liquid Foundation 21 W Light,2772.0,0.0,2772.0
80049,OMG Oh My Glam Coverlast Liquid Foundation 31 W Beige,14300.0,44.0,14256.0
80050,OMG Oh My Glam Coverlast Liquid Foundation 32 N Natural,12672.0,352.0,12320.0
80051,OMG Oh My Glam Coverlast Liquid Foundation 41 W Sand,4180.0,88.0,4092.0
80053,OMG Oh My Glam LASHTENTION Waterproof Mascara 6.5 g,1800.0,0.0,1800.0
80056,OMG Oh My Glow Mugwort Acne Serum 20 ml,6168.0,124.0,6044.0
80058,OMG Oh My Glow Peach Glowing Serum 20 ml,77400.0,120.0,77280.0
80059,OMG Oh My Glow Peach Glowing Serum 7.5 g,114522.0,288.0,114234.0
80099,OMG Glam Every Day Package,3040.0,0.0,3040.0
80104,OMG Oh My Glam Matte Kiss Lip Cream Cycle of Love Edition Si Paling Bucin 3.5 g,34224.0,0.0,34224.0
80105,OMG Oh My Glam Matte Kiss Lip Cream Cycle of Love Edition Si Paling In Love 3.5 g,15840.0,0.0,15840.0
80106,OMG Oh My Glam Matte Kiss Lip Cream Cycle of Love Edition Si Paling PDKT 3.5 g,29376.0,0.0,29376.0
80107,OMG Oh My Glam Matte Kiss Lip Cream Cycle of Love Edition Si Paling Move On 3.5 g,10476.0,0.0,10476.0
80108,OMG Oh My Glam Matte Kiss Lip Cream Cycle of Love Edition Si Paling Ambyar 3.5 g,8676.0,0.0,8676.0
