Code,Product,Quantity on Hand,Reserved,Available
00004,Acne Perfecting Moisurizer Gel Wardah 40 ml (Pc(s)),7.0,0.0,7.0
00009,Wardah Roll On For Her 60 ml,20640.0,2550.0,18090.0
00011,Wardah C-Defense DD Cream Light 20 ml (Pc(s)),18756.0,17208.0,1548.0
00012,Wardah C-Defense DD Cream Natural 20 ml (Pc(s)),7884.0,7884.0,0.0
00013,Wardah C-defense Serum 17 ml (Pc(s)),39180.0,150.0,39030.0
00036,"Wardah Lipstick Exclusive 31 Rose Wood 3,8 gr",768.0,0.0,768.0
00041,"Wardah Lipstick Exclusive 36 Sugary Pink 3,8 gr",2.0,0.0,2.0
00059,Wardah Exclusive Liquid Foundation 04 Natural 20 ml,1.0,0.0,1.0
00071,Wardah EyeXpert Aqua Lash Mascara 6 gr (Pc(s)),35304.0,5400.0,29904.0
00072,Wardah EyeXpert Eye & Lip Makeup Remover 50 ml,9870.0,42.0,9828.0
00073,Wardah EyeXpert Eye & Lip Makeup Remover 100 ml,10811.0,1050.0,9761.0
00076,Wardah EyeXpert Optimum Hi-Black Liner 1 gr (Pc(s)),95398.0,4800.0,90598.0
00077,Wardah EyeXpert Perfectcurl Mascara 7 gr (Pc(s)),23190.0,2304.0,20886.0
00079,"Wardah Eyexpert Staylast Liquid Eyeliner 3,5 gr (Pc(s))",4320.0,576.0,3744.0
00080,Wardah Lightening BB Cream Light 15 ml (pc(s)),5331.0,3840.0,1491.0
00081,Wardah Lightening BB Cream Light 30 ml (Pc(s)),3119.0,108.0,3011.0
00082,Wardah Lightening BB Cream Natural 15 ml (pc(s)),6672.0,3648.0,3024.0
00083,Wardah Lightening BB Cream Natural 30 ml (Pc(s)),4875.0,216.0,4659.0
00117,Wardah Blush On A 4 gr,3719.0,360.0,3359.0
00119,Wardah Blush On C 4 gr,6836.0,1320.0,5516.0
00126,Wardah Everyday BB Cream Light 15 ml (pc(s)),20928.0,384.0,20544.0
00127,Wardah Everyday BB Cream Light 30 ml (Pc(s)),37.0,36.0,1.0
00128,Wardah Everyday BB Cream Natural 15 ml (Pc(s)),9456.0,432.0,9024.0
00129,Wardah Everyday BB Cream Natural 30 ml (Pc(s)),17028.0,0.0,17028.0
00133,"Wardah Evd Lum Creamy Foundation Extra Cover 04 Natural 8,5 g (Pc(s))",1.0,0.0,1.0
00135,Wardah Evd Lum Creamy Foundation Light Feel 02 Light Beige 11 g (Pc(s)),6.0,0.0,6.0
00138,Wardah Evd Lum Face Powder 01 Light Beige 30 g (Pc(s)),3254.0,336.0,2918.0
00139,Wardah Evd Lum Face Powder 02 Beige 30 g (Pc(s)),1296.0,192.0,1104.0
00140,Wardah Evd Lum Face Powder 03 Ivory 30 g (Pc(s)),3072.0,144.0,2928.0
00141,Wardah Evd Lum Face Powder 04 Natural 30 g (Pc(s)),768.0,144.0,624.0
00146,Wardah Evd Lum Two Way Cake 01 Light Beige 12 g (Pc(s)),2295.0,72.0,2223.0
00147,Wardah Evd Lum Two Way Cake 02 Beige 12 g (Pc(s)),3598.0,1116.0,2482.0
00148,Wardah Evd Lum Two Way Cake 03 Ivory 12 g (Pc(s)),2384.0,0.0,2384.0
00149,Wardah Evd Lum Two Way Cake 04 Light Ivory 12 g (Pc(s)),2984.0,1584.0,1400.0
