DC,BRAND,CAT1,CAT4,ODOO CODE,CORPORATE CODE,BARCODE,ITEM NAME,GT PRICE,QOH,RESERVED (QTY),AVAILABLE (QTY),QOH (Rp),RESERVED (Rp),AVAILABLE (Rp),EXPIRED DATE
DC ACEH,MAKE OVER,FACE MAKE UP,MAKE OVER POWERSTAY WEIGHTLESS LIQUID FOUNDATION,01584,F-LPWW42-MO33ML,8993137699686,MAKE OVER POWERSTAY WEIGHTLESS LIQUID FOUNDATION W42 WARM SAND 33 ML,152252.25,1,0,1,152252.25,0,152252.25,
DC ACEH,MAKE OVER,LIP MAKE UP,MAKE OVER LIQUID LIP COLOR,00906,L-LRB-MO5ML,8993137693400,MAKE OVER LIQUID LIP COLOR RED BABYDOLL 5 ML (PC(S)),69369.37,1,0,1,69369.37,0,69369.37,
DC ACEH,MAKE OVER,LIP MAKE UP,MAKE OVER ULTRA HI-MATTE LIPSTICK,01138,L-UHRR008-MO2.3G,8993137696937,MAKE OVER ULTRA HI-MATTE LIPSTICK 008 RUNWAY REBEL 2.3 G (PC(S)),83783.78,1,0,1,83783.78,0,83783.78,
DC ACEH,PUTRI,HAIR TONIC,PUTRI HAIR TONIC,00313,HT-P1G1-P5,8993137250047,"HAIR TONIC NORMAL TO OILY HAIR (GREEN), 5 L",269369.37,14,0,14,3771171.18,0,3771171.18,
DC ACEH,WARDAH,FACE CLEANSER,WARDAH LIGHTENING MICELLAR OIL,02334,REM-LOIMWN2-W,8993137706803,WARDAH LIGHTENING OIL-INFUSED MICELLAR WATER 100 ML,31531.54,2,0,2,63063.08,0,63063.08,
DC ACEH,WARDAH,FACE MOISTURIZER,WARDAH LIGHTENING SERUM,02897,SRM-RLSAN2-W,8993137712217,WARDAH LIGHTENING SERUM AMPOULE 8 ML,16666.67,5,0,5,83333.35,0,83333.35,
DC ACEH,WARDAH,FACE MOISTURIZER,WARDAH UV SHIELD SUNSCREEN GEL BLISTER,03098,SS-UVSDSPB-W,8993137708319,WARDAH UV SHIELD ESSENTIAL SUNSCREEN GEL SPF 30 (NEW BLISTER),30180.19,1,0,1,30180.19,0,30180.19,
DC ACEH,WARDAH,LIP MAKE UP,WARDAH EXCLUSIVE LIP CREAM BLISTER,02157,L-EMC05MM-W,8993137693806,WARDAH EXCLUSIVE MATTE LIP CREAM BLISTER 05 SPEACHLESS 4 G,54954.96,179,0,179,9836937.84,0,9836937.84,
DC AMBON,EMINA,FACE MOISTURIZER,EMINA CLAY MASK,02474,FM-CMSC-EM,8993137708098,EMINA CLAY MASK SEBUM CONTROL 60 ML,36036.04,15,0,15,540540.6,0,540540.6,
DC AMBON,EMINA,FACE CLEANSER,EMINA SKIN BUDDY MICELLAR WATER,02838,REM-SBRMW-EM,8993137711555,EMINA SKIN BUDDY MICELLAR WATER 100 ML,28378.38,50,0,50,1418919,0,1418919,
DC AMBON,EMINA,LIP MAKE UP,EMINA SUGAR RUSH LIP SCRUB,00957,LB-SR-EM4.2GR,8993137693165,EMINA SUGAR RUSH LIP SCRUB 4.2 GR (PC(S)),33783.78,40,0,40,1351351.2,0,1351351.2,
DC AMBON,EMINA,FACE MAKE UP,EMINA CHEEK LIT CREAM BLUSH,00775,BO-CLCPI-EM10ML,8993137691499,EMINA CHEEK LIT CREAM BLUSH PINK 10 ML (PC(S)),27927.93,14,0,14,390991.02,0,390991.02,
DC AMBON,EMINA,FACE CLEANSER,EMINA DOUBLE THE MOIST FACE TONER,00826,FT-DTM-EM50ML,8993137692755,EMINA DOUBLE THE MOIST FACE TONER 50 ML (PC(S)),23873.88,70,0,70,1671171.6,0,1671171.6,
DC AMBON,EMINA,FACE CLEANSER,EMINA MS. PIMPLE TONER,01910,FT-PHAS-EM50ML,8993137702003,EMINA MS. PIMPLE ACNE SOLUTION FACE TONER 50 ML,20720.73,20,0,20,414414.6,0,414414.6,
DC AMBON,EMINA,FACE CLEANSER,EMINA SKIN BUDDY FACE TONER,02840,FT-SBFT-EM,8993137710688,EMINA SKIN BUDDY FACE TONER 100 ML,26126.13,57,0,57,1489189.41,0,1489189.41,
DC AMBON,EMINA,FACE CLEANSER,EMINA SKIN BUDDY FACE WASH,02836,FW-SBRDBR-EM,8993137711265,EMINA SKIN BUDDY DOT BURST FACE WASH 60 ML,17117.12,12,0,12,205405.44,0,205405.44,
DC AMBON,EMINA,FACE MOISTURIZER,EMINA ALOE VERA GEL,02033,HBL-AVG-EM,8993137702201,EMINA ALOE VERA GEL 60 ML,25675.68,14,0,14,359459.52,0,359459.52,
DC AMBON,EMINA,FACE MAKE UP,EMINA BARE WITH ME MINERAL MILD FOUNDATION,02454,F-BWMM04-EM,8993137707879,EMINA BARE WITH ME MINERAL MILD FOUNDATION 04 MOCCA 30 ML,68918.92,69,0,69,4755405.48,0,4755405.48,
DC AMBON,EMINA,FACE MAKE UP,EMINA BARE WITH ME MINERAL MILD FOUNDATION,02453,F-BWMM03-EM,8993137707862,EMINA BARE WITH ME MINERAL MILD FOUNDATION 03 CARAMEL 30 ML,68918.92,22,0,22,1516216.24,0,1516216.24,
DC AMBON,EMINA,FACE MAKE UP,EMINA BARE WITH ME MINERAL MILD FOUNDATION,02452,F-BWMM02-EM,8993137707855,EMINA BARE WITH ME MINERAL MILD FOUNDATION 02 NATURAL 30 ML,68918.92,26,0,26,1791891.92,0,1791891.92,
DC AMBON,EMINA,FACE MAKE UP,EMINA BARE WITH ME MINERAL LOOSE POWDER,01888,B-RBMLP01-EM,8993137691345,EMINA BARE WITH ME MINERAL LOOSE POWDER 01 FAIR 8 G,49549.55,56,0,56,2774774.8,0,2774774.8,
DC AMBON,EMINA,FACE MAKE UP,EMINA BARE WITH ME MINERAL LOOSE POWDER,01890,B-RBMLP03-EM,8993137691369,EMINA BARE WITH ME MINERAL LOOSE POWDER 03 AMBER 8 G,49549.55,1,0,1,49549.55,0,49549.55,
DC AMBON,EMINA,FACE MAKE UP,EMINA BARE WITH ME MINERAL MILD FOUNDATION,02451,F-BWMM01-EM,8993137707848,EMINA BARE WITH ME MINERAL MILD FOUNDATION 01 LIGHT 30 ML,68918.92,111,0,111,7650000.12,0,7650000.12,
DC AMBON,EMINA,HAND CLEANSING,EMINA ALOE VERA HAND GEL,02468,HS-AVHGN2-EM,8993137710404,EMINA ALOE VERA HAND GEL 50 ML,14864.87,27,0,27,401351.49,0,401351.49,
DC AMBON,EMINA,FACE MOISTURIZER,EMINA CLAY MASK,02475,FM-CMSS-EM,8993137708104,EMINA CLAY MASK SOOTHE & SMOOTH 60 ML,36036.04,10,0,10,360360.4,0,360360.4,
DC AMBON,EMINA,EYE MAKE UP,EMINA POP ROUGE PRESSED EYE SHADOW,00813,ES-PRPCB-EM3.3GR,8993137691536,EMINA POP ROUGE PRESSED EYE SHADOW COLORFUL 3.3 GR (PC(S)),38738.74,108,0,108,4183783.92,0,4183783.92,
DC AMBON,EMINA,FACE MOISTURIZER,EMINA FACE MASK,01266,FM-GS-EM60ML,8993137693509,EMINA GRAPE SEED OLIVE FACE MASK 60 ML (PC(S)),35135.14,10,0,10,351351.4,0,351351.4,
DC AMBON,EMINA,FACE MAKE UP,EMINA CHEEK LIT HIGHLIGHTER STICK,02878,BO-CLBSNT-EM,8993137708968,EMINA CHEEK LIT HIGHLIGHTER STICK NUDETWINKLE 7 G,47747.75,7,0,7,334234.25,0,334234.25,
