"kode_odoo";"scm_koitem";"brand";"product";"scm_dc";koli;list_price;quantity_dc;quantity_dc_transit;quantity_dc_transit_sjb;quantity_assigned;quantity_assigned_cross_dock;quantity_dc_transit_cross_dock;quantity_waiting;quantity_quarantine;quantity_idmsat;qtytotal;write_date;dailyforecast;std_stock;stock_ndc;stock_rdc;qo;qop;qop1;qop2;qop_final;"klasifikasi_order";"flag"
"80001";"L-MLCA-OMG";"Omg";"Omg Oh My Glam Matte Kiss Lip Cream 01 Dreamy 3.5 G";"Aceh";144.0;20018.02;484.0;0.0;144.0;0.0;0.0;0.0;0.0;54.0;0.0;682.0;2023/01/17 00:00:00.000;32.33;568.0;0.0;505.0;0.0;0;0;0;0;"NORMAL";"odoo"
"80001";"L-MLCA-OMG";"Omg";"Omg Oh My Glam Matte Kiss Lip Cream 01 Dreamy 3.5 G";"Ambon";144.0;20018.02;74.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;74.0;2023/01/17 00:00:00.000;1.04;108.0;0.0;538.0;34.0;49.17204;0;144;0;"NORMAL";"odoo"
"80001";"L-MLCA-OMG";"Omg";"Omg Oh My Glam Matte Kiss Lip Cream 01 Dreamy 3.5 G";"Bali";144.0;20018.02;79.0;0.0;144.0;0.0;0.0;0.0;0.0;3.0;0.0;226.0;2023/01/17 00:00:00.000;26.46;288.0;0.0;652.0;65.0;652;0;144;144;"URGENT";"odoo"
"80001";"L-MLCA-OMG";"Omg";"Omg Oh My Glam Matte Kiss Lip Cream 01 Dreamy 3.5 G";"Bandung";144.0;20018.02;1226.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1226.0;2023/01/17 00:00:00.000;130.25;864.0;2004.0;;0.0;0;0;0;0;"NORMAL";"odoo"
"80001";"L-MLCA-OMG";"Omg";"Omg Oh My Glam Matte Kiss Lip Cream 01 Dreamy 3.5 G";"Bangka";144.0;20018.02;234.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;234.0;2023/01/17 00:00:00.000;6.42;108.0;0.0;652.0;0.0;0;0;0;0;"NORMAL";"odoo"
"80001";"L-MLCA-OMG";"Omg";"Omg Oh My Glam Matte Kiss Lip Cream 01 Dreamy 3.5 G";"Banjarmasin";144.0;20018.02;879.0;1584.0;0.0;288.0;0.0;0.0;0.0;0.0;0.0;2751.0;2023/01/17 00:00:00.000;88.5;2736.0;2004.0;;0.0;0;0;0;0;"NORMAL";"odoo"
"80001";"L-MLCA-OMG";"Omg";"Omg Oh My Glam Matte Kiss Lip Cream 01 Dreamy 3.5 G";"Banten";144.0;20018.02;729.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;730.0;2023/01/17 00:00:00.000;153.54;660.0;2004.0;;0.0;0;0;0;0;"URGENT";"odoo"
"80001";"L-MLCA-OMG";"Omg";"Omg Oh My Glam Matte Kiss Lip Cream 01 Dreamy 3.5 G";"Batam";144.0;20018.02;260.0;0.0;0.0;0.0;0.0;0.0;0.0;47.0;0.0;307.0;2023/01/17 00:00:00.000;4.0;72.0;2004.0;;0.0;0;0;0;0;"NORMAL";"odoo"
"80001";"L-MLCA-OMG";"Omg";"Omg Oh My Glam Matte Kiss Lip Cream 01 Dreamy 3.5 G";"Bekasi";3.0;20018.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2023/01/17 00:00:00.000;0.0;0.0;2004.0;;0.0;0;0;0;0;"NORMAL";"odoo"
"80001";"L-MLCA-OMG";"Omg";"Omg Oh My Glam Matte Kiss Lip Cream 01 Dreamy 3.5 G";"Bengkulu";144.0;20018.02;415.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;415.0;2023/01/17 00:00:00.000;7.96;84.0;0.0;652.0;0.0;0;0;0;0;"NORMAL";"odoo"
"80001";"L-MLCA-OMG";"Omg";"Omg Oh My Glam Matte Kiss Lip Cream 01 Dreamy 3.5 G";"Bogor";144.0;20018.02;620.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;620.0;2023/01/17 00:00:00.000;76.08;576.0;2004.0;;0.0;0;0;0;0;"NORMAL";"odoo"
"80001";"L-MLCA-OMG";"Omg";"Omg Oh My Glam Matte Kiss Lip Cream 01 Dreamy 3.5 G";"Bukittinggi";144.0;20018.02;337.0;0.0;144.0;0.0;0.0;0.0;0.0;0.0;0.0;481.0;2023/01/17 00:00:00.000;25.67;432.0;0.0;302.0;0.0;0;0;0;0;"NORMAL";"odoo"
"80001";"L-MLCA-OMG";"Omg";"Omg Oh My Glam Matte Kiss Lip Cream 01 Dreamy 3.5 G";"Cirebon";144.0;20018.02;676.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;676.0;2023/01/17 00:00:00.000;46.5;576.0;2004.0;;0.0;0;0;0;0;"NORMAL";"odoo"
"80001";"L-MLCA-OMG";"Omg";"Omg Oh My Glam Matte Kiss Lip Cream 01 Dreamy 3.5 G";"Ecommerce Tegal";144.0;20018.02;203.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;203.0;2023/01/17 00:00:00.000;18.0;135.0;2004.0;;0.0;0;0;0;0;"NORMAL";"odoo"
"80001";"L-MLCA-OMG";"Omg";"Omg Oh My Glam Matte Kiss Lip Cream 01 Dreamy 3.5 G";"Jakarta";3.0;20018.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2023/01/17 00:00:00.000;0.0;0.0;2004.0;;0.0;0;0;0;0;"NORMAL";"odoo"
"80001";"L-MLCA-OMG";"Omg";"Omg Oh My Glam Matte Kiss Lip Cream 01 Dreamy 3.5 G";"Jambi";144.0;20018.02;182.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;182.0;2023/01/17 00:00:00.000;8.83;108.0;0.0;652.0;0.0;0;0;0;0;"NORMAL";"odoo"
"80001";"L-MLCA-OMG";"Omg";"Omg Oh My Glam Matte Kiss Lip Cream 01 Dreamy 3.5 G";"Jember";144.0;20018.02;1087.0;144.0;0.0;0.0;0.0;0.0;0.0;35.0;0.0;1266.0;2023/01/17 00:00:00.000;67.11;1152.0;2004.0;;0.0;0;0;0;0;"NORMAL";"odoo"
"80001";"L-MLCA-OMG";"Omg";"Omg Oh My Glam Matte Kiss Lip Cream 01 Dreamy 3.5 G";"Kediri";144.0;20018.02;1949.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1949.0;2023/01/17 00:00:00.000;199.58;2000.0;2004.0;;51.0;511.02;0;144;144;"NORMAL";"odoo"
"80001";"L-MLCA-OMG";"Omg";"Omg Oh My Glam Matte Kiss Lip Cream 01 Dreamy 3.5 G";"Kendari";144.0;20018.02;0.0;0.0;432.0;0.0;0.0;0.0;0.0;0.0;0.0;432.0;2023/01/17 00:00:00.000;23.46;576.0;0.0;538.0;144.0;208.25806;144;144;144;"NORMAL";"odoo"
"80001";"L-MLCA-OMG";"Omg";"Omg Oh My Glam Matte Kiss Lip Cream 01 Dreamy 3.5 G";"Lampung";144.0;20018.02;500.0;144.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;644.0;2023/01/17 00:00:00.000;42.33;576.0;0.0;652.0;0.0;0;0;0;0;"NORMAL";"odoo"
"80001";"L-MLCA-OMG";"Omg";"Omg Oh My Glam Matte Kiss Lip Cream 01 Dreamy 3.5 G";"Makassar";144.0;20018.02;1538.0;1872.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3410.0;2023/01/17 00:00:00.000;134.88;3168.0;2004.0;;0.0;0;0;0;0;"NORMAL";"odoo"
"80001";"L-MLCA-OMG";"Omg";"Omg Oh My Glam Matte Kiss Lip Cream 01 Dreamy 3.5 G";"Malang";3.0;20018.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2023/01/17 00:00:00.000;0.0;0.0;0.0;1364.0;0.0;0;0;0;0;"NORMAL";"odoo"
"80001";"L-MLCA-OMG";"Omg";"Omg Oh My Glam Matte Kiss Lip Cream 01 Dreamy 3.5 G";"Manado";144.0;20018.02;428.0;0.0;144.0;0.0;0.0;0.0;0.0;0.0;0.0;572.0;2023/01/17 00:00:00.000;16.42;432.0;0.0;538.0;0.0;0;0;0;0;"NORMAL";"odoo"
"80001";"L-MLCA-OMG";"Omg";"Omg Oh My Glam Matte Kiss Lip Cream 01 Dreamy 3.5 G";"Mataram";144.0;20018.02;540.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;540.0;2023/01/17 00:00:00.000;20.31;432.0;0.0;652.0;0.0;0;0;0;0;"NORMAL";"odoo"
"80001";"L-MLCA-OMG";"Omg";"Omg Oh My Glam Matte Kiss Lip Cream 01 Dreamy 3.5 G";"Medan";144.0;20018.02;904.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;906.0;2023/01/17 00:00:00.000;62.04;868.0;0.0;505.0;0.0;0;0;0;0;"NORMAL";"odoo"
"80001";"L-MLCA-OMG";"Omg";"Omg Oh My Glam Matte Kiss Lip Cream 01 Dreamy 3.5 G";"Padang";3.0;20018.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2023/01/17 00:00:00.000;0.0;0.0;0.0;302.0;0.0;0;0;0;0;"NORMAL";"odoo"
"80001";"L-MLCA-OMG";"Omg";"Omg Oh My Glam Matte Kiss Lip Cream 01 Dreamy 3.5 G";"Palangkaraya";144.0;20018.02;79.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;79.0;2023/01/17 00:00:00.000;13.0;84.0;0.0;527.0;5.0;527;0;144;144;"URGENT";"odoo"
