"Product Korporat Code","BoM Lines/Product Template/Korporat Code","BoM Lines/Quantity","BoM Lines/Product Unit of Measure"
"TC-PC03-RP-MO12GR","TC-PC03-BULK","0.012","kg"
"","GODE-CPTZ59R1-MO","1.0","Pc(s)"
"TC-PC01-RP-MO12GR","TC-PC01-BULK","0.012","kg"
"","GODE-CPTZ59R1-MO","1.0","Pc(s)"
"TC-PC05-RP-MO12GR","TC-PC05-BULK","0.012","kg"
"","GODE-CPTZ59R1-MO","1.0","Pc(s)"
"TC-FCK1&214GRRN-MO","TC-FC-MO-BULK","0.007","kg"
"","TC-FC02-MO-BULK","0.007","kg"
"","GODE-CPTZ59R1-MO","1.0","Pc(s)"
"ES-SGBS2GRNFS-MO","ES-BS-BULK","0.002","kg"
"","GODE-ESMOR2A4-261944","1.0","Pc(s)"
"ES-SGBV2GRNFS-MO","ES-BV-MO-BULK","0.002","kg"
"","GODE-ESMOR2A4-261944","1.0","Pc(s)"
"ES-SGC12GRNFS-MO","ES-CP-MO BULK","0.002","kg"
"","GODE-ESMOR2A4-261944","1.0","Pc(s)"
"ES-SGC2GRNFS-MO","ES-CR-BULK","0.002","kg"
"","GODE-ESMOR2A4-261944","1.0","Pc(s)"
"ES-SGCY2GRNFS-MO","ES-CH-BULK","0.0021","kg"
"","GODE-ESMOR2A4-261944","1.0","Pc(s)"
"ES-SGF12GRNFS-MO","ES-FT-BULK","0.002","kg"
"","GODE-ESMOR2A4-261944","1.0","Pc(s)"
"ES-SGG2GRNFS-MO","ES-G-BULK","0.002","kg"
"","GODE-ESMOR2A4-261944","1.0","Pc(s)"
"ES-SGM12GRNFS-MO","ES-MS-BULK","0.002","kg"
"","GODE-ESMOR2A4-261944","1.0","Pc(s)"
"ES-SGMN2GRNFS-MO","GODE-ESMOR2A4-261944","1.0","Pc(s)"
"","ES-M-BULK","0.00133","kg"
"ES-SGOF2GRNFS-MO","GODE-ESMOR2A4-261944","1.0","Pc(s)"
"","ES-OF-BULK","0.002","kg"
"ES-SGPL2GRNFS-MO","ES-PL-BULK","0.002","kg"
"","GODE-ESMOR2A4-261944","1.0","Pc(s)"
"ES-SGR12GRNFS-MO","ES-R-BULK","0.002","kg"
"","GODE-ESMOR2A4-261944","1.0","Pc(s)"
"ES-SGRB2GRNFS-MO","ES-RB-MO-BULK","0.002","kg"
"","GODE-ESMOR2A4-261944","1.0","Pc(s)"
"ES-SGS12GRNFS-MO","ES-SV-BULK","0.002","kg"
"","GODE-ESMOR2A4-261944","1.0","Pc(s)"
"ES-SGS32GRNFS-MO","ES-ST-MO-BULK","0.002","kg"
"","GODE-ESMOR2A4-261944","1.0","Pc(s)"
"ES-SGT12GRNFS-MO","ES-T-BULK","0.002","kg"
"","GODE-ESMOR2A4-261944","1.0","Pc(s)"
"ES-SGT2GRNFS-MO","ES-TQ-BULK","0.002","kg"
"","GODE-ESMOR2A4-261944","1.0","Pc(s)"
"ES-SGV2GRNFS-MO","ES-V-BULK","0.002","kg"
"","GODE-ESMOR2A4-261944","1.0","Pc(s)"
"ES-SV-RP-MO1,25G","GODE-LPWNL2781-","1.0","Pc(s)"
"","ES-SV-BULK","0.00125","kg"
"ES-TPMB12GRRNFS-MO","ES-PMB-BULK","0.002","kg"
"","GODE-ESMOR2A4-261944","1.0","Pc(s)"
"ES-TPME22GRRNFS-MO","ES-PMEO-BULK","0.002","kg"
"","GODE-ESMOR2A4-261944","1.0","Pc(s)"
"ES-TPMHS2GRRNFS-MO","ES-H-X","0.002","kg"
"","GODE-ESMOR2A4-261944","1.0","Pc(s)"
"ES-TPMS2GRRNFS-MO","ES-SD-BULK","0.002","kg"
"","GODE-ESMOR2A4-261944","1.0","Pc(s)"
"ES-TQ-RP-W1,3GR","GODE-ESSWA33-178538","1.0","Pc(s)"
"","ES-TQ-BULK","0.0013","kg"
"ES-TSGC42GRRNFS-MO","ES-CV-BULK","0.002","kg"
"","GODE-ESMOR2A4-261944","1.0","Pc(s)"
"ES-W0H-01-RP-W1,1GR","GODE-ESSWA33-178538","1.0","Pc(s)"
"","ES-W0H-01 BULK","0.0011","kg"
"ES-W0H-03-RP-W1,1GR","GODE-ESSWA33-178538","1.0","Pc(s)"
"","ES-W0H-03 BULK","0.0011","kg"
"ES-W0H01RNFS1,3-W","ES-W0H-01 BULK","0.00133","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-W0H3RNFS1,3W-W","ES-W0H-03 BULK","0.00133","kg"
"","GODE-ESSWA33-178538","1.0","Pc(s)"
"ES-W0I-01-RP-W1,1GR","GODE-ESSWA33-178538","1.0","Pc(s)"
"","ES-W0I-01 BULK","0.0011","kg"
"ES-W0I-02-RP-W1,1GR","GODE-ESSWA33-178538","1.0","Pc(s)"
"","ES-W0I-02 BULK","0.0011","kg"
"ES-W0I-03-RP-W1,1GR","GODE-ESSWA33-178538","1.0","Pc(s)"
"","ES-W0I-03 BULK","0.0011","kg"
