"Product Korporat Code","Reference","BoM Lines/Product Template/Korporat Code","BoM Lines/Quantity","BoM Lines/Product Unit of Measure"
"BOTP-CVMPB10R0-W","2","BOTO-CVML10R1-W","1.0","Pc(s)"
"DUSS-LBBCL30-WM","1","STIC-PABBM01B-WMIP","1.0","Pc(s)"
"","","DUS-LBBCL30C-WILD","1.0","Pc(s)"
"DUSS-LBBCN30-WM","1","STIC-PABBM01B-WMIP","1.0","Pc(s)"
"","","DUS-LBBCN30C-WILD","1.0","Pc(s)"
"TUBS-RYAAFW100-WM","1","TUBE-RYAAFW100-W2L","1.0","Pc(s)"
"","","STIC-PTRYFW-WMC","1.0","Pc(s)"
"TUBS-AJFS60-EM","2","STIC-PAER1-EM","1.0","Pc(s)"
"","","TUBE-AJFS60R1-E2L","1.0","Pc(s)"
"TUBS-MPASFW-EM","2","TUBE-MPASFWR1-EOVG","1.0","Pc(s)"
"","","STIC-PAHR1-EM","1.0","Pc(s)"
"TUBS-AVG-EM","1","STIC-PAHR0-EM","1.0","Pc(s)"
"","","TUBE-AVGR2-E2L","1.0","Pc(s)"
"TUBS-CMB-EM","2","TUBE-CMBR1-E","1.0","Pc(s)"
"","","STIC-PALR1-EM","1.0","Pc(s)"
"TUBS-CMSC-EM","2","TUBE-CMSCR0-E","1.0","Pc(s)"
"","","STIC-PALR1-EM","1.0","Pc(s)"
"TUBS-CMSS-EM","2","STIC-PALR1-EM","1.0","Pc(s)"
"","","TUBE-CMSSR0-E","1.0","Pc(s)"
"TUBS-SBBUFW-EM","1","TUBE-SBBUFWR0-E","1.0","Pc(s)"
"","","STIC-PANR0-EM","1.0","Pc(s)"
"TUBS-SBBUFW-EM","2","TUBE-SBBUFWR0-E","1.0","Pc(s)"
"","","STIC-PANR1-EM","1.0","Pc(s)"
"TUBS-SBDBFW-EM","1","STIC-PANR0-EM","1.0","Pc(s)"
"","","TUBE-SBDBFWR0-E","1.0","Pc(s)"
"TUBS-BSAPFW100-EM","2","STIC-PAHR1-EM","1.0","Pc(s)"
"","","TUBE-BSAPFW100-EPBL","1.0","Pc(s)"
"DUSS-PMFC41R0-MO","1","STIC-BCPPFC41R0-MO","1.0","Pc(s)"
"","","STIC-VPPFC41R0-MO","1.0","Pc(s)"
"","","DUS-PPFR0-MO","1.0","Pc(s)"
"DUSS-PMFC31R0-MO","1","DUS-PPFR0-MO","1.0","Pc(s)"
"","","STIC-VPPFC31R0-MO","1.0","Pc(s)"
"","","STIC-BCPPFC31R0-MO","1.0","Pc(s)"
"DUSS-PMFC51R0-MO","1","DUS-PPFR0-MO","1.0","Pc(s)"
"","","STIC-BCPPFC51R0-MO","1.0","Pc(s)"
"","","STIC-VPPFC51R0-MO","1.0","Pc(s)"
"DUSS-PMFW12R0-MO","1","STIC-VPPFW12R0-MO","1.0","Pc(s)"
"","","STIC-BCPPFW12R0-MO","1.0","Pc(s)"
"","","DUS-PPFR0-MO","1.0","Pc(s)"
"DUSS-PMFW21R0-MO","1","STIC-VPPFW21R0-MO","1.0","Pc(s)"
"","","STIC-BCPPFW21R0-MO","1.0","Pc(s)"
"","","DUS-PPFR0-MO","1.0","Pc(s)"
"DUSS-PMFW32R0-MO","1","DUS-PPFR0-MO","1.0","Pc(s)"
"","","STIC-VPPFW32R0-MO","1.0","Pc(s)"
"","","STIC-BCPPFW32R0-MO","1.0","Pc(s)"
"DUSS-PMFW50R0-MO","1","STIC-BCPPFW50R0-MO","1.0","Pc(s)"
"","","STIC-VPPFW50R0-MO","1.0","Pc(s)"
"","","DUS-PPFR0-MO","1.0","Pc(s)"
"DUSS-PMFW60R0-MO","1","STIC-VPPFW60R0-MO","1.0","Pc(s)"
"","","STIC-BCPPFW60R0-MO","1.0","Pc(s)"
"","","DUS-PPFR0-MO","1.0","Pc(s)"
"BOTS-SCBMPC100-W","1 (Subt. Botol)","BOTO-PET100ML39-X","1.0","Pc(s)"
"","","STIC-SBMPC100-WGCC","1.0","Pc(s)"
"TUBS-BSFW100-EM","1","STIC-PAHR0-EM","1.0","Pc(s)"
"","","TUBE-BSFW100R1-EPBL","1.0","Pc(s)"
"DUSS-PMFW33R0-MO","1","STIC-VPPFW33R0-MO","1.0","Pc(s)"
"","","DUS-PPFR0-MO","1.0","Pc(s)"
"","","STIC-BCPPFW33R0-MO","1.0","Pc(s)"
"DUSS-PMFN30R0-MO","1","DUS-PPFR0-MO","1.0","Pc(s)"
"","","STIC-VPPFN30R0-MO","1.0","Pc(s)"
"","","STIC-BCPPFN30R0-MO","1.0","Pc(s)"
"DUSS-PMFW42R0-MO","1","STIC-VPPFW42R0-MO","1.0","Pc(s)"
"","","STIC-BCPPFW42R0-MO","1.0","Pc(s)"
"","","DUS-PPFR0-MO","1.0","Pc(s)"
"DUSS-PMFW41R0-MO","1","DUS-PPFR0-MO","1.0","Pc(s)"
"","","STIC-BCPPFW41R0-MO","1.0","Pc(s)"
"","","STIC-VPPFW41R0-MO","1.0","Pc(s)"
"DUSS-PMFN40R0-MO","1","DUS-PPFR0-MO","1.0","Pc(s)"
"","","STIC-VPPFN40R0-MO","1.0","Pc(s)"
"","","STIC-BCPPFN40R0-MO","1.0","Pc(s)"
"BOTS-PRTM40R0-MO","2","BOTO-GA1302R1-MOF","1.0","Pc(s)"
"","","STIC-SPRTMR0-MOMDO","1.0","Pc(s)"
"BOTS-SCBMB100-W","1 (Subt. Botol)","STIC-SBMB100-WGCC","1.0","Pc(s)"
"","","BOTO-PET100ML39-X","1.0","Pc(s)"
"BOTS-SCBMJF100-W","1 (Subt. Botol)","BOTO-PET100ML39-X","1.0","Pc(s)"
"","","STIC-SBMJ100-WGCC","1.0","Pc(s)"
"BOTS-SCBMPR100-W","1 (Subt. Botol)","BOTO-PET100ML39-X","1.0","Pc(s)"
"","","STIC-SBMPR100-WGCC","1.0","Pc(s)"
"DUSS-PMFN20R0-MO","1","DUS-PPFR0-MO","1.0","Pc(s)"
"","","STIC-BCPPFN20R0-MO","1.0","Pc(s)"
